,DATE,STAR,LIKE,REVIEW
0,2021-4-6,별표 5개 만점에 1개를 받았습니다.,2,해외에 거주하는데 구버전앱은 이체가 잘되는데 새버전 잘 안되네요. 그리고 구버전으로는 전세대출이 안되서 새버전 앱으로 신청하려고 하는데 자꾸 '서비스 이용중 오류가 발생했습니다'라고 뜨네요 고객센터에서 네트워크 연결문제인 것 같다고해서 데이터 연결이 잘되는 곳으로 가서 했는데 이체는 되고 좀 더 많은 단계까지는 가는데 이번에는 '스크래핑 중 오류가 발생했습니다'라고 뜨네요. 해외에서는 앱으로 전세대출을 신청할 수 없는 건가요? 지점 직원은 된다고 했는데.... 그리고 '스크래핑 중 오류가 발생했습니다'라고 뜨는 건 어떻게 해결해야하...전체 리뷰
1,2021-4-5,별표 5개 만점에 3개를 받았습니다.,1,잘 사용중 이었는데 얼마전엔 네크워크 오류 계속 떠서 저랑 같은 상황이신 리뷰보고 다시 지우고 설치했더니 되었어요. 설치 후 이체하고 나서 시간 좀 지나고 다시 들어가면 아예 응답없음으로 멈췄다고 자동종료되네요. 이체할 때 마다 지웠다 다시 설치해야 하던데 너무 번거롭네요. 문제있는거 같은데 확인바랍니다.
2,2021-3-30,별표 5개 만점에 2개를 받았습니다.,1,예전집에서 딜라이브 사용할때는 잘되었었는데 지금집에서 스카이라이프로 바꾸었습니다. 하나카드 원큐는 잘되는데 하나은행 원큐는 비행기 모드 데이터 캐쉬 삭제 어플 새로 깔았다 지우기 핸폰 껐다 다시 키기 등등을 다 해보아도 와이파이 에선 접속이 안되네요. 그냥 lte로 접속 해야겠습니다.
3,2021-3-31,별표 5개 만점에 1개를 받았습니다.,2,앱 이런식으로 만들어 놓을거면 아에 없애버리세요 신분증 사진촬영만 몇십번하고 결국 다실패해서 지점방문을 하라고요?ㅋㅋㅋㅋ 계속 재촬영하라하고 번짐없이 찍히면 인증실패?? 개그하네
4,2021-4-7,별표 5개 만점에 1개를 받았습니다.,0,갤럭시탭 A7에 설치하고 실행하면 화면 가로세로만 반복되어 아무것도 할수 없습니다.채설치 해도 마찬가지 입니다. 하단 답변내용 따라했지만 현상은 똑같습니다
5,2021-4-2,별표 5개 만점에 1개를 받았습니다.,7,자꾸 인터넷에 연결되지 않는다고 떠요. 계좌이체를 해야하는데 계속 다운되네요. 한달 넘었어요. 월급통장이어서 거기서 이체 해야하는데 ㅠ ㅠ. 벌써 3번째 앱 제거했다가 다시 깔고있네요.
6,2021-4-3,별표 5개 만점에 1개를 받았습니다.,0,"오픈뱅킹 계좌추가등록을 하려니 넘어가질 않네요 ㅎㅎ 재설치, 재부팅 다해봤는데.. 그전에 이미 하나 등록하고 또 등록하려니 갑자기 튕겨져서 더 어이없네요"
7,2021-4-2,별표 5개 만점에 1개를 받았습니다.,6,"1월 13일 업데이트 내용 자세히 적어달라고 했고 답변도 달려서 뭔가 바뀌는줄 알았는데 3월 22일 업데이트도 내용이(기타 사용성 개선) 이네요. 리뷰 무시하고 복사 붙여넣기 답변만 등록하는거 잘 알겠습니다. --- 업데이트 내용 기타 사용성 개선 딸랑 한 줄 적어놓고 자동로그인 지문로그인 다 초기화 시켰나요?뭐가 편해진건가요?이름이 원큐라서 업데이트 내용도 원큐로 적으셨나보네요. 재설치 하라고 매크로 답변 해 주실 필요 없구요, 업데이트 할 때는 뭐가 바뀌었는지 좀 보이는데다 적어주고 기존 앱 업데이트 상황 테스트도 좀 해주세요....전체 리뷰"
8,2021-4-2,별표 5개 만점에 1개를 받았습니다.,5,"2021.3.22.일자 업데이트 내역엔 ""기타 사용성 개선""이라고만 덜렁 쓰여있네요. 너무 무성의 무심하네요. 업데이트 내역 상세히 꼭 써주세요. 금융앱은 투명해야합니다."
9,2021-3-26,별표 5개 만점에 1개를 받았습니다.,2,매번 들어갈때마 간편인증 지문으로 변경해놓는데 매번 변경전상태로 돌아가있음. 간편인증 비번도 항상똑같은데 틀려서 로그인안됨. 해결해놓으면 다음날 또 똑같이 반복되며 안됨. 진짜 너무 불편함.
