,DATE,STAR,LIKE,REVIEW
0,2021-3-20,별표 5개 만점에 2개를 받았습니다.,1,"지금까지 사용하기 좋았는데, 이틀동안 네트워크오류라면 접속이 안됐다. 타은행에서 오픈뱅킹으로 계좌확인은 되더라. 아내에게 설치해서 접속되는지 확인해보니 아내는 되더라. 별수를 써도 접속이 안되 재설치 하니까 되더라. 에러가 호스트를 찾을 수 없다고만 뜨던데 재설치 하니 호스트는 찾더라. 챗봇은 멍청해서 물어봐도 정말 단순한 단어만 이해하고 엉뚱한 대답만 하더라 문맥은 전혀 이해를 못하더라 카톡에 빌붙어 크지 않으려면 잘하세요"
1,2021-3-29,별표 5개 만점에 5개를 받았습니다.,7,저와 같은 현상으로 불편하신분 참조 안드로이드11 및 Oneui 3.1 업데이트 후 루팅(110)으로 인식하여 카뱅을 종료되는 현상 과 안드로이드11 및 Oneui 3.1 업데이트 후 프로그램 변경이 감지(200) 되어 카뱅이 실행이 되지 않으신 분은 1번 - 플레이 스토어에서 카뱅 최신 업데이트로 올려줍니다 2번 - 1번을 실천하였지만 여전히 카뱅이 작동하지 않는다면 카뱅을 완전 삭제 후 재설치를 해보세요
2,2021-3-24,별표 5개 만점에 4개를 받았습니다.,3,정말 편리하게 잘 쓰고 있는데 입출금 알림창에 잔액까지 떴으면 좋겠습니다. 타 은행사들의 어플을 써보면서 잔액이 알림창에 같이 표기 되는 게 편리 하더라고요. 이 점은 좀 더 보완 부탁 드립니다!
3,2021-4-1,별표 5개 만점에 1개를 받았습니다.,1,아 심하네 별도 수수료는 다 챙기고 거래내역 방법 요구했더니 수수료 챙기는건 뭔가 은행창구도 아니고 이러한걸 돈을 챙기는것이 문제네 무료도 이젠 전부 유료로 고객돈 챙기겠다는 심산이구만 이용 가치가 떨어지는 카카오뱅크 다시 생각해봐야겠네
4,2021-3-21,별표 5개 만점에 5개를 받았습니다.,3,교통비 빠져나가는시간좀 빨리나가게해주세요. 빨리 보낼수있으니. 부탁드립니다. 그리고 카카오뱅크도 가계부 비슷하게 꾸며져있었으면 좋겠어요.
5,2021-4-6,별표 5개 만점에 4개를 받았습니다.,1,안전하지 않은 프로그램 또는 시스템이 탑재된 기기라고 하면서 어플 재설치해도 안 열리는데 어제까지만해도 잘 됐거든요ㅠㅠ 뭐가 문제인지 모르겠어서 리뷰 남깁니다
6,2021-1-30,별표 5개 만점에 3개를 받았습니다.,1,"카카오뱅크 저금통기능 너무 잘 쓰고 있는데요. 문득, 누군가가 불특정 다수에게 ""저금통"" 이라는 이름으로 자동이체로 소액을 출금하고 있다면, 장기간동안 들키지 않겠다고 생각이 들었네요. 이유1. 저금통에 출금되는 금액이 정해지지않고 주기도 일정치 않다. (돈이 출금되어도 저금통인갑다 하고 넘어가겠죠.) 이유2. 사용자는 저금통 잔금확인을 1주일에 1회밖에 하지 못한다. (계좌에서 빠져나간 금액이 저금통으로 얼마나 쌓였는지 그때그때 확인이 불가능하니까요.) 이유3. 저금통으로 나간 금액은 소액에다 여러번 이기 때문에 그것을 일일히 계...전체 리뷰"
7,2021-3-30,별표 5개 만점에 1개를 받았습니다.,3,"실행하니 네트워크 오류라면서 모바일네트워크, 와이파이 상태확인하란다. 카뱅말곤 다 잘되는데.. 결국 지우고 새로 설치하니 접속이된다. 개발자가 사고쳤나보다."
8,2021-1-27,별표 5개 만점에 1개를 받았습니다.,1,"낮은 금리, 넉넉한 한도로 광고하여 마이너스 통장 대출 신청하였더니 당사의 기준에 한도가 부족하여 대출이 불가하다고 통보됩디다.. 불가한 사유에 대해 자세한 내용을 알고 싶으면 고객센터로 전화하라고 하여 그렇게 했더니 돌아오는 답변은 자기들도 잘 모르겠다고 합디다.. 신용이 나쁜것도 아니고 타행 대출이 소득에 비해 많은것도 아닌데 한도가 안 나오는 이유를 모르겠다고 합디다.. 타은행보다 낮은 금리로 서민을 혹하여 대출신청 실적을 올리려는건가요? 돈이 필요하여 대출을 신청한 것이 아니라 어려운 시기에 이자지출을 줄이기 위해 광고를 보...전체 리뷰"
9,2021-3-15,별표 5개 만점에 2개를 받았습니다.,2,거래중지 계좌 해제하는데 근로계약서 같은 서류가 필요하던데 서류가 없으면 중지 해제도 못하나요. 통장을 꼭 뭔 고지서에 돈을 납부할때만 쓰나
10,2021-3-25,별표 5개 만점에 2개를 받았습니다.,3,이틀동안 네트워크문제라며 연결이 안되네요 다른앱들은 잘쓰는데 카카오뱅크앱만 문제 입니다 밑에 평대로 재설치 합니다 ㅜ 재설치하면 연결됐음 좋겠네요..
11,2021-3-16,별표 5개 만점에 2개를 받았습니다.,9,"앱자체는 나쁘지않으나 .. 저금통을 사용하였는데, 저금통 안의 돈을 투명하게 볼수없다는것이 사용하지 않게 된 이유였습니다. 해지하는 방법이 불편합니다."
12,2021-4-7,별표 5개 만점에 1개를 받았습니다.,0,별하나도아깝네진짜신분증좀깨졌다고거래제한걸어버리고풀어달라니까똑같은말만계속하고신분증재발급해서연락달래서했드만아무조치도안대고3주를기다리라는게말이야방구야진짜지들이득만취하고민원처리는개늦게처리하는카뱅안쓴다
13,2021-2-7,별표 5개 만점에 1개를 받았습니다.,1,모바일 앱 로그인이 되지않아 고객센터 안내 받아 앱 삭제후 재설치하는데 재설치 조차 안되네요. 당장 빨리 사용해야하는데. 답답하고 짜증나네요. 일요일이라 고객센터도 제대로 연결안되며 담당 부서가 아니라 자세히 모른다는 답변뿐. 당장 급하게 사용해야하는데 지금 3시간째 앱 때문에 애 먹고 있네요 로그인 되면 다 이체시키고 다신 사용 안하려고 합니다. 앱 로그인조차 안되고 안내도 제대로 되지않는데 급한사람은 어떡하라는겁니까.
14,2021-3-27,별표 5개 만점에 5개를 받았습니다.,1,감사합니다 몇일전 리뷰올린뒤로 거짓말처럼 대출전화 한통도 안옵니다.ㅋㅋ 또오면 방송국에 제보하려고 했는데 대환대출은 99프로가 사기입니다 개인정보동의 조심하세요
15,2021-3-23,별표 5개 만점에 1개를 받았습니다.,1,필요에의해 쌀게되었는데 치명적인 버그 많네요. 통장만들때 국민은행으로 인증하려니까 국민은행앱이랑 같이 망가지게만듬 다지우고 다시깔아야 둘다작동
16,2021-3-6,별표 5개 만점에 5개를 받았습니다.,2,사용하기 너무 편한 카뱅 처음부터 지금 까지 너무 잘 쓰고 있습니다 근데 단 한가지 입출금 글씨 색을 조정 해주셨으면 합니다 잔액과 출금은 특징없는 검정색 입금은 파란색으로 표시 되고 있는데 그 파란색만 보면 가끔씩 가슴이 철렁철렁 합니다 부디 입금만이라도 붉은색으로 변경이 됐으면
17,2021-3-23,별표 5개 만점에 3개를 받았습니다.,0,오랜만에 접속하려는데 호스트 어쩌구 하면서 접속이안됐네요. 어떤분이 댓글에 삭제하고 재설치하니까 된다해서 재설치했습니다. 왜 이렇게 번거롭게 된건지...
18,2021-2-14,별표 5개 만점에 3개를 받았습니다.,8,"계좌송금시, 금액부터 적는게 아니라 받을사람 계좌정보부터 쓰고 확인한 후에 보낼 금액 적으면 오송금으로 인한 불편을 줄일 수 있을거라 생각됩니다. 비대면금융의 선두주자인 카카오 뱅크가 솔선수범해주기 바랍니다."
19,2021-3-21,별표 5개 만점에 5개를 받았습니다.,3,저의 최애 은행이면서 pc버전이 없는 게 매우 아쉽지만 ATM 입출금 수수료가 무료라는 것과 계좌이체가 무료라는 게 엄청난 메리트라고 생각이 들어 별 5개 드리겠습니다.
20,2021-3-19,별표 5개 만점에 1개를 받았습니다.,3,어제까지 잘 사용했는데 왜 갑자기 아침에 안전하지 않은 기기라고 하며 접속이 안되는거죠? 여전히 제 핸드폰으로 사용중인데요
21,2021-3-18,별표 5개 만점에 1개를 받았습니다.,1,아 진짜 계좌 안쓰다가 다시 쓸려니까 해지 절차가 뭐가 그렇게 거부가 많은지 스캔해놓은 pdf file은 보낼수도 없고 일일이 프린트해서 올려야하고 계속 거부하는 이유가 뭐야 도대체 ?
22,2021-3-27,별표 5개 만점에 1개를 받았습니다.,0,미니있는데 입출금 통장만드려면 미니만들어야한다고뜨고 확인누르면1나만만들수있다고하는데 그럼 미니있으면 입출금통장못만드나요?
23,2021-3-1,별표 5개 만점에 1개를 받았습니다.,1,미니카드 잃어버려서 분실신고하고 재발급신청했는데 미니카드 찾아서 재발급신청 취소하려면 당일날만 취소된다길래 바로 1대1문의 드려서 답변 드리겠다 이랬는데 이틀 지나도 답변도 없고 분실신고하려니까 등록된 카드 없다그러고 지금 배송하지도 않았는데 이딴식으로 사람 기분 더럽게하네요 지금 당장 이거 고치세요 ㅋㅋㅋㅌㅋㅋ
24,2021-2-24,별표 5개 만점에 4개를 받았습니다.,2,모든부분이 다좋았습니다 한가지아쉬운건 제가 최근에 기기변경을했는데 본인인증이필요하더라고요 휴대폰이 이번에 제명의가아니라 부모님명의로해서 인증이안되 사용이안되더라고요 본인인증방법을 아이핀인증이라던지 본인명으카드인증이라던지 다른거도 필요하다고생각합니다 이부분좀 개선해주시면 감사하겠습니다
25,2021-3-14,별표 5개 만점에 4개를 받았습니다.,3,갤럭시 s10 사용자입니다 갤럭시 업데이트 이후 아무것도 안 되네요ㅠㅠ 리뷰 보니 s10라인이 전부 안 되는 것 같은데 언제 고쳐지는지 궁금합니다...ㅠㅠㅠ
26,2021-2-6,별표 5개 만점에 2개를 받았습니다.,3,이체할때 일시적인 오류로 안된다고 몇시간동안 이체 못하는경우있습니다. 다시 삭제하고 인증해야되는 경우도 있고요. 진짜 잘쓰다가도 너무 열받네요. 지금도 그러고있어서 리뷰씁니다
27,2021-3-22,별표 5개 만점에 3개를 받았습니다.,8,안녕하세요. 저는 매우 만족 하고있습니다. 여기는 로그인이 너무 편하드라구요. 저 토스는 오류가 많아서 싫었는데 여기는 오류 란걸 까먹은 거 같으라구요. 그래서 별점 3드리겠습니다
28,2021-3-22,별표 5개 만점에 1개를 받았습니다.,2,"계속 네트워크 확인하라는 문구만 뜨네요. 데이터 무제한, 와이파이 잡아도 소용없네요."
29,2021-2-3,별표 5개 만점에 5개를 받았습니다.,2,미니카드가 출시하고나서부터 사용했는데 굉장히 편합니다! 친구끼리 돈모으거나 빌려줄때도 예전에는 현금으로 만나서 했지만 지금은 계좌이체만 라면 되니 매우편리합니다 또 부모님께 용돈 받을때도 계좌로 받으면 되고..진짜 미니카드 출시는 신의 한수인듯 합니다
30,2021-3-21,별표 5개 만점에 5개를 받았습니다.,2,다 좋고 너무 잘 쓰고있습니다. 제가 전부터 페이코를 사용하고 있는데 카카오뱅크미니도 페이코에 계좌 등록 할 수 있으면 좋겠다는 저의 소심한 바램입니다...
31,2021-1-26,별표 5개 만점에 3개를 받았습니다.,2,입출금 계좌 계설하려다가 뭘 잘못 눌러서 이전화면으로 넘어가고 싶은데 이전화면으로 넘어가거나 아예 처음부터 다시 시작 할 수 있게 해주는 기능이 없는게 많이 아쉽네요. 30일씩이나 기다려서 새로 해야 하나요ㅠ
32,2021-2-4,별표 5개 만점에 1개를 받았습니다.,7,"갤s10e one ui 3.0 업데이트 이후 루팅된 폰으로 인식해서 정상접속이 차단되었습니다. 어떻게 해야 할까요? 카뱅으로 처리해야할 문제들이 있는데, 갑자기 이렇게 되니 정말 당황스럽고 어이가없네요..;;"
33,2021-3-1,별표 5개 만점에 1개를 받았습니다.,6,무한로딩 ..개짜증... 매번 이체하려면 두세번은 시도해야됨. 삭제하고 재설치하고 인증하는데도 또 무한로딩...ㅋ 인내심뱅크🥴
34,2021-3-12,별표 5개 만점에 1개를 받았습니다.,8,미니스탁에서 출금하려는데 카카오뱅크로 보내기 기능에서 확인버튼이 없어요;; 금액입력란에 확인버튼을 빼먹는건 대체 무슨 말도 안되는 실수인가요? 덕분에 돈 묶여서 꺼내지도 못하고 짜증나네요
35,2021-2-21,별표 5개 만점에 4개를 받았습니다.,1,"저는 잘 사용하고 있어요. 근데 건의할게 있어요. 이체할때 실시간 잔금이 나오면 좋을거 같아요. 예를들면 통장 잔고가 10이고, 보내는 금액이 5이면 통장잔고5가 바로 보이게요. 통장 잔금을 딱 이만큼만 남기고 싶을때 엄청 편할거 같아요."
36,2021-2-11,별표 5개 만점에 3개를 받았습니다.,1,카카오뱅크 깔끔하고 좋아요 하지만 아쉬운 부분이 많이 있습니다 체크카드 도착하기 전까지 사용하고 싶어도 못하는 부분이 아쉽고 실망입니다 체크 도착하기 전까지 온라인으로 삼성페이 간편결제 등록할 수 있게 만들면 좋겠습니다
37,2021-3-25,별표 5개 만점에 1개를 받았습니다.,1,여직까지 잘쓰고있었는데 몇일전부터 접속도안되고 새로삭제하고 받았는대두 안됩니다 네트워크확인하란소리만 계속뜸
38,2021-2-15,별표 5개 만점에 1개를 받았습니다.,1,밑에도 저랑 같은 증상인분 있는데 s10 5g고 잘 사용하다가 오늘 사용할려니까 루팅기기라고 접속이 안돼요 루팅하지도 않고 하는법도 모르는데 하 앱을 못 켜니까 고객센터문의도 못하고 이거 언제 고치나요
39,2021-3-17,별표 5개 만점에 4개를 받았습니다.,1,좋은데 비번 3번 제 실수로 틀렸는데 비번을 바꾸래서 바꿨는데 이제 비번을 쳤는데 비번이 3번틀려서 이제 못한다네요 ㅎㅎ 이거 진짜 제발 고쳐줘요 비번바꾸면 3번 이거 초기화되는걸로
40,2021-3-12,별표 5개 만점에 2개를 받았습니다.,3,"K뱅크에 비하면 뭐든 다 떨어지고 않좋고.. 결정적으로 한도계좌로 1일 200만원 이체 제한건것도 불편하고, 세이프박스도 1천만원뿐이 않되고.. 이건 뭐 계좌개설하고 사용하고 싶은 생각이 뚝 떨어지네요."
41,2021-3-9,별표 5개 만점에 1개를 받았습니다.,2,일시적인 문제가 발생했다면서 계속 송금이안되요 코드넘버 ce004 고객센터전화거니 지우고 다시깔아서 기기등록 하라네요? 지금벌써 며칠안에 새로깔고 등록하고 이짓만 3번째입니다 몇번을새로깔게 하는겁니까
42,2021-4-7,별표 5개 만점에 5개를 받았습니다.,0,카카오페이가 플레이스토어에 아무리찾아도 없어요 ㅜㅜ 폰은 노트5 입니다.
43,2021-3-26,별표 5개 만점에 2개를 받았습니다.,2,다른 앱은 다 되는데 왜 갑자기 네트워크 오류라고 접속이 안되고 난리입니까?
44,2021-2-25,별표 5개 만점에 2개를 받았습니다.,3,잘 쓰고 있습니다. 그런데 mini카드를 쓰고 있고 버스비를 충전했는데 저번에 카드가 안 찍혀서 정말 곤란했는데 어떻게 해야 하나요
45,2021-3-3,별표 5개 만점에 3개를 받았습니다.,1,"기기 바뀌었다고 신분증 촬영 하라고 해서 했는데 이거 왜 하는 건가요? 며칠 지나서 촬영이 잘 안 되었다고 다시 하라고 하던데 이러면 보안상 이득이 있습니까? 계좌 개설할 때는 기존 은행에서 주민증 사본 요구하는 것처럼 신분증 촬영한다고 쳐도 기기 바뀌었다고 신분증 촬영은 도대체 왜 하는지 모르겠습니다. 내가 내 전화기랑 은행 계좌를 대포폰, 대포통장으로 만들어서 다른 사람 쓰게 해 줄까 봐 그런 건가요? 촬영이 잘 안 된 것은 신분증 위조해서 신분증 위조가 드러나지 않게 제대로 촬영하지 않은 것을 의심하는 것이고요? 이게 맞다면 ...전체 리뷰"
46,2021-2-11,별표 5개 만점에 2개를 받았습니다.,2,카메라인식이 안되면 직접입력란도 만들어주세요 카메라가 고장나서 로그인을 할수가 없네요 돈이 다 그안에있는데 카드도 분실상태라 완전 돈이 묶여있습니다 꼭 답장바랍니다
47,2021-2-1,별표 5개 만점에 3개를 받았습니다.,2,미니카드에 카카오페이로 돈을 넣었는데 대중교통을 이용할때 잔액이 부족하다고 하더라고요 친구한테 물어보니 편의점에서 버스카드 충전을해야 쓸수있다고하는데 어떤 방식으로 충전하더라도 버스비도 되고 편의점 결제도 되도록 바꿔주시면 좋을거 같습니다
48,2021-3-12,별표 5개 만점에 1개를 받았습니다.,0,투폰쓰는데 카카오계정을 원래계정으로 로그인하고샆어도 로그인이 안되니 계좌이용도 안됨.. ㅋㅋㅋㅋㅋㅋㅋㅋ
49,2021-1-23,별표 5개 만점에 4개를 받았습니다.,3,모임에 유용합니다. 다만 멤버별 입금현황에 멤버별 출금한 돈 또한 계산되어 보여지면 관리에 용의할 것 같습니다. 입금현황만 보니 액수 안맞는 원인 찾기가 어려웠습니다.
50,2021-2-6,별표 5개 만점에 1개를 받았습니다.,5,"예전에 만든계좌 비밀번호,패턴 모두 잊어버려서 본인인증 다하고 신분증 사진도 인증 다 했는데 마지막에 영상통화를 해야한다해서 3번씩이나 요청을 했는데 인증도 안들어오고 아무런 조치가 없네요 이건 그냥 뭐 쓰지말라는건가요? 일부러 고객센터 업무시간에도 인증요청을 했는데 아무런 조치가 없네요^^"
51,2021-3-6,별표 5개 만점에 1개를 받았습니다.,1,휴대폰을바꾸고 다시 본인인증하려니까 문자가 오질않네요 틀린건절대없고 삭제도 몇번이나해보고 온갖뻘짓을해도 안되는데 어떡하죠?
52,2021-3-30,별표 5개 만점에 1개를 받았습니다.,5,제가 리뷰를 썼는데 사라져있네요.. 암튼 24일에 카드가 왔었는데 그때 집에 아무도 없었어서 못 받았어서 25일에 인터넷 우체국에서 보관장소 신청을 해서 26일로 신청을 해놨는데 지금이 30일인데도 안 왔습니다 30일에는 그냥 처리한다고 봤는데... 결국은 그냥 카드를 못 받았습니다..
53,2021-2-23,별표 5개 만점에 1개를 받았습니다.,1,폰 업데이트하고 루팅어쩌고하면서 실행 안되시는 분들 카카오뱅크 삭제하고 다시깔아서 인증하면 실행됩니다.
54,2021-3-10,별표 5개 만점에 4개를 받았습니다.,0,카카오뱅크 앱 너무 편하게 잘쓰고있습니다. 적금 및 이체를 간편하게 써서 자주 사용하고 있습니다.
55,2021-3-14,별표 5개 만점에 4개를 받았습니다.,1,사용하기도 너무 편하고 좋은데 카카오 뱅크mini가 왜 입출금 통장이 아닌거죠? 뭐만 할려고 하면 자꾸 입출금 통장 만들라고 그래서 만들기 누르고 주민번호 입력하면 미니 만들라고 하면..... 할 후 있는게 없잖아요
56,2021-2-26,별표 5개 만점에 4개를 받았습니다.,0,제가 미니 카드에 돈이 버스 충분히 탈 수 있을만큼의 돈이 들어있었는데 막상 버스 타서 결제하려니까 잔액이 부족하다고 하더라구요 이유좀 알려주세요 ㅠ
57,2021-3-9,별표 5개 만점에 5개를 받았습니다.,1,은행은 이것만 씁니다 어피치 카드 이뻐서 카드 발급 받았다가 잃어버려서 검정으로 재발급했거든요 빨리 오고 좋았어요
58,2021-2-8,별표 5개 만점에 2개를 받았습니다.,2,학생증으로 미니 인증 비밀번호 재설정 할 수 있게 해주세요 신분증도 없고 계좌도 없어서 잃어버린 비밀번허 재설정이 불가능하네요 진위 여부는 영상통화로 확인이 가능하잖아요
59,2021-2-9,별표 5개 만점에 1개를 받았습니다.,4,비밀번호 및 보안 패턴을 만들었음에 카톡 계정으로 하려는데 다시 만들어라 및 일치하지 않습니다는 대체 뭔가요? 이부분 수정바랍니다
60,2021-3-29,별표 5개 만점에 2개를 받았습니다.,0,편한데 교통카드로 편의점결제도 안되고 2만원 이상이면 돈을 빼지도 못해요
61,2021-3-5,별표 5개 만점에 2개를 받았습니다.,0,송금이나 세이브박스에서 자금 꺼낼 때 기기변경이 자꾸 뜨는데 예전 폰에서도 그러더니 폰 바꾸고 나서도 그러네요 ㅠ 해결 부탁드립니다
62,2021-1-25,별표 5개 만점에 1개를 받았습니다.,1,융통성 1도 없는 어플 ㅡㅡ... 2년 전에 썼다가 안써서 하나도 기억 안 나는데 한 번 비번 초기화 하려면 화상통화를 3번이나 하게 하나요?;;; 한번으로 연동되는 것도 아니고... 카카오에 큰 실망했습니다..
63,2021-3-4,별표 5개 만점에 3개를 받았습니다.,0,대출 한도 확인 중 현재 집 주소 확인 페이지가 주소 와 인증번호를 입력 해도 페이지가 넘어가지를 않습니다.
64,2021-2-5,별표 5개 만점에 5개를 받았습니다.,4,카뱅카드 인증비밀번호를 까먹었는데 여권이랑 개인카드가없어서 못바꾸고있네요 전화번호나 다른 방법으로 바꿀수있으면 좋겠습니다
65,2021-2-12,별표 5개 만점에 1개를 받았습니다.,2,쿠팡이라는 앱에서 결제하려고 하는데 비밀번호도 맞게 했는데 해당계좌상태이상으로 결제가 안된다네요 이럴때 어떡하나요ㅜ
66,2021-3-28,별표 5개 만점에 1개를 받았습니다.,1,왜 계속 네트워크 오류 뜨고 안되는거에요;;; 여기 내돈 있는데
67,2021-2-22,별표 5개 만점에 2개를 받았습니다.,8,"자주쓰는 계좌 등록이 없어서 매달.새로작성. 관리비,세금. 국세 자동이체는 전혀안되는 은행 제발 분발좀 다른은행으로 주거래처 교체예정 아! 이체한도를 올리려니 뭐그렇게 까다롭게 구는지 내통안내돈도 허락받고 보내야하고...아직 불편함이 많은금용업체입니다"
68,2021-1-18,별표 5개 만점에 1개를 받았습니다.,2,지문인식으로 로그인하려면 계속 앱이 죽습니다. 얼마전까지만 해도 로그인 해서 잘 쓰고 있었는데 요즘들어 계속 로그인을 못하고 앱이 계속 죽습니다. 빨리좀 고쳐주세요.
69,2021-4-5,별표 5개 만점에 2개를 받았습니다.,0,생채인식의 다양화가 있으면 좋겠습니다. 얼굴인식이 없어서 아쉽습니다.
