,DATE,STAR,LIKE,REVIEW
0,2021-4-4,별표 5개 만점에 1개를 받았습니다.,2,"앱 먹통입니다. 앱 시작시 KB모바일인증서 창의 ""정보를 불러오는 중입니다"" 라는 화면으로 시작하는데 여기서 렉 걸리다가 에러 처리되며 앱닫기, 대기 선택의 연속입니다. 간혹 렉 걸리다가 인증서 재등록 순서로 넘어가는데, 지문등록 성공 후 단계에서 또다시 렉->에러처리의 루프에 빠집니다. 이틀째 사용 못하고 있어요. 개선 좀 해주세요. 이 앱1년도 안썼는데 몇번째 먹통인지 모르겠네요."
1,2021-3-30,별표 5개 만점에 5개를 받았습니다.,1,"처음 앱을 접하는 사람도 쉽게 이용할 수 있게 간편하면서도 직관적으로 되어 있는 부면이 좋습니다. 로그인 방식도 마음에 들구요. 다만 관련 기타 부수적인 기능이 여러개의 앱으로 나뉘어 있는게 조금 아쉽긴 하지만, 그래도 KB뱅킹 앱 자체만 놓고 보면 편리하게 잘 쓸 수 있을 것 같습니다."
2,2021-3-26,별표 5개 만점에 5개를 받았습니다.,3,"전전 폰에서 썼을때 불편한 부분이 있었는데, 전폰에서는 용량문제도 있어서 사용을 못했습니다. 그러다가 폰을 바꾸고 용량이 여유가 되어 오랜만에 설치를 했는데 많이 변했습니다. UI가 깔끔해지고 편의성이 높아졌습니다. 무엇보다 로그인 시에 불편하게 맨날 공인인증서 비밀번호를 입력 할 필요가 없어졌다는게 너무 좋습니다. 단순한 기능이지만 로그인 접근성이 좋아졌다는 것에 사용빈도가 늘어나는 좋은 선택인것 같습니다."
3,2021-3-25,별표 5개 만점에 5개를 받았습니다.,1,"사용자의 입장에서 쓰기 편하게 되어 있어요. 자주쓰는 메뉴는 여러번 거치지않고 바로 사용할수 있어 좋습니다. 또한, 자산관리 등으로 한눈에 자산상태를 볼 수 있어서 좋았습니다. 다만, 사소한 부분이지만 빠른이체 할 때 출금계좌번호를 매번 다시 지정하지않고 제가 자주쓰는 계좌번호로 지정할수 있었으면 합니다. ^^"
4,2021-3-29,별표 5개 만점에 5개를 받았습니다.,1,매우 잘사용하고 있습니다. 특히 빠른이체 를 자주사용하는데 매우 편합니다. 인터페이스도 한눈에 잘들어오고.. 급할때나 바쁠때 매우 용이하게 잘사용하고있어요. 60대 후반 이신 저희엄마께도 알려드렸는데도 잘 사용하고 계십니다. 그만큼 잘 만들었다는~?^^
5,2021-3-28,별표 5개 만점에 5개를 받았습니다.,1,주거래 은행이라서 오랜기간 사용중인 앱 입니다. 불편함 없이 잘 사용하고 있습니다. 다른 은행앱에 비해 반응속도가 좋은게 장점인거 같습니다. UI가 깔끔하게 개편되었으면 하는 바램이 있습니다. 계속해서 발전하는 모습이 보이고 있는거 같아서 좋습니다. 개발자 분들 힘내세요!
6,2021-3-28,별표 5개 만점에 5개를 받았습니다.,1,주거래 은행 kb 스타뱅킹 오랜 사용자입니다. 좋은점은 kb모바일인증서 지문인증으로 로그인하면 보안매체 인증없이 otp 들고다지도 않아도 된다는점과 내계좌 이체시는 계좌비번 입력없이도 빠르게 되어서 간편해서 좋아요~ 이벤트도 다양하게 진행되어서 좋구요.. 실물카드없이 스마트ATM 입출금 거래도 유용하게 이용중입니다. 오픈뱅킹 서비스 이용하니 타계좌 은행앱에 접속하지 않아도 kb스타뱅킹에서 한번에 처리 가능하여 편리해서 뱅킹앱은 거의 이 앱 하나만 이용하고 있구요.. 앞으로도 kb 국민은행 주거래로 쭉 이용하려합니다. 다만 아쉬운점은...전체 리뷰
7,2021-3-19,별표 5개 만점에 4개를 받았습니다.,3,"스타뱅킹 어플 자체의 편의성은 우수한 편이라고 생각됩니다. KB인증서도 편리하구요. 다만 다른 분들도 지적하시는 부분인데 어플이 분산되어 있는 데서 오는 불편이 있습니다. 스타알림의 알림을 보고 이체를 하려면 스타뱅킹으로 이동해야 하고, 이때 다시 로그인을 해야 하는 것은 옥상옥의 느낌이네요. 많이 고민하시는 부분이겠지만 스타뱅킹에서 스타알림의 푸시 기능도 할 수 있게 개선되면 사용이 편리할 것 같아요."
8,2021-4-3,별표 5개 만점에 1개를 받았습니다.,2,접속 너무 않됨. 네트워크에 문제가 있다고 안되고 지문인식창 까지는 뜨는데 인식하고나서는 다음으로 넘어 가지도 않음. 연결이 잘 안되나 해서 다른은행 실행하면 다른 은행들은 다 잘됨. 한두번도 아니고 자주 이럼. 지우고 다시 깔아도 마찬가지임 바쁠때 송금 할려고 하면 개 짜증남. 일부려 PC방 들어가서 송금하려니 어처구니 없음.
9,2021-3-24,별표 5개 만점에 4개를 받았습니다.,5,아이디 로그인 계속 에러나요.. 비밀번호 입력하면 반응이 없고 또 입력하면 에러나요.. 공동인증서 로그인은 괜찮은데 비밀번호 판이 변경된 이후로 아이디 로그인은 계속 에러나네요.. 한 3~4번정도 시도해야 로그인됩니다.. 로그인이 한번에 제대로 안되니 버그있나 불안하네요.. 은행앱인데...
