,DATE,STAR,LIKE,REVIEW
0,2021-4-5,별표 5개 만점에 3개를 받았습니다.,1,"트렌드를 고려한 앱 UI, UX 반영부탁 드립니다. 아울러, 진녹색계열 포인트 배색 사용으로 가뜩이나 올드한 이미지에서 벗어나지 못하고 있는것 같은데요. 설정에서 사용자가 직접 테마를 선택해 디자인할 수 있게 개선되었으면 좋겠습니다. 논외질의 이긴하나 NH카드앱은 업데이트 예정이 없나요? NH카드앱 별 한개 평점도 아까울 정도인데요. 어정쩡한 애니메이션 집어넣어서 로딩속도 느리고 메뉴배치도 직관적이지 못해 너무 불편하네요."
1,2021-4-6,별표 5개 만점에 5개를 받았습니다.,1,"어플 속도도 빠르고, 원하는 서비스도 바로바로 찾기 쉽고, 이체할때도 기존에 이용한 계좌들이 바로 나열되어있어서 찾기쉽고, 이체후 내용을 저장할수있는 기능도 편하고, 좋았어요. 뭔가 이전에 사용했던 어플보다는 편해지고, 빨라진 느낌이랄까요? 👍 앞으로도 점점 스마트한 세상에 발맞춰 기능들이 업그레이드 되어 좋아졌음 해요. 저는 지금 현재 농협스마트뱅킹을 이용하면서 딱히 불편한점은 없었어요."
2,2021-4-6,별표 5개 만점에 5개를 받았습니다.,3,간단하고 편리한 NH 스마트 뱅킹 앱에 저희 가족 모두 정착했습니다^^! 앱 로그인 방법도 간단하구요~! 즉시이체도 빠르구요~! 자동이체도 마찬가지로 정말 편합니다. 저희 가족은 농협에 계좌가 많으신데 내역 조회 방법이 편리해서 항상 잘 씁니다. 부모님께도 첫 스마트 뱅킹을 NH스마트 뱅킹으로 알려드렸더니 이제는 저보다 빠르게 이체하십니다!ㅎㅎ 용어나 앱이 간단하고 편리해서 그런거 같습니다! 농협이야 워낙 믿고 거래하는 은행인데 앱까지 편리하고 완벽하네요! 실생활에서 참 도움 많이 받고있습니다. 2050세대 모두 함께 잘 쓰겠습니다...전체 리뷰
3,2021-4-7,별표 5개 만점에 5개를 받았습니다.,1,"계좌이체, 조회는 물론 공과금 낼 때 편리합니다. 특히 장기예금, 적금 조회 서비스가 좋습니다. 장기예금 적금 조회 서비스로 저도 몰랐던 돈을 찾았어요. NH 스마트뱅킹 앱 덕분에 몇 년 전에 작고하신 저희 할아버지가 십여 년 전에 제 이름으로 넣은 적금을 발견했습니다. 건강하셨던 분이 정말 갑작스럽게 사고로 떠나셔서 마음 정리도 충분히 하지 못했었는데... 적금 넣으신 시기와 금액을 보니 할아버지의 마음이 전해져서 진짜 눈물 났습니다. 적금을 찾은 것은 재작년의 일인데, 떠올리니 허전함에 눈물이 나네요. 할아버지가 생전에 가끔 제...전체 리뷰"
4,2021-4-7,별표 5개 만점에 5개를 받았습니다.,1,"계좌조회 편리성과 거래내역 확인이 더 좋아졌네요. 다만 아쉬운 것은 앱 로고 디자인 배경색상은 블루계통인데, 로그인후 계좌정보 등 포함 상세 카테고리는 그린 색상으로 제작되어 앱디자인 메인컬러 미스매치로 일관성이 떨어지네요. 가시성도 높지 않구요. 기업 CI와 패턴 및 시그니처(블루와 그린 조합)가 매칭되도록 구성해 본다면 이미지 마케팅 측면에서도 좋을것 같네요."
5,2021-4-6,별표 5개 만점에 5개를 받았습니다.,2,"계좌조회나 이체는 기본이고~ 앱을 통해서 예금, 적금을 쉽게 들 수 있고 자동이체 등록도 편하게 할 수 있어서 너무 좋습니다!!^^ NH스마트뱅킹뿐만 아니라 NH콕뱅크도 쓰고 있는데요. NH스마트뱅킹은 은행일을 전반적으로 거의 다 볼 수 있어서 좋구요. NH콕뱅크는 로그인이 간편해서 잔액조회를 하거나 이체할 때 빨리 할 수 있어서 좋습니다."
6,2021-4-6,별표 5개 만점에 4개를 받았습니다.,1,"전에 썼던 사용자였는데, 개선이 많이 됐네요! 몇년사이에 로그인도 편하고 타행은행 어플쓰다가 다시로그인하고, 알아보기 쉽게 메뉴찾기는 좋은데, 아직 사용하기가 불편한 부분도 있네요 원형모양으로 메뉴이동 하는부분 너무 조잡한거 같아요 쓰기편하게 개선되었으면 하는바램입니다."
7,2021-4-5,별표 5개 만점에 5개를 받았습니다.,1,어플 로그인이 빠르고 인터페이스가 깔끔하고 눈에 잘 들어와서 만족합니다! 특히 큰글모드는 정말 좋다고 생각돼요. 평소 거래내역과 이체를 자주 사용하는데 사용하면서 불편함없이 잘 사용하고 있습니다. 여러 이벤트들도 있어서 참여하는 것도 만족스럽습니다. 바라는 점은 꾸준한 만족스러울 업데이트와 어플이 좀더 가벼웠으면 좋겠다는 점이에요!
8,2021-4-7,별표 5개 만점에 5개를 받았습니다.,0,"로그인하기도 쉽고 이체 서비스나 다른 업무들도 어렵지않게 이용할 수 있어서 좋아요~ 앱 들어가면 내용들이 한 눈에 다 잘 들어오고 하루도 빠짐 없이 사용하는것같아요! 개인적으로 NH스마트뱅킹이 제일 편안한것같아요! 매일 매일 너무 편하고, 쉽게 잘 사용하고있습니다😊"
9,2021-4-6,별표 5개 만점에 5개를 받았습니다.,0,"심플한 UI와 다양한 금융서비스가 마음에 듭니다. 더 이상 은행에 직접 찾아가야 할 이유가 없네요. 사용자의 편의성에 대해서도 많은 고민을 하신거 같네요. 계속해서 좋은 서비스를 해주시기를 바랍니다. 농협을 대표하는 금융앱으로써, 전 국민이 하나쯤 갖고 있어야만 할 대표 상품이 하나 있었으면 합니다."
10,2021-4-7,별표 5개 만점에 5개를 받았습니다.,1,"ui 가독성 좋고 간편뱅킹 서비스도 편리해서 잘 쓰고 있습니다. 농협 계좌를 많이 안 쓰는데, 이번에 새로 설치한 빗썸이랑 연동이 되어서 편리하게 이용할 수 있어서 상환 목적으로만 사용하고 자주 안 쓰던 계좌를 투자 자산 운용을 위해 활발히 이용하게 됐어요. 전에는 ui가 조금 마음에 안 들었는데, 확실히 최근 들어 깔끔하고 예뻐졌고, 가독성도 너무 좋아졌습니다. 좋게 발전된 것 같아 만족스럽네요."
11,2021-4-5,별표 5개 만점에 5개를 받았습니다.,0,은행업무를 많이보는 편입니다. 자동으로 4자리 비번입력하면 승인이 빠르게되는거도 편리하고 로그인방식도 비밀번호방식을 사용하는데 빠르고 편리합니다. 다른 메뉴를 선택할때도 쉽게 구성이 되어있습니다. 그리고 참여할수있는 이벤트도 앱 첫화면 하단에 바로보이는거도 좋습니다. 은행앱이벤트는 왠지 당첨이 안될거같은 생각이드는데 한번씩 당첨이되기도해서 재밌기도합니다.
12,2021-4-6,별표 5개 만점에 4개를 받았습니다.,0,"농협 모바일뱅킹 앱 매우 편리하고 은행업무 보는데 도움이 많이 됩니다. 다만, 정말 어쩌다 한번씩이지만 이체 업무가 에러나서 한참 있다가 다시 시도하는 등 아직 개선이 필요한 점이 있어서 별 하나는 빼었습니다. 앱 실행 에러 잡아주시고 앞으로도 발전하는 농협 모바일뱅킹을 기대해봅니다."
13,2021-4-6,별표 5개 만점에 5개를 받았습니다.,0,농협 관련 앱 중에서는 제일 편해요! 올원뱅크도 같이 사용 중인데...거긴 등록된 계좌 하나만 메인에 보여서 불편함이 있었는데.. NH스마트뱅킹은 계좌 확인 및 관리하기가 너무 좋아요ㅠㅠ 주택청약 같은 예금 상품도 이자조회나 계좌 정보 찾을 때 몇번 안 눌러도 되니 시간도 절약되고 짜증(!)도 안 납니다ㅋㅋㅋ
14,2021-4-6,별표 5개 만점에 5개를 받았습니다.,1,핸드폰 조작 실수등의 염려로 평생 아날로그로만 살았는데..모바일otp가 있다는 소리에 스마트뱅킹으로 전환하고 가입해봤습니다. 화면구성이 쉽고 알아보기 편하게 돼있어서 연세있으신 어른들도 사용하시는데 큰 문제는 없어보입니다만..영어를 혼용하는 메뉴는 한글로 이해하기 쉽게 바꾸시는게 어떨까싶어요.
