,DATE,STAR,LIKE,REVIEW
0,2021-4-7,별표 5개 만점에 1개를 받았습니다.,5,주식연계계좌 만드는데 마지막 공동인증서 응답수신에러뜨며 진행이 계속 안됩니다. 고객센터에 연락했더니 답이없다는식으로 말씀하시네요. 연결문제인것같으니 나중에 접속해서 다시해보라합니다. 1시간에한번씩하는데 오전부터 지금까지 가입을 못하고있어요
1,2021-4-6,별표 5개 만점에 2개를 받았습니다.,9,내 자산 보기기능은 좋은데 일부 증권사연결하면 자산 업데이트가 안됨. 업데이트바 90%정도 찬 후에 멈춤. 데이다운로드 보면 업데이트 도중에는 900~600KB/s사이 왔다 갔다하다 바 멈추고 나면 0KB/s인 것으로 보아 각 금융사 데이터 다운로드는 끝났는데 앱이 그걸 구성 못하는 듯. 고객셈터에 물어봤는데 전산팀에서 해뎔 못함. 신한은행 IT능력 좀 되는 줄알았는데 중소기압 수준임..
2,2021-4-7,별표 5개 만점에 1개를 받았습니다.,2,"이딴걸 은행 앱이라고 만들어뒀습니까. 베타버전도 아니고 무한로딩 걸릴때마다 껐다켜야하는 수고는 왜 이용자가 감당해야합니까? 편의성도 쓰레기수준입니다. 20세기에나 쓸법한 앱. 아이디로그인을 못하면 해당란을 만들어놓지 말던가. 공인인증서 등록으로 바로 갈 수 있게 해놔야지, 계속 안된다고만 하고. 도대체 되는게 뭐가 있는건지. 금융기관에서 이런 덜떨어진 앱을 쓴다는게 믿어지지가 않습니다."
3,2021-4-4,별표 5개 만점에 4개를 받았습니다.,4,공인인중서가곧 만료라는 안내가있어서 쏠인증센터(모바일)앱에서 인증서갱신을 했습니다.그런데도 메인화면 상단부의 만료예정일공지창은 전혀변경되지않고있네요! 혹시몰라 인증갱신을 다시하고 성공적으로 갱신되었다는 화면 확인했는데도 메인화면의 만료예정공지는 그대로있고 실제 로긴해보면 곧 만료되니 갱신하라는 압데이트되지않은 창이 나옵니다. 실제 갱신되었는데 창이업데이트안되는 오류인가요 아니면 실제로 (갱신했으나) 갱신이안된것으로 오류가발생하여 민료일이후 아예 사용이안되는지 궁금합니다. 오류 신속하게 해결해주시기 바랍니다.
4,2021-4-5,별표 5개 만점에 3개를 받았습니다.,6,업데이트 이후 대출조회했던 상품이 계속 뜹니다. 다른 대출 상품조회를 하려고 해도 예전에 조회했던 상품만 계속 화면에 나옵니다. 예전 처럼 대출신청 버튼도 없고 계속 전에 조회한 대출상품만 뜹니다. 이거 왜이래요
5,2021-3-28,별표 5개 만점에 1개를 받았습니다.,1,갤럭시 S10플 사용자입니다. 오늘 갑자기 무선상의 일시적인 문제로 다시 시작하라고 계속 나오고 은행앱 접속이 안됩니다. V3 문제인 것 같기도 하고 삼성 최적화와 연관된 것 같기도 한데 빠른 해결 바랍니다.
6,2021-4-6,별표 5개 만점에 1개를 받았습니다.,0,"예금 담보대출 진행이 안됩니다. 대출 정보 기입 후 추가 인증요청 사항으로 ARS를 진행 하는데 ARS 진행 완료 후 인증서 제출 과정에서 인증서를 선택하면 로아딩 대기 리프레쉬 화면만 연속으로 보여지고, 진행이 안됩니다."
7,2021-4-3,별표 5개 만점에 3개를 받았습니다.,9,"앱 자체가 너무 무거워요, 예전부터 은행 앱들 쓰면서 느끼는게 은행 앱들이 무겁다 입니다. 인트로 화면도 사실 필요없는데 인트로 화면도 있고 화면의 단계단계마다 앱이 무거운건지 좋지는 않아요 그리고 쏠앱포함 페이판앱 까지 광고 푸시가 생각보다 자주와요 은행앱은 신규/조회/이체 등 기본에 충실하고 빠르고 간편하면서도 직관적인 사용법이어야 하는데 그러지가 않은거 같아요"
8,2021-3-30,별표 5개 만점에 1개를 받았습니다.,0,신분증 확인이 계속 안되네요. 상담사분께서 친절히 설명해주신대로 해봤지만 결국 해결이 안되었어요. 이건 앱의 문제인건데 해결 좀 해주세요.
9,2021-4-5,별표 5개 만점에 1개를 받았습니다.,1,"오류가 하루 걸러 하루 앱연결 자체가 안된다고 메세지 떠요. 급할때 이체 필요할때도 이러면 어떻게 쓰나싶어요. 입출금 알림 또한 연결이 안돼고,"
