,DATE,STAR,LIKE,REVIEW
0,2021-4-6,별표 5개 만점에 1개를 받았습니다.,2,"아니 갑자기 연결 오류로 앱 들어가지지 않는데.. 왜? 도데체 아무런 연락이 따로 없죠? 사이트나 문자나 전화로 공지사항이 와야 되는거 아닌가요? 보니까 한두명이 그러는게 아니라 많은 사용자가 그러는거 같은데요? 현대카드 자주 사용하는데 왜 불편한점에 대해서 어떤 조치도 없나요? 이거 접속오류 뜨시는 분들은 앱 재설치 하시면 돼요. 번거로워요 문자인증하고 짜증나고 불쾌하네요. 이런 일이 또 일어난다면 카드관리담당팀 을 바꾸시던가 신속한 대책을 세우세요 """"""아 무 짓 도 않 하 지 말 고 요"""""" 뭐 그냥 냅두면 사용자들이 알아서 ...전체 리뷰"
1,2021-3-30,별표 5개 만점에 1개를 받았습니다.,3,LG 삼성 같은 핸드폰은 원격제어 시스템이 내장된 휴대폰 기종이 있으며 구글 크롬은 원격 제어 앱이 따로 존재합니다.하지만 원격제어 때문에 현대카드앱이 오류가 난다면 고치는게 우선이지 원격제어 해킹 때문에 방지 차원에서 어플을 차단 하거나 오류가 나면 현대카드사 답변들은 자신들의 귀차니즘을 원격제어 탓으로 돌리고 있습니다. 원격제어 기능은 생활 곳곳에 쓰이고 있고 실용성도 높은 편입니다. 해킹 방지에 투자를하고 연구를 하셔야지 원격제어 탓으로 하기에는 현대카드사가 나태해보입니다
2,2021-3-31,별표 5개 만점에 1개를 받았습니다.,2,원격제어 보안 핑계로 계속 튕겨서 모바일 결제에 현대카드는 버렸음. 딴 카드사 다 되는데 답변 보면 개선할 생각도 없고 앞서가던 현카가 제일 후진이 됐네. 이대로 1년만 원격앱 강제차단 해둬보면 어떨까 넘 궁금 기대기대^^ 이럴 때 신한페이판 하나1Q페이 KB페이 삼페 모두 화이팅!!
3,2021-4-2,별표 5개 만점에 1개를 받았습니다.,2,2년동안 잘썻던 현대카드 앱인데 지금 며칠째 먹통이예요. 몇번을 새로 깔아도 먹통입니다. 아예 로그인이 안되요. 조치를 좀 취해 주셔야 하는거 아닌가요?개발자님들은 리뷰를 전혀 안보시나요?
4,2021-3-26,별표 5개 만점에 1개를 받았습니다.,3,아... 왜이러나요?? 몇번을 깔았는데.. 화면 들어가면 하얗게 변하고 먹통이되네요.. 뭔가 오류가 있는듯.. 빨리 조치 부탁합니다. 그리고 다 별1개인데 밑에 별5개 실화?? 알바 쓰지 마시죠..
5,2021-4-7,별표 5개 만점에 1개를 받았습니다.,0,재설치해도 계속 꺼지고 비번이 맞는데도 변경하래서 변경해도 비밀번호가 틀리다고 나온다. 이럴거면 돈주고 앱을 왜 만들었나 쓰지도 못하는데 어플 개발자는 미안하지도 않나
6,2021-4-5,별표 5개 만점에 1개를 받았습니다.,1,"지금 몇 주째 어플알림 먹통이라 문자로 사용내역 오고있고, 지문인증 결제도 안 됨 ^^ 업데이트 필요한가 들어와 보면 걍 최신버전임 앱 담당 부서는 뭐 합니까? 놀아요?"
7,2021-4-5,별표 5개 만점에 1개를 받았습니다.,1,"서버연결이 원활하지 않다고 안들어가지네요. .. , 지웠다 깔으니 됩니다. 알아서 하라는 건지.. 공지도 없고 답변도 없고 기분은 썩 좋지는 않네요."
8,2021-4-7,별표 5개 만점에 1개를 받았습니다.,0,서버 접속 안되는 오류 벌써 몇주 된것같은데 아무 대응 없나요? 현대카드에 대한 신뢰도 하락... 엠포인트 다 쓰고 다른 카드로 옮겨탈 예정
9,2021-3-29,별표 5개 만점에 5개를 받았습니다.,1,신용카드 처음 발급했는데 현대카드로 입문하길 잘한거같아여 어플 깔끔하고 빠르고 좋네요^^ 다만 사용내역을 보면 네이버페이나 카카오페이로 결제하면 내역만 보고는 뭘샀는지 햇갈려가지고 사용내역에 메모할 수 있는 기능이 있으면 좋겠어요!
