,DATE,STAR,LIKE,REVIEW
0,2021-4-7,별표 5개 만점에 1개를 받았습니다.,1,휴면계정 알람이 왔을 때 카카오페이에 접속하지 않아 재등록을 하려하는데 본인인증이 계속 안되어서 카카오에 서류를 내고 초기화요청을 했는데 카카오페이에서 서비스 해지를 해야된다네요. 로그인 안 하고 서비스 해지를 할 수는 없나요?
1,2021-4-7,별표 5개 만점에 1개를 받았습니다.,7,"아니 무슨 연결성공 계좌,카드 이용내역을 볼 수 있습니다 라는 페이지까지 떴는데 잔액확인을 누르니까 무슨 다시 계좌 연결하라는 페이지로 이동합니까??? 네이버페이 처럼 계좌 다 연결해놓고 확인하려고 했더니 계좌연결도 안되고 잔액확인도 안되고 적금통장은 연결조차 안되네요"
2,2021-3-3,별표 5개 만점에 1개를 받았습니다.,5,카카오영수증이라길래 한 번 해봤다가 낭패를 봤습니다. 저는 그냥 모바일영수증이려니했는데 앱 마음대로 멀쩡히 받고 있던 문자사용내역이 안오더라고요. 문자랑 앱이랑 연동해서 카드내역정리중이었는데 보름정도의 내역이 텅 비어버렸어요. 카톡으로 안받기하면 되는 줄 알고 있었는데 문자가 이상하게 와서 또 자동등록이 안됐습니다. 카드사에 문의했더니 키톡영수증 가입되어 그렇다고. 결국 전화해서 해지했어요. 이제서야 제대로 오네요. 보름치를 일일이 수기로 가계부에 등록해야했습니다. 왜 다른 걸 건드리게 시스템이 되어있는지 모르겠어요.
3,2021-3-12,별표 5개 만점에 1개를 받았습니다.,1,"별 한개도 아깝네요. ""알 수 없는 오류가 발생했습니다. 잠시 후 다시 시도해 주세요.""라는 문구를 본 지도 3일째입니다. 너무 답답해서 탈퇴하려고 카카오페이에 있는 돈을 송금하려고 하니 이것도 안됩니다. 예전엔 카카오만 가능한 기능들이 이젠 다른 은행 앱에서도 사용 가능하니 더 이상 이용할 일은 없겠네요."
4,2021-4-2,별표 5개 만점에 1개를 받았습니다.,2,"와우, 속 터지네요. 카카오페이 결제하는데 카카오톡은 왜 필요한지 모르겠고 결제 진행 중 전화번호 인증을 도대체 몇 번을 해야 하는지 이해가 안됩니다. 중간에 그만 두려다가 겨우 결제했어요. 첫 결제임을 감안한다고 해도 너무 하다 싶습니다. 카뱅 외 카카오 관련 모든 앱 지우러 갑니다."
5,2021-2-10,별표 5개 만점에 1개를 받았습니다.,8,위젯이 기존 모양이 아닌 갑자기 작아져서 나옵니다. 짤려서 나오구요. 여러가지 모양 있는거 알고있습니다. 그 것 때문이 아니라 바탕화면에 배치하는 순간 갑자기 작아집니다. 매크로 답변 노노입니다. 노트10사용자입니다.
6,2021-2-9,별표 5개 만점에 1개를 받았습니다.,4,"신규로 깔아서 해보려하는데 계속 연결상태가 좋지 않다네요,,, 데이터도 쓰고 와이파이도 바꿔쓰고 데이터도 써봤는데 몇번을 시도해도 접속자체가 안됩니다. 지금 당장 사용해야하는데 말썽이니 어뜨케 해야할지,,,"
7,2021-4-1,별표 5개 만점에 1개를 받았습니다.,0,500원에수수료 현금인출1300원에수수료..헉 핀크로 갈아타려고요. 아직 카카오페이를 사용하는곳이많지 안은거 같아 이체나거래시 페이가없어불편하고 투자 알림도 많이와서 별로인듯합니다.
8,2021-2-22,별표 5개 만점에 2개를 받았습니다.,5,잘쓰고 있었는데 위젯이 갑자기 짤려서 나오네요... +)디자인에 문제가 아니라 바코드가 3분에 1쯤이나 짤려서 바탕화면에 나옵니다 노트10이구요 아마 업그레이드 시 문제 같은데 수정해주셔야 할것 같습니다 저말고도 올려주시는 분들이 있는것 같은데 어떤 상황인지 잘 모르시는 것 같아 다시 올립니다 위젯을 눌러 앱을 켜면되긴 하지만 그러면 위젯을 쓰는 의미가 없어서.. ㅜ
9,2021-3-23,별표 5개 만점에 1개를 받았습니다.,9,특정문구누르면 어플종료되길래 재설치까지했는데 이젠 아예 로그인조차 안되네요 .. ㅡㅡ 카카오같이 큰회사에서 작은 회사어플들보다 최적화가 이렇게 안되있으면 믿고쓰겠습니까?
10,2021-3-5,별표 5개 만점에 1개를 받았습니다.,3,송금 받았는데 오류가 너무 많아요 제대로 된가 없어요 내역서가 너무 모자라요.500만 원 이상 차이 남 ㅋㅋㅋㅋㅋ 예전 카카오톡에선 그러지 않았는데... 이 앱이 4.7 별점 위조에 싸 바르셨군요.
11,2021-2-23,별표 5개 만점에 1개를 받았습니다.,1,어느순간부터 자산관리 업데이트가 안되네요..이 기능 쓰려고 설치한건데 20일전으로 고정되고 그뒤로 업데이트가 안되요..수동으로 업데이트하면 되나해서 눌렀는데 그마저도 안되네요.
12,2021-3-15,별표 5개 만점에 1개를 받았습니다.,2,송금할때 송금탭에서 카카오페이머니 잔액 나오게 바꿔주세요. 잔액 얼마 남았는지 매번 자산관리 탭에 가서 확인해야 하는 번거로움이 있네요. 다른 금융어플은 송금 시 잔액 보여줍니다.
13,2021-2-25,별표 5개 만점에 1개를 받았습니다.,4,증권사 연결이 안되요. 공인인증서로도 안되고 아이디로도 안되요. 그리고 카카오뱅크 간편 연결은 언제 다시 되나요? 최근들어 이 앱을 써서 해결된 일이 하나도 없어요.
