,DATE,STAR,LIKE,REVIEW
0,2021-3-28,별표 5개 만점에 2개를 받았습니다.,3,지금 화면이 3일째 안열리는데 어떻게 된일인가요? 업뎃하고나서 열기들어가니 화면하나만뜨고 들어가질않네요? 가타부타 설명도없고 며칠째인지 짜증나게!!
1,2021-4-7,별표 5개 만점에 1개를 받았습니다.,0,회원가입 후 프로모션 코드 입력창이 뜨질 않아 이용할 수가 없네요 포인트 주는 이벤트를 만들고 받을 수 가없으니 뭔..
2,2021-4-2,별표 5개 만점에 4개를 받았습니다.,3,유심카드에 등록된 휴대전화번호가 없다면서 회원가입이 안됩니다. 알뜰폰 사용자는 가입이 불가능한가요? 쓰고 싶어도 못쓰네요 도와주세요ㅠㅠ
3,2021-3-31,별표 5개 만점에 1개를 받았습니다.,0,제가 나라사랑카드를 등록하려고 앱을실행하고 약관동의후 회원가입을 하면 간편비밀번호를 입력하라해서 입력해서 앱이 다시 실행되니 프로모션이라는걸 찾아야하는데 보이지 않아 로그인을 하려는데 회원가입창으로 넘어가서 회원가입이 되지않았나 해서 다시하니 똑같이 간편비밀번호를 입력하고나면 갑자기 화면에 위변조된 폰이나 루팅된 앱(?)폰(?)이라는 창이뜨면 실행이되지않습니다..제폰에 문제가있는건가요???빠른시일내에 부탁드립니다!!!!제발 별하나주기도 아깝습니다
4,2021-3-7,별표 5개 만점에 5개를 받았습니다.,0,"개인적으로 저는 자산연동 카테고리 아이템 자체가 너무 유용하게 와닿습니다!! 한 눈에 카드사용내역 뿐만 아니라, 현재 잔고 그리고 계좌이체 내역 자체가 확인이 가능하다 보니 어떤 곳에 내가 어떻게 쓰고있는지 파악이 용이해서 좋아요!! 한가지 조금만 개선되었으면 좋겠는 점으로는 연동 속도 향상 부분인데, 여러 금융기관의 내정보를 취합하는 과정이다보니 이해는 갑니다^^ 더 승승장구 하는 리브메이트 자산연동탭이 되었으면 합니다!! 감사합니다!"
5,2021-4-6,별표 5개 만점에 5개를 받았습니다.,0,간편하게 결제도되고 잔고도 확인할수있어서 아주 편리하게사용하고있습니다 뚱이입니다
6,2021-3-17,별표 5개 만점에 5개를 받았습니다.,5,"리브메이트 어플이 가장 좋은 것은 현금화가 쉽다는 점입니다. 복잡한 과정 없이 빠르게 할 수 있어서 계속 사용하고 있습니다. 또한 자산연동이 되어 내 자산을 관리 할 수 있어, 국민은행을 주 은행으로 사용 하고 있네요. 다만, 국민은행 어플들과의 연동 속도만 개선해 주시면 더 나은 서비스를 제공 가능 할 것 같습니다!"
7,2021-3-25,별표 5개 만점에 4개를 받았습니다.,3,광고를 포인트로 적립하는 시스템은 참 유용하게 괜찮은 거 같습니다.하지만 어떤 날은 광고가 엄청 많고 어떤 날은 거의 없는 경우가 있더라구요.그냥 그 날 그 날 비슷하게 포인트를 쌓을 수 있음 좋겠어요.광고가 없는 날은 하루에 100번은 들어가는 듯요.ㅋ
8,2021-3-17,별표 5개 만점에 5개를 받았습니다.,7,"국민카드와 국민은행 계좌를 메인으로 사용하기 때문에 리브메이트도 함께 이용합니다. 이벤트 진행도 자주해서 좋고, 퀴즈나 출석 등으로 포인트 쌓이는 것도 무시할 수 없네요. 앱 오류도 거의 없고 만족하며 사용하고 있습니다."
9,2021-3-23,별표 5개 만점에 5개를 받았습니다.,1,"리브메이트를 통해 카드와 계좌를 쉽게 관리할 수 있어 유용했습니다. 또한 쿠폰을 사용해서 햄버거, 커피도 싸게 구매할 수 있어 좋습니다. 퀴즈 풀기를 통해 일반 상식도 배우고 포인트리를 적립하는 것도 재미있습니다. 앞으로도 좋은 서비스 부탁드립니다."
