,DATE,STAR,LIKE,REVIEW
0,2021-4-6,별표 5개 만점에 2개를 받았습니다.,9,결제 반응속도좀 개선해주세요. 삼성페이 결제시 지문인증이 준비되는데에 5번중 1~2번은 너무 오래걸립니다. 어쩔때는 그냥 무한 로딩떠서 앱 껐다켜야하구요.
1,2021-4-1,별표 5개 만점에 1개를 받았습니다.,2,여러분 제발 이앱 하지마세요 별 한개 주기도 아까워요 제가 무통장으로 입금할려고 이거 깔아서 했는데 비번 까먹어서 재설정할려니까 일치하지않는다고 뜨네요?ㅋ그래서 30000원 날렸어요 포인트는 왜 30000원부터 결제하라는건지;;진짜 이 앱 사서 후회하지마시고 절대쓰지마세요 이딴앱 쓴 내가 참 후회스럽다..;;그리고 결제비번 5회이상 못 하면 재설정하라네요;;솔직히 설정에 들어가서 비번 알 수 있는 기능은 만들어놓는게 정상아닌가요?좀 빨리 만들어주세요;;
2,2021-3-30,별표 5개 만점에 4개를 받았습니다.,2,다른건 다 좋은데 QR 인식이 제대로 되지가 않습니다 휴대폰을 여러번 흔들거나 앞뒤로 왔다갔다 시켜야만 인식이 되어 불편합니다. QR 코드 인식 가이드 오버레이나 다른 QR코드 인식 라이브러리를 사용하면 좋을 것 같습니다. 좋은 앱 만들어 주셔서 감사드립니다.
3,2021-3-28,별표 5개 만점에 3개를 받았습니다.,7,넘잘쓰고 있는 어플입니댜..ㅠ 근디 서버오류났다고해서 계속 실행안되다가 삭제하고 다시 설치했는데 삼성패스 업뎃하라해서 하고 다시 접속하니 계속 튕기고...그래서 다시 재설치...ㅎㅠㅠ 서버db가 꼬였나유..?나빠 증말..ㅠㅠ
4,2021-3-24,별표 5개 만점에 3개를 받았습니다.,6,잘 쓰고있었는데 어제부터 서버오류라고 뜨면서 결제도 안되고 페이코앱을 들어가도 아무것도 안떠요.. 유일하게 쓰는 간편결제앱인데 해결좀 해주세요..
5,2021-3-29,별표 5개 만점에 1개를 받았습니다.,0,포인트 계좌 환급이 왜 안되죠? 환급계좌 다 저장해놨는데..환불버튼 없어지고 계속 계좌 설정 버튼만 있어요ㅜㅠ
6,2021-4-2,별표 5개 만점에 1개를 받았습니다.,5,페이코삼성페이 위젯으로 꺼내서 쓰고있었는데 며칠전부터 계속 앱이 회색으로 변한 상태로 찾을수없는앱이라고 뜨면서 실행이 안됩니다;;;;
7,2021-4-1,별표 5개 만점에 1개를 받았습니다.,8,갤10 5g기종인데 며칠 전부터 페이코가 아예 안 열려요 어플 삭제하고 다시 깔아도 안됩니다 모든 결제 페이코로 하는데 너무나 불편합니다 무슨 일인가요 대체?
8,2021-3-25,별표 5개 만점에 1개를 받았습니다.,1,"""죄송합니다 서버오류가 발생했습니다"" 이거 안고치나요? 결제를 할수가 없네요. 혹시나 핸드폰 재부팅하니 되네요 -.-;; 그 동안 며칠 삼성페이 썼는데 참고하세요~"
9,2021-4-4,별표 5개 만점에 1개를 받았습니다.,1,아 너무짜증나요 어제부터 계속 앱안돼서 다시깔았더니 또 튕기네요 어쩌라는건지..포인트주기싫어서 이러는건가싶을정도
