,DATE,STAR,LIKE,REVIEW
0,2021-4-4,별표 5개 만점에 2개를 받았습니다.,4,이 어플 자체를 사용하는 이유가 무엇인지 사측에서 다시 생각해보고 빠른 수정을 해주셨으면 좋겠습니다. 저 이외에도 많은사람들이 네트워크 오류를 겪고 있다는것은 개인의 기기 문제가 아닌 서버측에서의 오류아닌가요? 이부분에 대해 사과의 말 한마디 없이 기기설정 변경이라는 메크로 답변만 남겨주시는게 국내 상위 금융사에서 나올 수 있는 답변인지 이해가 되지 않습니다. 또한 어플자체가 온라인을 통한 빠른결제가 이뤄져야 할 시점에 오류라니요.. 제시간에 맞춰 결제 진행을 못하면 신한카드에서 책임져주나요? 이렇게 잘못된 어플을 방치하고 있는 부...전체 리뷰
1,2021-4-7,별표 5개 만점에 1개를 받았습니다.,1,"네트워크 오류 해결책 좀 확실히 내놓으시죠. 아래 댓글에 있는거 해봤지만 다 안됩니다. 애초에 스마트폰에 웹뷰는 설치도 안되어 있음. 이게 게임앱도 아니고 카드 결제인데, 이런 오류가 며칠이나 계속 발생하는게 말이되나요.. 오류 발견되었으면 각자 스마트폰 페아판앱에서 알아서 업데이트 되게 하던지, 그게 아니면 일괄 문자로 해결방법을 전송하던지. 물론 확실한 해결방법으로요."
2,2021-4-7,별표 5개 만점에 1개를 받았습니다.,4,오래된 비밀번호 결제 비밀번호 바꾸라고 해서 바꿨는데 계속 해결이 안됩니다. 확인창을 누르면 비밀번호 변경창으로 바뀐다는데 넘어가지지도 않고 뭐라도 조회 할려고 하면 또 비밀번호 바꾸라고만 하고 사용불가에요. 앱때문에 다른카드를 써야할 판이에요
3,2021-3-18,별표 5개 만점에 1개를 받았습니다.,8,"갤럭시 10 쓰고있습니다. 아니 잘 쓰고 있던게 왜 창이 안열리는거죠?? 여러번 시도해도 계속 네트워크 오류 뜨고 실행이 안돼서 앱 삭제했다 다시 정보 새로 입력하고 깔았는데, 이젠 아예 열리다말고 창이 자동 닫혀버리네요 결제해야되는데 어떡합니까! 새 버전이 오류 있나봐요 결제해야됩니다~~~"
4,2021-4-6,별표 5개 만점에 1개를 받았습니다.,1,"개선부탁좀.. 앱다시설치,인터넷원활 했는데 안되는데 어찌해야하나요?자꾸 네트워크 원활이 안된다고 안켜지고 아니 폰이 s10 5g인데 와이파이했다가 lte했다가 5g했다가 다안되는데요? 앱 다시설치해도 안되요 전화해서 물어봄 다시는 이렇게 안되게 하나용?"
5,2021-3-21,별표 5개 만점에 1개를 받았습니다.,7,저기요 매크로답변 그만달고 네트워크 오류에 대한 해결책이나 내놓으세요. 재설치를 한시간동안 계속해도 어플 열리지도 않네. 혹시나하고 리뷰봤는데 나같은 사람이 엄청 많은데도 불구하고 매크로 답변만 남겨놓고 뭐하자는 겁니까? 심지어 남겨놓은 답변도 뭘확인하고 전화하라는 거지같은 답변만 달려있네. 매크로 답변달시간에 어플 오류나 확인해요
6,2021-3-20,별표 5개 만점에 1개를 받았습니다.,1,신한페이판 어플이 네트워크 오류라고 나외서 실행이 안되고 다시 지우고 재부팅하고 깔아도 실행도 안되고.. 금융이 중요한데 하나도 못했습니다. 제가 쓰기전 리뷰에도 다른분이 이야기 했던데 개선이 하나도 되지 않아 상당히 기분이 안좋네요. 카드 사용이 일상생활에서 중요한데 이렇게 되면 신한페이판을 사용하고싶은 마음이 정말 사라지네요.
7,2021-4-1,별표 5개 만점에 1개를 받았습니다.,4,지금 빨리결제해야되는데 네트워크오류떠서 다시 다운받아서 로그인해서 하려는데 까만화면만나오고 아놔 미치겠네여 신한페이판 저번에도 오류계속나서다시 받았는데 왜이러는데요 꼭 필요할때만 왜 승질나게만드는대요?아 진짜욕나옵니다 별하나도아까워 ㅆ
8,2021-3-31,별표 5개 만점에 1개를 받았습니다.,2,"왜 어제 부터 오류 다른 은행 카드앱은 잘 되는데 왜 이 앱만??? 결국 처음 부터 다시 깔아야 했네요. 정보 새로 다 넣고 비번 설정 하고 지문 인식 시키고 개인정보 동의 ""선택"" 빼 버리고."
9,2021-3-24,별표 5개 만점에 1개를 받았습니다.,1,"네트워크오류는 저만 겪는게 아닌가봐요. 삼성페이, 롯데는 아무 문제없이 사용되는데 왜 신한페이판만 안드로이드 업뎃으로 이런문제가 지속적일까요? 재설치해서 하루 되다 담날 또 네트워크 오류라고 하고... 하.. 인내심이 점점.."
