,DATE,STAR,LIKE,REVIEW
0,2021-3-10,별표 5개 만점에 1개를 받았습니다.,0,"어플 로그인시 지문으로 사용하다가 폰에 등록되어있던 지문을 삭제했는데 그렇게되면 당연히 어플도 접속이 안되기때문에 로그인방법을 핀번호로 변경하려니까 자꾸 이상한 에러창만 뜹니다. ""AUTHENTICATOR INDEX값이 unknown"" 간편인증 전체 해지해도 뜨고 다시 등록해도 뜨고 진짜 이거때문에 하루젠장 시간만 버렸어요. 공동인증서도 억지로 발급받아서 해봐도 안되고 그놈의 인증문자만 수십통 보냈어요. 대체 저 요상한 에러메시지는 무엇인가요."
1,2021-3-10,별표 5개 만점에 1개를 받았습니다.,0,속도 최악. 오늘 주문하려는데 로딩 문구만나오고 화면도 안나오더라구여. 더 기가 막힌건 ARS 고객센터 전화하면 상대방이 전화 안받는다는 메세지가 나옴. 개판이네 앱관리
2,2021-3-10,별표 5개 만점에 1개를 받았습니다.,0,하루종일 열리지도 않고 증권회사에 전화통화 하면 걸때마다 삼십분 이상 대기이구.. 진짜 ...다른데로 옮기던지 해야지 오늘 장 한번도 들여다 보지도 못한건 어쩔건지 ...
3,2021-3-9,별표 5개 만점에 1개를 받았습니다.,5,진심... 쓰레기네... 계좌 개설 후에 로그인 하려니 회원가입 해야하고 회원가입 하려니 보안매체 등록하라 그러고 보안매체 등록 하려니 뜬금없이 이체비밀 번호를 넣으라 그러는데 넣는 칸도 없음...머지....어쩌란건지
4,2021-3-11,별표 5개 만점에 1개를 받았습니다.,0,증권사 어플중에 가장 쓰레기 어플이라고 자신합니다. 다른데 계좌개설하는 시간의 2배~3배는 기본으로 걸릴 뿐더러 오류도 납니다. 모바일 OTP 발급받다가 오류났는데 OTP재발급도 실행도 안됩니다. 고객센터 연결하려니 대기시간만 30분이네요. 집안 대대로 내려온 원수집안에서 이 앱으로 주식투자를 하려고 한다면 그래도 한번쯤은 말려보고 싶을 정도의 최악의 시스템입니다.
5,2021-3-9,별표 5개 만점에 1개를 받았습니다.,3,비대면 간편인증로그인 신청하려하는데 2차 간편인증번호 비밀번호누르라고 팝업창뜨면뭐함 누를곳이 없어 키보드도 안나오는데 몇시간에 걸쳐 다시 처음부터해도 같은 단계에서 멈춤 내가 스스로 계좌 만들었지만 앱에 들어가지도 못하다니 개탄스럽네
6,2021-3-10,별표 5개 만점에 1개를 받았습니다.,1,"별 0개는 못주나? 계좌개설후에도 열번이상을 본인인증하게 만들고, 인증서등록도 안되고 다른주식어플들은 계좌개설하면 바로 사용이 가능한데 이건 로그인도 안돼, 아마 전세계 모든 증권어플중에 최악이 아닐까 한다."
7,2021-3-10,별표 5개 만점에 1개를 받았습니다.,2,업데이트 이 후 한칸 넘어갈 때마다 렉 너무 하네요 손에 익숙해서 미래에셋 계속 사용하고 있었는데 저도 다른 어플로 넘어가야겠네요
8,2021-3-10,별표 5개 만점에 1개를 받았습니다.,1,왜이렇게 다른 증권사 어플이랑 차이가 나고 어렵게 만드는지 공모주 청약하는데 다른곳은1분도 알걸리고 여기는 뭐이렇게 할게 많고 오류도 많은지 다른곳 비교해서 잘 만들어보세요...
9,2021-3-9,별표 5개 만점에 1개를 받았습니다.,1,ㄱㅏ 같은 애ㅂ 내도 개발자지만 이건좀 심하다 회원가입 시스템 좀 고치라 오류도 많고 안면인식 시스템도 먹통이고 이어하기 초기화되고 이건 미래에셋 앱관리 팀장이 회사말아먹는다
10,2021-3-10,별표 5개 만점에 1개를 받았습니다.,1,광고는 엄청 하는데 역대급으로 불편하고 여기만 이체할려는데 otp가 필요하네요?? 정말 시대를 따라가지 못하는 증권앱인듯
11,2021-3-10,별표 5개 만점에 1개를 받았습니다.,2,2019년 수수료 이벤트해서 가입해서 쓰는데 드디어 증권사 갈아탈겁니다 2021년 3월10일 10시 사고싶어도 버벅거려서 사지를 못하네 실시간상담 요청해도 다음에 이용하라고 해서 여기에 작성하는데 어플 랙 오짐
12,2021-3-10,별표 5개 만점에 1개를 받았습니다.,2,요즘 버그가 너무 잦아졌어요 얼마전엔 금액이 다 0원으로 떠서 재설치했는데 오늘은 무한로딩에 빠지네요
13,2021-3-9,별표 5개 만점에 1개를 받았습니다.,1,어쩌면 이렇게 복잡하고 어렵게 만들수있는지 감탄스럽네요. 계좌개설앱따로 트레이딩앱따로..이거만든분은 다른증권사앱은 안써봤나요? Otp나보안카드가없어서 청약도안되고 다른계좌로 이체도못하게만들었으면 애당초 미래에셋계좌로 입금이안되게해야죠. 친구랑 삼십분동안 계좌만들다가 한사람은 땔치우고 저는 됐다고좋아했는데 맞이한상황입니다. 일하다 지점에 보안카드발급받으러가는상황이 말이되나요? 대기고객들 상황이 다들 똑같음.녹음기수준.거기전화받으시는 남자분이 주식상담은 커녕 계좌앱관련 같은 전화만 수십통이라 죽겠다고 볼멘소리하시고.이럴거면 지점에서 전...전체 리뷰
14,2021-3-9,별표 5개 만점에 1개를 받았습니다.,4,인간적으로 위젯 디자인 너무 구린거 아닙니까? 처음 나왔을때부터 디자인은 한번도 안바뀐것 같은데요. 너무 공대감성 인듯. 대충 네모난 표 만들고 단색 입혀 놓는건 요즘 공대에서도 안할것 같은데요. 주가 좀 그때그때 볼라고 위젯 띄워놨는데 디자인이 너무 구려서 안보게되네요.
15,2021-3-9,별표 5개 만점에 1개를 받았습니다.,0,"공인인증서도 안되고, 간편인증 핀인증도 안되고 뭘 어쩌라는거? 무슨 닥터스트레인지 도르마무냐. 인증과정만 한시간동안 무한반복하다 포기함. 이토록 불친절하고 불편한 금융앱은 처음봅니다."
16,2021-2-24,별표 5개 만점에 2개를 받았습니다.,5,"개발자에게 메일로 보낸 내용입니다: 미래에셋 앱 사용성이 기가막히게 불편해서 다른 앱이랑 연결하려고 하니, 아이디도 설정 못하고, 공인인증서 등록도 '사용가능한 정책이 아니라'고 막아놓아 연결도 못 시켜놓게 합니다.  그럼 앱을 잘 만드시던가요? 다른 증권사로 옮기기 직전이니 답변 좀..."
17,2021-3-11,별표 5개 만점에 1개를 받았습니다.,0,업데이트 문제로 들어가지지도 않고 다시 재설치해도 안되고 거래 못한 내 돈은 어쩌죠??ㅠㅠ
18,2021-3-10,별표 5개 만점에 1개를 받았습니다.,1,"아니 업데이트 후에 렉이 너무 심한거 아닙니까?? 거래조차 어려울 정도로 렉이 심한데, mts가 이정도 수준이면 쓰레기네요"
19,2021-2-20,별표 5개 만점에 4개를 받았습니다.,3,"테블릿으로 보는데 환율차트나 국.내외 주요지수 차트에서 아래 시간별.일자별 부분이 현재7칸인데 사용자가 조절할 수 있게 해 주던지 4~5칸 정도로 줄여 줬으면 좋겠어요.차트가 상,하 폭이 좁아서 잘 안 보여요. 저는 이 부분외에는 만족합니다 꼭 부탁합니다.불편해요."
