,DATE,STAR,LIKE,REVIEW
0,2021-3-21,별표 5개 만점에 1개를 받았습니다.,1,ㅎㅎㅎㅎ 나만 못들어가는게 아니었네 내일당장필요한데 어찌해결해야하나... 다른리뷰보니 나와같은상황이던데 답글다는사람만 어떤상황인지 모르는건지 알면서 모르는척하는건지 몇개월째 같은 문제제기에 같은답변 복붙하는건가? 몇년째 사고안치면서 재가입하는 충성고객이었는데 다른곳을 알아봐야할듯 필요할땐 이용못했는데 보험료만 챙겨가는 곳이었다니 잘못은 니들이하고 피해는 왜 내가봐야하는거냐? 이글에도 똑같은 답글이 달리겠지!! ㅎㅎㅎㅎ 에라이
1,2021-3-23,별표 5개 만점에 1개를 받았습니다.,1,별 한개도 아까움 들어가지도 않는데 평가는 어떻게 하란 말인지
2,2020-12-28,별표 5개 만점에 1개를 받았습니다.,3,엉망... 카카오페이를 이용해서 간편로그인하게 만들던지 이중삼중으로 로그인 절차가 정말 구시대적이네요. 다들 공인인증을 없애고 있는데 도대체 개발자들 정말 한심하네요. 별 한개도 아까운 수준
3,2020-11-24,별표 5개 만점에 1개를 받았습니다.,7,이렇게 만들고 다이렉트 한다는거 자체가 웃긴 일이다. 운영하시는 분들이 써보긴 한건지 의심스럽네요. 사진 한 장 등록하는데 로그인을 몇 번 했는지....결국엔 못 했음
4,2020-12-22,별표 5개 만점에 1개를 받았습니다.,5,앱로딩중 멈춤. 실행 안되고 실행되도 로그인 누르면 멈춤. 개판. 별한개도 이까움.
5,2021-3-9,별표 5개 만점에 1개를 받았습니다.,0,앱관리안하시나요? 관리 책임자때문에 사람들 많이 해지할듯 저도 이번계약만료되면 다른곳으로 갈아타야긋네요 AXA본사에 건의해야하나요 앱관리팀 징계쫌 해달라고
6,2021-1-6,별표 5개 만점에 1개를 받았습니다.,0,"어제부터 로그인 ""현재 일시적인 장애로~"" 오류가 계속 뜨는데 관리 안하시나요?"
7,2021-3-21,별표 5개 만점에 1개를 받았습니다.,0,별한개도 아까움 앱 안열림
8,2020-12-10,별표 5개 만점에 1개를 받았습니다.,0,앱이 무한로딩 되는데 조치안하나? 외국회사라 대응이 느리나? 다신 재가입 없다
9,2020-11-4,별표 5개 만점에 1개를 받았습니다.,2,대체 서버관리나 앱을 어떻게 만들면 이리되나요? 0점 주고싶은데 안되네요 접속도 안되고 앱내 에러도 많고 ㅜ 이래서 누가 재가입할까?
10,2020-12-9,별표 5개 만점에 1개를 받았습니다.,3,이따위를 앱이라고 개발한 수준이;; 관련자들 전부 잘라라; 이런 결과물로 돈 받으면 진짜 한심한거다. 아니면 관계자 백마진을 의심해 봐라.
11,2021-1-9,별표 5개 만점에 1개를 받았습니다.,0,최악의어플 되는게없음 로딩만 하루종일..ㅡㅡ
12,2021-3-1,별표 5개 만점에 3개를 받았습니다.,0,사용은 편한데 요즘 넘 느려서 답답해요
13,2020-12-11,별표 5개 만점에 1개를 받았습니다.,0,렉이 어어어ㅓ어어어어엄청 걸려요
14,2020-12-4,별표 5개 만점에 1개를 받았습니다.,0,쓰레기어플 작동도안되고 먹통임 걍 어플삭제함 두번다시 여기 가입안함
