,DATE,STAR,LIKE,REVIEW
0,2021-4-5,별표 5개 만점에 1개를 받았습니다.,0,"0점은 못 주나요? 서류 제출할 때 다른 앱은 여러 장 동시 선택이 되는데 이 앱은 한 장 한 장 따로 선택해야 하고요. 30장이 넘는 사진을 업로드하고 다음을 눌렀는데 앱이 갑자기 꺼져 버리더니 처음부터 다시 하라네요? 저번에 4번 정도 하다가 폰이 이상해서 그러나 하고 오늘 다시 해보는데 벌써 3번쨉니다. 도대체 같은 일을 몇 번을 반복하라는 건가요? 처음에는 전송 가능 용량을 넘겨서 그런 건가 해서 두 번째부터는 확인해서 적게 보내도 달라지는 건 없습니다. 당장, 개선이 필요합니다."
1,2021-3-31,별표 5개 만점에 1개를 받았습니다.,5,와... 어제 보험금 청구하고 오늘까지 담당자 배정이 안됐길래 고객센터에 전화해서 문의하니 바로 보험급 지급이 됐네요 담당자 없이 전산만으로 처리할 수 있다고. 근데 왜 전화하기 전까지 입금이 안되다가 전화하자마자 5분도 안되서 입금이 된걸까요? 내가 전화 안했으면 과연 언제 처리가 됐을까요?
2,2021-3-18,별표 5개 만점에 1개를 받았습니다.,1,시스템이 엉망이네요 홈피도 앱도 보험증권발급에 이렇게 시간만 잡아먹고 쓸데없이 까는 보안프로그램은 2016년 업데이트로 돌고돌고돌고 동부화재 DB로 이름 바꾼게 기업쇄신하려고 한거 아닌가요 2021년에 2016년에 머물러 있는 회사네요 보험증권 발급에 앱 홈피 ARS 다 시도했는데 결국엔 못하고 내일 상담사랑 통화해야 하네요 부디 소비자가 접근하게 쉽게 좀 신경 좀 쓰세요
3,2021-3-6,별표 5개 만점에 1개를 받았습니다.,2,느린건 기본이고 사진모아올리기라는 기초중의 기초중의 기초적인 기능조차 탑재할 지능조차 없습니까? 여러장 구시대적으로 한장한장씩 올리다 버벅거리고 암걸리는거 다올리니까 튕겨버리니 어처구니가 없는데 올해산 최신폰으로 이딴경험하는게 정상입니까? 지금이 2021년이아니라 2011년입니까?
4,2021-2-4,별표 5개 만점에 1개를 받았습니다.,1,최악의 UX. 진료비영수증 업로드 정상처리되었다고 알람뜨고 알고보니 제대로 안올라가있음. 세부 신청내역 확인할길도 없음. 별하나도 아까움. 광고할돈으로 앱개발 제대로 하길. 남의 서비스도 좀 써보세요
5,2021-2-10,별표 5개 만점에 1개를 받았습니다.,1,"사진올리는데 왜케 느린가요?4장이상 올리면 앱이 다운되고 정지돼서 어플지웠다 다시깔아도 그대로네요, 결국 청구서 사진 열몇장올릴꺼 몇번에 나눠서 올렸네요,1시간 걸렸습니다"
6,2021-3-18,별표 5개 만점에 5개를 받았습니다.,7,실비보험금 청구를 위해 다운받아서 사용했는데 필요한 파일(요구 서류등)올리기도 쉽고 신청내용 작성하는 것도 금방 할 수 있었어요. 처리도 빠르고 만족했습니다.
7,2021-2-26,별표 5개 만점에 1개를 받았습니다.,1,"보험청구 시 사진 업로드도 잘 안되고, 다시 접속하니 무한로딩. 앱으로 쉽게 보험청구 할 수 있게 할꺼면 앱 좀 제대로 만드시고 버그 좀 고치세요."
8,2021-3-12,별표 5개 만점에 1개를 받았습니다.,0,안그러다가 갑자기 보안취약점이 발견되어 개인정보유출 위험이 있다고 종료한다는 메세지만 뜨고 들어가지지않는데요 왜이런 건가요..
9,2021-4-5,별표 5개 만점에 1개를 받았습니다.,0,업무 처리 속도가 대단하네요 . 보험하나 가입하는데 하루 종일 걸려서도 안되네요.
