,DATE,STAR,LIKE,REVIEW
0,2021-3-24,별표 5개 만점에 1개를 받았습니다.,2,사진찍기를 하용하시겠습니까 에서 허용 버튼 안눌러져요 . 조치 취해주세요!!!
1,2021-3-26,별표 5개 만점에 1개를 받았습니다.,2,주민번호를치면 안맞는다고뜨네요 바보아니고 본인주민번호틀리게적는사람잏나요
2,2020-10-28,별표 5개 만점에 1개를 받았습니다.,6,휴대폰에 있는 인증서도 인식이 안되는데 공인인증서 등록을 어떻게 하라는 건가요. 다른 보험사 앱에서는 다 인식되는 인증서가 여기서는 하나도 안뜨네요. 기본도 않되어 있는 금융앱! 전산라인 담당자들 정리하세요!
3,2020-12-3,별표 5개 만점에 1개를 받았습니다.,6,공인인증서 몇 일 후면 폐기되는데 앱 업데이트를 안 하고 있으면 어쩌자는 건가요? 공인인증서 없앤다는데 바이오인증 등록하려니 공인인증서로 추가 인증을 해야만 바이오인증이 되는게 말이 됩니까? 일 똑바로 하세요. 다른 후기 보면 카카오인증서 오류나는 것도 매한가지 같더만...
4,2020-12-20,별표 5개 만점에 1개를 받았습니다.,4,"별 한개도 아깝네. 이런 앱 만드는데 돈 쓰시지 마시고, 보험료 납부금 줄이는데 노력하삼. 특히 위 우두머리님, 이메일이나 팩스로 보내라고 하삼"
5,2020-10-28,별표 5개 만점에 1개를 받았습니다.,2,보험금 돈주기 싫으면 싫다고 해라 그냥... 앱으로 간편히 청구할 수 있다고 가입 시키고 정작 청구하려니 앱이 죄다 오류투성이네..
6,2020-11-19,별표 5개 만점에 1개를 받았습니다.,1,보험금 청구 할려는데 통신장애가 먼말이래유? 기본적인 어플아나 제대로 관리못하고 뭐하는건지...얼릉 고치세유
7,2021-2-14,별표 5개 만점에 1개를 받았습니다.,3,아주 쓰레기 앱. 노트10플러스 one ui3.0에서 계속 튕김.
8,2021-3-31,별표 5개 만점에 1개를 받았습니다.,0,실행이 안되는데? 전엔 잘됬음 짱나
9,2020-12-31,별표 5개 만점에 1개를 받았습니다.,1,오늘 갑자기 http에러라고 뜨면서 실행안됨 뭔가 손댓으면 공지를 하던가 똑바로하던가
10,2021-1-16,별표 5개 만점에 1개를 받았습니다.,0,앱관리 똑바로 하세요 등록된 계좌 조회도 못할거면 앱을 왜 만들어요?
11,2020-12-14,별표 5개 만점에 1개를 받았습니다.,0,시작과 동시에 멈춤. 바탕화면 프로그램?
12,2020-12-31,별표 5개 만점에 1개를 받았습니다.,0,http에러 [500]이라고 뜨면서 자꾸 종료되어 접속조차 불가합니다.
13,2020-1-8,별표 5개 만점에 1개를 받았습니다.,2,어제는 앱접속이 아예안되더만..그전앱을 삭제후 버전 높은 앱을 다시 다운받았으나 이번에는 서버검증오류 라는 창이 나옵니다. 몇일째 앱을 이용할수 없어요. 전화문의는 계속 통화중이고..지금이 2020년인데 업무는 후진하는 DB생명 참 답답하네요.
14,2020-12-31,별표 5개 만점에 1개를 받았습니다.,0,왜 자꾸 에러뜨나여??? 삭제하고 다시깔아도 그렇내-.-;;
