,DATE,STAR,LIKE,REVIEW
0,2021-3-29,별표 5개 만점에 1개를 받았습니다.,0,최악의 앱 보험 가입 했는데 .. 사이트 휴대폰 인증 했는데도 인증 정보 다르다고 확인이 안됨. 상담원 대화 하다가 화면 날라가더니 대화 사라짐 ㅋㅋ 상담 다시 신청해도 사람 많다고 안되고
1,2021-1-28,별표 5개 만점에 1개를 받았습니다.,0,살다살다 내가 계약한 보험 보장내용도 확인못하는 쓰래기 어플이 있을 줄은 생각도 못했네 성능은 둘째치고 제일 기본 기능도 못하는 폐급어플..
2,2021-1-13,별표 5개 만점에 1개를 받았습니다.,5,간편로그인 지문등록만 열번쯤 했는데 들어갈때마다 휴대폰인증 시키는 쓰레기 앱임 간편로그인 버튼을 그냥 없애시오 사람 고생시키지말고
3,2020-12-29,별표 5개 만점에 1개를 받았습니다.,3,"최악입니다. 앱 시작부터 위변조 검증으로 1분 넘게 소요되고, 차량 사진 업로드시 로딩중만 한참 뜨더니 결국 앱 위변조 에러 메시지 뜨면서 종료로 넘어갑니다... 다시는 쓰고 싶지 않네요"
4,2020-11-6,별표 5개 만점에 1개를 받았습니다.,7,여긴 앱도 문제지만.. 사고 처리하는거 보면 답 안나옴.. 사고나서 오더니 우리보험사가 내 잘못 7이라 선빵침 경찰조사에서 상대 가해자랬는데 ㅎㄷㄷ 그냥 돈좀 더내고 속터지는 일 없는데로 가는게 정답임!!
5,2020-10-20,별표 5개 만점에 1개를 받았습니다.,6,아니 로그인을 할 수가 없는데 뭘 어쩌란거야. 어플 어떤새끼가 만들었는지 참.. 당장 짤라라! 열불라서 갱신안하고 보험사 바꾼다.
6,2020-12-20,별표 5개 만점에 1개를 받았습니다.,3,생체인증 등록을 해도 로그인이 안되고 공인인증서 암호도 정확하게 넣는데도 계속 안맞다고 떠서 핸드폰인증으로만 로그인하네요 불편합니다 에듀카 저렴해서 보험 가입은했는데 추후 사고처리나 긴급서비스가 어떨지 염려되네요
7,2020-11-23,별표 5개 만점에 1개를 받았습니다.,0,"별 1개 주기도 아까움. 본인인증을 핸드폰으로 하고 가입하려는데, 계속 뜨는 문구는 인증 안되었다네? 관리도 안할 어플을 뭐하러 만듦?"
8,2021-2-15,별표 5개 만점에 4개를 받았습니다.,0,오랜만에 들어가봤는데 예전보다 많이 좋아졌네요.
9,2019-2-21,별표 5개 만점에 1개를 받았습니다.,6,쓰레기네.. 견적비교사이트에서 큰차이로 저렴하길래 진행했더니 최종단계에서 인터넷으로 견적확인이 어렵대.. 전화하라넼ㅋㅋ 중고차 허위매물 같은 뭐 그런건가? 진짜 웃긴다ㅋㅋㅋㅋㅋㅋㅋ
10,2019-3-11,별표 5개 만점에 1개를 받았습니다.,6,레노버 M10 테블릿인데요.. 설치하고 나서 실행을 하면 앱이 실행이 안되고 바로 죽어버리네요.. 껐다가 켜고 여러번 해 봤는데 똑같네요.. 조치 좀 해 주세요..
11,2018-9-18,별표 5개 만점에 1개를 받았습니다.,1,시간낭비만 했네요. 되지도 않는 이딴걸 왜 설치하라는건지...후기들 보니 오래전부터 그랬는데도 해결안하는 보험사라니...깝깝함다. 회사가 한심해서~
12,2019-4-30,별표 5개 만점에 3개를 받았습니다.,2,보험료는 싸서 좋았는데 앱은 별로.. 카톡인증을 세번을 함. 인증후 왜 앱으로 돌아오질 않는지.. 그리고 주행거리 사진 올리려는데 예금주 조회를 왜 못하는지.. 앱은 무용지물.. 웹은 되려나..
13,2019-4-2,별표 5개 만점에 1개를 받았습니다.,3,공인인증서 로그인이 안되네요 좀 전에 보험가입하고 나중에 사진등록 및 계약변경 할 때 쓰려고 앱 깔았는데 이게 뭔 일인지... 보험철회까지 고민되네요
14,2020-9-14,별표 5개 만점에 1개를 받았습니다.,6,더케이일때는 어플 접속도 잘 되고 편리했는데 하나로 바뀌고서는 너무 불편해요. 지문등록도 했는데 다시 접속할땐 또! 등록해야되고 그럴거면 등록은 왜 하나요? 다음 갱신땐 이 보험 가입 안할랍니다.
15,2018-10-25,별표 5개 만점에 1개를 받았습니다.,5,앱 좀 제대로 만들 수 없나요? 공인인증서 등록하려고 주민번호 입력하면 인증서 화면이 사라져 버립니다. 어떻게 장사하실려고 그래요?
16,2018-12-19,별표 5개 만점에 1개를 받았습니다.,2,로딩도 함흥차사에 분명 공인인증서 등록했는데 왜 자꾸 등록하라고 메시지만 뜨고 등록은 안되냐? 발로만든 앱인듯! 불편하다. 좀마니
17,2018-11-15,별표 5개 만점에 1개를 받았습니다.,8,인증서등록도 안되고. 퇴직교원 무직인데 직장주소 넣으라하고. 집주소 넣으면 불통이고. 최악이고 시간만 낭비했네요.
18,2019-4-21,별표 5개 만점에 1개를 받았습니다.,2,사용해본 기업 앱 중에 가장 오류 많은 앱. 가입부터 한단계 거칠때마다 오류 나는 앱. 앱평가 안하는데 꼭 하고 싶게 만드는 앱
19,2019-5-1,별표 5개 만점에 1개를 받았습니다.,1,이딴걸 앱이라고 만든 니들이 더 대단.. 느리고 무겁고 무한로그인에.. 초기화면 열리려면 커피한잔 마시고 와야할 정도.. 진짜 쓰레기네.. 이전앱도 그지같았지만 지금보단 나앗음
20,2020-1-15,별표 5개 만점에 1개를 받았습니다.,1,"최초 로그인시 인증서등록, 휴대폰, 카카오페이 로그인 다 안됨. 일단 컴퓨터에서 설정해야함, 앱 갔다 버리시길"
21,2018-9-30,별표 5개 만점에 1개를 받았습니다.,8,무한로그인은 기본이고 겨우 로그인해서 했더만 앱따라서 실행된 터치앤백신은 왜 종료가 안되나요?? 앱쓸때마다 폰을 껏다가 켜야하나... 앱관리도 안되는거같고 차주행거리사진올리다가 화가나기는 처음이네요ㄷㄷ
22,2019-6-16,별표 5개 만점에 5개를 받았습니다.,1,"자동자보험가입 메뉴가 편합니다. 스마트폰으로 일처리를 한다는 것은 24시간 접근이 가능해야하는 것이니 휴일에도 가입,대출,지급이 되었으면 합니다. 교직원말고도 일반 가입자도 접근하기 좋은 앱 만들어 주십시오."
23,2019-3-18,별표 5개 만점에 1개를 받았습니다.,2,다른회사 벤치 많이 하세요. 견적 내기도전에 많은 실망을 했습니다. 차량종류도 누락되어 선택도 안되네요.
24,2018-11-11,별표 5개 만점에 1개를 받았습니다.,2,홈페이지에서는 다 앱으로 연결시켜두고는 앱은 왜 이모양인가요? 광고만 두페이지 노출하는 앱인가요? 어이가 없네요
25,2020-4-28,별표 5개 만점에 1개를 받았습니다.,6,앱사이트 관리 좀 해주세요 접속이 안됩니다. 앱을 사용할수있게 되어야하는데 계속 접속중이라고만 하니 짜증나서 사용하겠습니까
26,2019-5-5,별표 5개 만점에 1개를 받았습니다.,6,별 하나도 아깝네요 공인인증서 로그인도 안되고 핸드폰 등록하면 계속 등록하라고 나오고 업데이트 되면서 쓰레기 됐네요
27,2018-12-15,별표 5개 만점에 2개를 받았습니다.,1,공인인증서 로그인이 안됨 자꾸 세션오류뜨고 메인으로 이동하라함 자동차보험 가입하려다 두시간동안 혈압오름..
28,2020-4-23,별표 5개 만점에 1개를 받았습니다.,5,별하나도 아깝네요. 회사가망한건지 앱관리를 안하는건지....에러때매 앱이 구동이안되네요.
29,2019-1-6,별표 5개 만점에 1개를 받았습니다.,2,로그인이 무한반복으로 안됨 왜 사용할수도 없는걸 설치하라는건지.. 괜히 가입만했네
30,2020-8-31,별표 5개 만점에 1개를 받았습니다.,3,역시 대형보험사람 다름..서버접속이 안됨..속터짐..이럴게 하고도 담당자들은 급료를 받는가? 근래 이런 어플 처음 봄.
31,2019-8-29,별표 5개 만점에 1개를 받았습니다.,1,와 진짜 ux 무슨 생각으로 기획한거지?? 검색기능도 하나 없고 이럴거면 어플로 할 수 있는거 하나 없는데다 로그인 할때도 공인인증서는 죄다 통신오류라고 뜨고 개선할 생각은 있는건지 si/sm 진짜 최악이다. 앱개발자 중급쓰나요????
32,2019-9-4,별표 5개 만점에 1개를 받았습니다.,2,이런 개떡 같은 경우 처음봄.이메일 형식이 잘못 됐다고 계속 뜨는데 인내심 테스트 하는것도 아니고...
33,2019-4-29,별표 5개 만점에 1개를 받았습니다.,3,본인인증로그인을 다양하게 해줄것을요청. 공인인증이나 신용카드인증 추가해줬으면. 해당사 계약자임에도 모바일에서는 본인명의휴대폰이 아닌이유로 로그인자체를 못하고있음.
34,2018-11-1,별표 5개 만점에 1개를 받았습니다.,2,공인인증서 등록하는데 계속 서버접속이 종료됐다고 에러나네요. 서버관리 안하시나요
35,2019-2-9,별표 5개 만점에 1개를 받았습니다.,1,진짜 짜증남. 로그인도 안되고 공인인증서 불러오기도 안됨. 앱 언제 업그레이드 할래.
36,2019-7-19,별표 5개 만점에 1개를 받았습니다.,8,로그인 오류가 굉장히 심하네요.. 솔직히 별 1개도 아깝습니다.
37,2018-9-18,별표 5개 만점에 2개를 받았습니다.,1,우와 진심 최악의어플인듯~~ 당췌 주민등록번호를 수십번입력해도 다시 처음이고 관리좀제대로 하셔야할듯해요!
38,2019-5-9,별표 5개 만점에 1개를 받았습니다.,2,업데이트 하고나서 보험료 산출하려고 하면 cannot call method fill.... 이런 오류메세지 떠요
39,2019-11-23,별표 5개 만점에 1개를 받았습니다.,8,마일리지 등록 더럽게 힘드네요 회원가입까지해야합니까? 절차라도 쉽게해놓던가 그냥 이메일로 사진보내게해주면 쉽자나요 연세드신분들은 하라는건지 말라는건지 짜증나서 가입하다가 지웠네요
40,2019-4-19,별표 5개 만점에 1개를 받았습니다.,2,홈페이지로 마일리지등록이 안되서 어플로 하려고 설치하려는데 설치도 안되네요..
41,2019-6-16,별표 5개 만점에 1개를 받았습니다.,2,화면중간에 메세지창이 걸리면서 로그인이 안됩니다.
42,2018-12-3,별표 5개 만점에 1개를 받았습니다.,1,앱 설치 후 보험가입 하려니 에러가 발생하면서 진행이 안됩니다.
43,2019-3-23,별표 5개 만점에 1개를 받았습니다.,2,"사진등록하려 설치했는데 ""정책수신중""만 몇 시간째. 제거해 버림. 더케이답게 만든 앱"
44,2019-6-16,별표 5개 만점에 5개를 받았습니다.,1,앱이 많이 바뀐거 같네요 대출 메뉴나 장기보험 메뉴가 다양해서 좋네요
45,2019-6-28,별표 5개 만점에 1개를 받았습니다.,4,별점 한개도 아까움 업데이트되면서 인증됬다면서 로그인만 10번 시키네요
46,2020-2-4,별표 5개 만점에 1개를 받았습니다.,3,"더케이 망했나요? 와, 설치 했는데 사용 할 수 없다고 하네요! 사이트도 들어가지도 않고ㅠㅠ"
47,2020-10-8,별표 5개 만점에 1개를 받았습니다.,0,로딩이너무오래걸려요 더케이일때는 금방들어갔는데 이거조치좀취해주세요
48,2020-10-16,별표 5개 만점에 1개를 받았습니다.,0,설치가 되긴되나요? 설치 자체가 안되는데..
49,2020-5-22,별표 5개 만점에 1개를 받았습니다.,2,야 여기 진짜 일 안하는구나 앱이 작동을 안한다는 리뷰가 널렸는데.. 고치질 않나보네
50,2020-9-17,별표 5개 만점에 3개를 받았습니다.,1,로딩이 생각보다 오래 걸리지만 접속되면 잘되네요
51,2018-11-22,별표 5개 만점에 5개를 받았습니다.,1,공인인증도 잘되고 보상처리도 쉬운데요 평이 왜이러죠?
52,2020-11-20,별표 5개 만점에 1개를 받았습니다.,0,하나원큐 앱~~~웃음밖에 안 나온다 ...다운받아 보시면 압니다 ㅋㅋ
53,2018-11-21,별표 5개 만점에 5개를 받았습니다.,3,보험체결과 마일리지등록 잘 했어요.. 편하네요
54,2020-7-20,별표 5개 만점에 1개를 받았습니다.,7,접속이 왜이렇게 느려 계속 접속 중이래 짜증나네
55,2019-5-24,별표 5개 만점에 1개를 받았습니다.,4,업데이트 후 접속이 안되네요. 재설치 해도 마찬가지예요
56,2019-3-13,별표 5개 만점에 1개를 받았습니다.,1,공인인증서 등록이 안되네요 세션 연결 종료가 뜹니다
57,2020-8-14,별표 5개 만점에 1개를 받았습니다.,1,앱에 접할수가 없다내요.ㅠ 앱 지우고 깔고 3번해도 안됨
58,2020-8-3,별표 5개 만점에 1개를 받았습니다.,1,어플 왜 만듬? 로딩으로 20분째 안됨.
59,2021-1-9,별표 5개 만점에 1개를 받았습니다.,1,설치단계에서부터에러군요
60,2020-8-1,별표 5개 만점에 1개를 받았습니다.,1,쓰레기네요 접속이 안되요 아예 관리안하는듯
61,2020-2-29,별표 5개 만점에 1개를 받았습니다.,6,폰을 두 가지로 해도 사진 등록이 안 되는 엉터리 앱
62,2018-12-31,별표 5개 만점에 1개를 받았습니다.,1,로그인안됨 마일리지특약 사진올리려는데 뭐 로그인이되어야지 2년째 더케이썻는데 내년은 바꿉니다 ㅂㅇ
63,2020-6-18,별표 5개 만점에 1개를 받았습니다.,6,어플 너무느리고 오류많음
64,2020-5-2,별표 5개 만점에 1개를 받았습니다.,1,이 사기꾼들 열받게 하네 리워드 지급 미끼로 사기를 쳐? 개인정보만 쏙 빼가고 앞뒤 설명이 다르네? 이런 개사기에 가입할 맘이 생기겠냐? 뭐 이런 쓰레기들이 있냐 개인정보 걸려서 너네 사기죄 걸리는 건 아냐
65,2020-9-27,별표 5개 만점에 1개를 받았습니다.,0,너무느려서 도대체 짜증만 불러 일으키네요
66,2021-4-3,별표 5개 만점에 1개를 받았습니다.,0,접속이 매날 안된다 쓰레기다
