,DATE,STAR,LIKE,REVIEW
0,2021-1-6,별표 5개 만점에 1개를 받았습니다.,1,"하나생명 원큐앱으로 바뀐후로 공동인증서,간편비밀번호,지문인증까지 다 등록해도 모바일창구 로그인만 하려고하면 일시적인 오류라는 메세지만 계속 뜨네요 몇달전부터 같은 메세지가 나와서 고객센터연락하래서 전화했더니 관련 공지내려온게 없다면서 모른다던데 도대체 제일중요한걸 못쓰는데 어떻게해결해야하나요?너무 불편해서 안쓰고 싶네요ㅡㅡ"
1,2020-12-23,별표 5개 만점에 1개를 받았습니다.,0,보험팔이 새1끼들이 의도하고 만든 허접한어플 별한개도 개아깝
2,2019-8-7,별표 5개 만점에 4개를 받았습니다.,4,"고객센터 컨택하거나 방문하는건 불편한데, 앱으로 할수 있는 업무가 늘어난건 좋은거 같습니다. 다른 사용자가 지적하신 것처럼 백신프로그램 팝업 뜨는거랑 간헐적으로 보이는 로딩 오류 페이지?(센터로 연락하라는 거) 등은 개선이 필요해 보입니다."
3,2019-8-9,별표 5개 만점에 5개를 받았습니다.,3,"사용하기 편하게 만들어졌네요..간편인증으로 본인확인을 통한 계약관련 제반서비스를 모두 받을수있어 유용하게 사용할것 같습니다. 다만, 하나머니로 보험료 결제하는데 있어 타임오류..서비스시간초과에러로 3회시도했으나 연결되지 않아 점검이 필요해보입니다. 수고 많으셨습니다"
4,2019-8-12,별표 5개 만점에 5개를 받았습니다.,4,앱으로 조회에서부터 처리까지 할 수 있고 시간적제한도 덜하고 사용하기 편하고 좋아요 고객센터도 업무시간이 정해져있어서 어느정도는 불편했는데 좋아요^^ 그런데 보험가입때 마케팅 등 선택동의라되어있는데 실제는 동의해야지만 다음단계로 넘어가네요
5,2019-8-14,별표 5개 만점에 5개를 받았습니다.,1,그동안 보험계약을 오랫동안 유지해오면서도 계약내용을 잊게되니 종종 궁금했었어요.. 한눈에 모든 계약이 확인되니 정말 편하고 좋네요.. 고맙습니다. 하나생명~~~♡♡♡
6,2019-8-7,별표 5개 만점에 2개를 받았습니다.,1,V3 ERROR : 83 이라고 하는데 어떻게 실행해야 하나요...? V3도 재설치해보고 하나생명앱도 재설치 해보는데 실행이 안되네요.. 답변주시면 별 5개... 해외에 있고 기본 OS가 영어... 혹시 그게 문제가 되려나요? ㅠㅠ
7,2019-8-7,별표 5개 만점에 4개를 받았습니다.,0,"하나생명 가입고객으로서 내계약의 조회기능이 쉽고 다양화되어 보기편했습니다. 다만 신상품 가입시에는 청약서, 약관의 뷰어기능과 보안key 입력기능이 느리고 V3 실행 팝업이 계속 뜨는 등 보완이 필요해보입니다."
8,2019-8-7,별표 5개 만점에 5개를 받았습니다.,0,V3팝업창이 계속떠서불편네요. 정보입력후 확인할때 로딩이너무 느리구요. 그래도 내 계약 쉽게 확인가능하고 모바일청구 가능하게 되서 좋습니다.
9,2019-8-13,별표 5개 만점에 3개를 받았습니다.,0,전체적으로 조금 사이트가 느리네요. 그래도 방문하지않고 처리할 수 있는 업무가 있어서 편리하네요. 그리고 혹시 메뉴 서칭기능을 추가할수는 없을까요? 메뉴 하나하나 뒤져야해서 좀 불편하네요.
10,2019-8-9,별표 5개 만점에 4개를 받았습니다.,0,"앱으로 보험을 편하게 가입했습니다. 다만, 문서 로딩시 시간이 좀 오래 걸리는 점은 개선되면 좋겠습니다. 더 좋은 서비스를 기대하겠습니다."
