,DATE,STAR,LIKE,REVIEW
0,2021-3-26,별표 5개 만점에 3개를 받았습니다.,2,"자꾸 ""[40015] 통신과정에서 에러가 발생했다고 뜨네요.."" 앱을 삭제하고 다시 깔아도 그렇고.. 와이파이를 꺼도 그렇고.. 다시 와이파이를 켜도 그렇고.. ㅠㅠ 왜 이렇죠~?"
1,2021-3-25,별표 5개 만점에 2개를 받았습니다.,1,업데이트이후 안들어가짐 로딩만 몇분째인지 삭제이후 다시 받아도 같은 현상임
2,2021-2-25,별표 5개 만점에 5개를 받았습니다.,7,"보험금 신청이 쉽고 편리하게 되어 있네요. 칭찬에 인색한데 이 어플은 아주 칭찬합니다. 단, 보험금 수령이 실망시킬지 여부는 지켜보겠습니다."
3,2021-2-2,별표 5개 만점에 5개를 받았습니다.,4,앱 공유하기 기능 추가 요청! 고객들이 클릭만해서 바로 설치할수있도록. 설계사가 추천인 사번 넣어서 고객님께 바로 발송 할수있도록 이요~~
4,2021-3-17,별표 5개 만점에 3개를 받았습니다.,1,원래 잘 이용했었는데 요즘 왜 접속이 안되요? 누르면 암껏도 안뜨고 바로 없어지네요? 어플 바뀌었나요?
5,2021-3-3,별표 5개 만점에 2개를 받았습니다.,3,저번엔 실행이 잘 됐는데 오늘 접속하니 처음 화면에서 멈춰버립니다.
6,2021-3-31,별표 5개 만점에 1개를 받았습니다.,0,보험료 납입하려고 접속하는데 접속안됨..
7,2021-3-9,별표 5개 만점에 1개를 받았습니다.,3,청구할때 사진 연동열면 계속 앱 죽습니다 어찌 청구하라는건가요?
8,2021-1-14,별표 5개 만점에 1개를 받았습니다.,8,앱좀제대로만드세요 몇번을 지웠다 깔아도 통신이 원활하지 않다고 실행이 안 됩니다. 와이파이가 아닌 데이터로만 연결해도 계속 그럽니다. 보험금 청구 간단하게 하려다가 화병나서 죽겠네요 별 0개가 없어서 1개라도 드리니 고마워하길 바랍니다
9,2020-12-20,별표 5개 만점에 5개를 받았습니다.,9,혹시 리뉴얼된건가요? 로딩 속도도 빨라지고 로딩시 디자인도 전에는 원 모양이 어지러웠는데 훨씬 깔끔하네요. 안그래도 보험료 납부 만기된 건이 있어 보험 추가가입 고민중이였는데 '보험료 청구'하러 들어왔다가 '내보험보장분석' 있기에 호기심에 눌러봤는데요. 다른 보험사 가입 건도 확인되어서 부족한 보험 추가 가입도 계획할 수 있고 우와~좋아요
