,DATE,STAR,LIKE,REVIEW
0,2021-4-7,별표 5개 만점에 1개를 받았습니다.,2,나만 그런줄~ 관리하고계신거 맞나요? 연결이 안된다고 계속떠서 포기하고있다가 몇달만에 혹시나 고쳐졌겠지하고 설치했는데 그대로네요
1,2021-4-7,별표 5개 만점에 1개를 받았습니다.,1,피드백 좀 해주세요 네트워크 연결이 원활하지 않다고 어플실행이 안됩니다 껐다켜도 지웠다 재설치해도 업데이트해도 계속 안되는데 조치 안되나요?
2,2021-4-6,별표 5개 만점에 1개를 받았습니다.,1,앱이 안열림 ㅠㅠ 개인정보 변경하려니 앱에서 하라는데 열려야 변경을 하던지말던지!! 네트워크 빵빵하고만 자꾸 원할하지안테 ㅠㅠ 앱관리좀 하게요!!!
3,2021-4-6,별표 5개 만점에 1개를 받았습니다.,5,업데이트 하지않으면 서비스 이용 불가라는 문구만 계속 나오고 업데이트는 안되서 이용할 수가 없어요..확인 부탁드려요 ..
4,2021-4-6,별표 5개 만점에 4개를 받았습니다.,0,나름 편해요. 다만 메뉴가 막 엉켜있는 느낌이라 쉽게 보험금청구란을 찾기가 힘듬
5,2021-4-7,별표 5개 만점에 2개를 받았습니다.,0,시스템 불편함. 며러모로 서비스가 필요할. 단기특약가입하려는데 열리지않음. 할때마다 문제가있음.
6,2021-4-4,별표 5개 만점에 1개를 받았습니다.,1,앱이... 왜안열려요?? 삭제하고 다시깔아봐도 안열리니원... 어플관리좀 제대로 하셔야될것 같아요!! 며칠째 계속 열리질않으니 원... 뭘 업데이트 했다는거예요??
7,2021-4-3,별표 5개 만점에 1개를 받았습니다.,2,네트워크 연결이 원할하지 않다는 오류가 계속떠서 로그인이 안됨 관리가 엉망인데 무슨 인증을받고 수상을 했다는건지
8,2021-4-7,별표 5개 만점에 1개를 받았습니다.,2,담당자는 리뷰도 안보나봐요!...며칠째 어플 실행조차 안되는데 아무런 조치도 안해요? 뭐하고있어요?
9,2021-4-6,별표 5개 만점에 1개를 받았습니다.,3,며칠째 네트워크 연결이 원할하지않다니...앱 관리좀 하시죠!!
10,2021-3-24,별표 5개 만점에 1개를 받았습니다.,2,보험금.매달(4만)15년.넣었는데.적립금.떼어먹고.나한테.설명하지않고.지금(갱신형)이었다ㅡ라고.미안하다면서.우긴다.나한테.설명하지않고.15년만에이게.무슨.경우입니까? 똑바로.해결해주고.좋은평가.밭어시지요.증권에도.갱신.비갱신없음.보험넣은.ㅡ시민ㅡ피를.빨아먹어면.안돼지요?.누구의ㅡ잘못ㅡ따저서.해결해주시요. 현대를ㅡ큰ㅡ회사.라ㅡ믿었는데 적반.화장이군요.답주시요
11,2021-4-6,별표 5개 만점에 1개를 받았습니다.,2,잘 사용하다 네트워크가 어쩌구...며칠째인지 모름 다시깔고 업뎃했는데도. 똑같음
12,2021-4-5,별표 5개 만점에 1개를 받았습니다.,1,네트워크연결이 원활하지 않습니다 계속떠서 다시 설치했는데도 마찬가지네요 확인바랍니다
13,2021-3-20,별표 5개 만점에 1개를 받았습니다.,2,"살다살다 메이저급이라는 회사 앱이 이렇게 엉망인건 처음 봄. 리뷰도 안쓰는데 이 앱은 진짜 최악이라 리뷰도 첨 써 봄. 로그인하고 한 번에 볼 일 끝내본 적이 없음. 하다가 꼭 중간에 멈춰서 다시 로그인해야하고 다음페이지 넘기는 것도 하루종일 걸리는 느낌. 실비청구 때문에 어쩔 수 없이 쓰지, 다시는 쓰고 싶지 않은 앱임."
14,2021-3-31,별표 5개 만점에 1개를 받았습니다.,2,방금 등록했는데 개인정보 6개월됐다고 변경하라고 하질 않나 뭐 하나 조회하려면 진행이 안돼서 앱을 껐다 켜야하고 뭐 이딴식으로 만들어놓고 사용하라고 올려놨는지 모르겠네요. 별점 1도 아까움.
15,2021-2-14,별표 5개 만점에 1개를 받았습니다.,2,"어플을 이따위로 만들어서 뭘 하라는건지 모르겠네. 1)엄청 느리고, 2) 실비받으려고 서류 시진찍은다음에 올리려니 인터넷 연결이 원활하지 않다고 해서 다시했는데도 또 인터넷 타령하네? 인터넷 잘만 연결되어있는데? 일부러 돈 못 받게 하려고 하는건지 의심까지 됨."
16,2021-4-6,별표 5개 만점에 1개를 받았습니다.,0,업데이트를 하라고 해서 했는데도 앱이 열리지 않아요ㅡㅠㅠ 빨리 조치취해주세요
17,2021-4-7,별표 5개 만점에 1개를 받았습니다.,1,보험청구해야는데 네트워크 원활하지 않다며 왜 자꾸 연결이 안되나요?
18,2021-3-21,별표 5개 만점에 1개를 받았습니다.,4,진짜 최악. 구비서류 접수에 다른사진 다 뜨는데 딱 접수할 서류만 안 뜸^^ 자꾸 멈추고 진짜. 어플 개발자들 이슈 확인 좀 하세요. 일을 안하네
19,2021-4-2,별표 5개 만점에 5개를 받았습니다.,3,일일이 방문해서 신청하지않고 앱을통해 바로 신청하고 바로 보험금을 받으니 너무 편리합니다
