,DATE,STAR,LIKE,REVIEW
0,2021-3-29,별표 5개 만점에 1개를 받았습니다.,1,"업데이트후 로그인하려 하니, 핸펀인증후, 비번또는 패턴인증하라해서 들어갔더니, 이미 디지털인증 고객이라면서, 다시 로그인 화면 뜨고 ,또다시 핸펀 인증..무한반복! 어찌 로그인 하라는 겁니까?"
1,2021-3-25,별표 5개 만점에 1개를 받았습니다.,2,"고객센터 업무처리가 정말 똥입니다. 콜센터에서 각 지점으로 전달만 하고 대응은 하루종일 걸려도 지점에서 전화가오지 않습니다. 1,2번이 아니라 5,6번 전화해도 본인은 지점에 연락했으니 기다리라는 식입니다. 돈은 돈대로 카드납부, 계좌이체 이중 뽑아가며 환급은 영업일 2일 이후됩니다. 어처구니없고 고객대응 최악입니다. kb손해보험 다시는 쳐다도 보지 않겠습니다."
2,2021-3-29,별표 5개 만점에 1개를 받았습니다.,9,기존깔아진 앱이 안되서 다시 깔앗는데도 앱이 열리지 않습니다 다른보험은 아무렇지 않는데 KB손보만 정말 울화통이 터지네요
3,2021-4-2,별표 5개 만점에 1개를 받았습니다.,4,아업데이트하고 환장 간편비밀번호등록하면꺼지고 패턴도꺼지고 이젠 인증번호치는것도 늦게열리고 확인눌려도 무반응~~
4,2021-3-20,별표 5개 만점에 5개를 받았습니다.,2,정말 편하고 좋아요 예전엔 보험사 방문하고 힘들었는데 지금은 집에서 간편하게 청구할수있어서 좋아요
5,2021-3-22,별표 5개 만점에 5개를 받았습니다.,1,보험 청구가 쉬워짐. 사용이 편리함.
6,2021-3-23,별표 5개 만점에 1개를 받았습니다.,7,잘 사용하고 있었는데 업데이트하라고 뜨더니 안 열려요. 삭제하고 다시 재설치해봐도... 며칠째 사용을 못하고 있는데 왜 그런거죠?
7,2021-3-2,별표 5개 만점에 1개를 받았습니다.,3,이거 왜 앱 회원가입부터 안되나요? 지금 본인인증만 5번짼데 이럴거면 앱청구를 왜 만드신거죠? 무슨 오류가 걸리는건가요?
8,2021-3-23,별표 5개 만점에 5개를 받았습니다.,0,편리하고 빠르고좋읍니다
9,2021-3-27,별표 5개 만점에 1개를 받았습니다.,0,"지문인증 ""잘못된 접근"" 안되는데 뭐하니?"
10,2021-3-2,별표 5개 만점에 1개를 받았습니다.,4,앱이 안열려요 이용 자체가 불가합니다 앱을 삭제했다가 깔기를 대체 몇번이나 하는지 모르겠습니다 빨리 수정해주세요
11,2021-3-19,별표 5개 만점에 5개를 받았습니다.,0,편하고 간편하고 빨라서 좋아요
12,2021-3-10,별표 5개 만점에 5개를 받았습니다.,1,겔러리 사진을 추가하려고 하면 지원되지 않은 파일이라고 추가못하네요ㅡㅡㅠㅡㅠ 무슨 원인인지요?
13,2021-4-3,별표 5개 만점에 1개를 받았습니다.,0,업데이트 이후 실행안됨 삭제 후 설치해도 안됨 아무것도 안됨
14,2021-3-13,별표 5개 만점에 3개를 받았습니다.,0,지금 안열림. 로딩만 되고 게속... 왜이럼?
15,2021-3-9,별표 5개 만점에 1개를 받았습니다.,0,앱 실행 시 위치 정보 사용 앱 권한요청 좀 안 뜨게 해주세요. 보험사가 왜 자꾸 내 위치를 알려고 하는거죠?? 이거 제발 좀 안 뜨게 해주세요!!!!!!!!
16,2021-3-17,별표 5개 만점에 2개를 받았습니다.,0,아예 실행이 안되는데 어떻게 하라는건지
17,2021-2-9,별표 5개 만점에 1개를 받았습니다.,1,바뀌어서 접속도 어렵네요 인증서는 이 어플만 못 읽고 휴대폰인증만 몇번째에 하고나면 등록되어있다하고 간편번호등록 필수1이라 하래서 하려고하면 인증하고 비밀번호 만들어누르면 또 등록되어있다하고... 간편번호로 접속하는건 나만 못찾는건지 ...폰인증만 종일 시키네요
18,2021-2-18,별표 5개 만점에 1개를 받았습니다.,1,인증서 갱신했는데 만료된인증서만 뜨고 갱신한 인증서는 인식을 못해요 어플 지웠다깔아도 똑같고 속이터져돌아가시겠어요 어플관리를하시는건지 계속 안될거면 왜 놔두는지모를정도예요 매우불편합니다!! 개발하신분은 좀 제발 개선좀 해주세요 쓰라고 만든어플 홧병나게 하는 어플같아요
