,DATE,STAR,LIKE,REVIEW
0,2021-4-5,별표 5개 만점에 1개를 받았습니다.,5,앱을 왜 개발했는지 모르겠다는 소견입니다. 보험청구에 파일업로드만 했다하면 앱이 재실행되는건 수정도 안했네요.
1,2021-3-13,별표 5개 만점에 1개를 받았습니다.,1,할때마다 로그인절차 복잡합니다. 서류 첨부다하고나서 앱 꺼집니다. 후기보니깐 저만 그런것도 아닌거같고 최근일만도 아닌거같습니다.
2,2021-3-22,별표 5개 만점에 1개를 받았습니다.,3,서류첨부 하는순간 앱꺼짐 ㅡㅁㅡ 몇번을해도 똑같음.
3,2021-3-10,별표 5개 만점에 1개를 받았습니다.,9,앱에서는 보험금청구 절대 안됩니다. 지웠다깔아도 안돼요. 웹에서 신청하세요
4,2021-4-2,별표 5개 만점에 1개를 받았습니다.,0,아니 일단 본인인증할때 약관동의버튼은 왜안눌리는거에요..??
5,2021-4-7,별표 5개 만점에 1개를 받았습니다.,0,파일 첨부하면 앱 꺼지는 현상 몇달째 인가요??? 왜 만든건지?
6,2021-3-29,별표 5개 만점에 1개를 받았습니다.,0,진짜 개짜증 개답답 절대 접수를 할수 없게 만드는것도 대단하네..
7,2021-2-1,별표 5개 만점에 1개를 받았습니다.,3,아 짜증지대로..보험금청구하려고 서류등록다하고 접수누르면 계좌등록이 안댓다고 어쩌고저쩌고 전화해서 등록하고 다시해도 안댐...지웟다깔앗다.그래도안댐. 가입은 쉽게쉽게시키더니 가입이후로 처음 청구건인데 뭐 이런...관리안합니까? 해지할까함
8,2021-1-20,별표 5개 만점에 1개를 받았습니다.,1,내용쓰고 사진첨부하고 마지막신청버튼 누르면 계속해서 계좌등록이 정상적으로 되지않았단 메세지만 계속 다시 작성해서 끝까지가기를 벌써열댓번 고객센터전화하니 오류라 어쩔수 없다는 얘기네요 정말 짜증나!!!!!
9,2021-2-4,별표 5개 만점에 1개를 받았습니다.,1,별하나도 아까울정도네요 보험 청구하려고 다누른뒤 서류첨부하면 다시 처음으로들어가고 몇번을반복해도똑같고 지웟다다시깔아도똑같고 이럴려면 어플이 왜있는걸까요? 전화해서 서류보냈더니 아직도 접수안되어있고 진짜짜증나네요
10,2021-2-4,별표 5개 만점에 1개를 받았습니다.,1,별하나도 아까운 라이나 와 리뷰 훑어보니 재작년 부터 오류 장난아니던데 아직도 시정이 안되고 있다는 대박이네요 일 안하나봐요 ㅎㅎㅎ 진짜 라이나 띠링띠링~~미쳐돌아가는가봄 ㅎㅎㅎ 보다보다 이런 노답 어플은 처음봄
11,2021-3-2,별표 5개 만점에 5개를 받았습니다.,4,파일첨부시 상당히불편.. _첨부파일5개 이상으로 하셔야.. _파일정렬순서도 멋대로되는듯 _파일첨부에 제한을 많이 둘거면 사진촬영버튼을 만들어서 바로바로 첨부하게 해야할듯
12,2021-2-7,별표 5개 만점에 1개를 받았습니다.,2,보험가입은간단 보험청구는 열라 복잡 현재의 아이티 시대에 적응을 못하는 보험회사임 보험금 청구 안내및 어플 시대맞도록 개선요망
13,2021-2-4,별표 5개 만점에 1개를 받았습니다.,3,보험금 청구 드럽게 안되네 첨부파일 넣으면 초기화면으로 튕기고 휴 이게뭡니까 진짜 광고만 드럽게 마니하더만 보험금청구도 안되고 금감원에 단체 민원 넣읍시다
14,2020-12-28,별표 5개 만점에 1개를 받았습니다.,1,뭐만 누르면 계속 로그인하라하니 뭘 할 수가 없네요. 오류가 계속되면 수정을 해줘야지 계속 이 상태로 놔두는 개발자들은 대체 뭐하는건가요?
15,2021-1-28,별표 5개 만점에 1개를 받았습니다.,6,청구하면 꺼지고 청구하면꺼지고.. 이쯤되면청구하지말고 꺼지라는소린듯..
16,2020-12-27,별표 5개 만점에 1개를 받았습니다.,9,앱좀 잘만들고 서버관리잘하세요.좀.....수십번 시도해서 겨우 로그인해서 서류접수했음....오류가 왜이리 자주떠요?--
17,2020-11-3,별표 5개 만점에 5개를 받았습니다.,1,라이나치아보험 가입해서 갱신 한 번하고 7년째. 임플란트 3개 오전에 청구하니 오후에 입금. 앱으로 보험료납입등 확인 다~ 하고 있습니다. 청구시엔 고객센타연결해서 도움받고~ 크라운 담주에 마무리하는데 마무리즈음 크라운비용 청구예정입니다~ 앱활용 너무 잘 하고 있어요~
18,2020-12-3,별표 5개 만점에 1개를 받았습니다.,3,모바일앱을 왜 만들었는지 모르겠네요 간편번호설정도 안되고 예효~~ 별 하나도 아까움
19,2021-1-7,별표 5개 만점에 2개를 받았습니다.,1,청구하려고 로그인해서 사진만 첨부하면 자꾸 초기화면으로 돌아가는데 완전 짜증나네요
20,2021-3-24,별표 5개 만점에 1개를 받았습니다.,1,진짜 쓰레기 같은 앱 이거쓰지말고 걍 상담사 조지세요 상담사 쓰레기 련들이 앱추천해서 했는데 새벽에 땀만 줜내 흘리고 아무것도 못함 걍 상담사 조지세요
21,2021-1-13,별표 5개 만점에 1개를 받았습니다.,4,"업그레이드 해라해서 하는데, 계속 대기중입니다. 문제가 많네요."
22,2021-1-8,별표 5개 만점에 5개를 받았습니다.,5,비번 여섯자리 설정 해놓았더니 빠르고 편하게 처리되어 좋습니다
23,2020-11-2,별표 5개 만점에 1개를 받았습니다.,2,진짜 최악임 보험청구하려고 앱깔앗더니 깔리고난뒤론 먹통ㅡㅡ
24,2021-3-4,별표 5개 만점에 5개를 받았습니다.,0,친절하고 신속하게 처리해주셔서 늘 감사합니다
25,2021-3-3,별표 5개 만점에 1개를 받았습니다.,0,사진첨부 하는곳에서 계속오류떠서 안됨 ㅡㅡ20번넘게해봄 결국 고객센터에서 우편받아서함 이런 글좀 라이나에서 보고 시정좀해주시죠 고객센터도 왜그런지 모른다고하는데 할때마다 정말열받네요
26,2020-10-21,별표 5개 만점에 1개를 받았습니다.,2,뭐 이따위 앱을 배포하는거? 추가서류도 접수 안되고... 고객센타 전화해서 문의하면 모바일은 헨드폰 사양부터 사용환경이랑 모든 개인정보가 필요하다고 안내를 하질 않나... 이 앱 때문에 라이나생명에 들어간 모든 보험을 해지할까 생각중입니다. 재대로 만든 앱을 배포하던가 그게 아니면 앱을 배포하지 말던가... 고객의 개인정보를 터는것도 모자라서 안돼는거는 다른 앱을 깔게끔 유도하는 고객센타 보면서 학을 띠네요...ㅡㅡ 보상받을거 받고나면 보험계약 해지하려고 생각중입니다.
27,2021-3-2,별표 5개 만점에 1개를 받았습니다.,0,진짜 최악이네 라이나생명 어플로 계약자아님 피보험자는 보험금 신청도안되고 고객센터전화하고 모바일웹으로 신청해야된다고하니 모바일웹은 먹통이고 머하냐?? 월납입금은 꼬박꼬박 처받으면서 보험금 신청은 스무고개네
