,DATE,STAR,LIKE,REVIEW
0,2021-4-2,별표 5개 만점에 1개를 받았습니다.,1,3월달 부터 로그인이 안대서 결국엔 오늘 서비스센타 다녀왔네요 결국 삼성앱에 문제 있는거라는대요 보자하니 동일한 리뷰가 몇개 올라왔네요 그럼 삼성앱 관리하는분들은 보시지 않았을까요? 못보셨다면 말도 안대는거겠죠? 분면 로그인을 해도 다시 로그인 하라네요 오류발생 했다고 아니 업데이트만 하면 머 합니까 하나마나 그대로 인걸 앱관리 못해서 좋은삼성 나쁜삼성 이란 소리 하게 하지마시고 제발 빨리 개선대책 부탁드립니다
1,2021-4-4,별표 5개 만점에 1개를 받았습니다.,7,아니 뭐 업데이트하라해서 하는데 죙일 걸리네요? 이거보니까 폰하고 이 앱하고 무슨 트러블이 생겨 안되는거 같은데? 개선을 하던가해야 머하는짓인지? 4만원짜리 실손보험 청구하기 힘드네 짜증나게 업그레이드를 하질말던가!
2,2021-3-31,별표 5개 만점에 1개를 받았습니다.,1,너무 느리고 끊깁니다. 계약하다 결제정보 입력이 안되서 하지도 못하고 시간만 잡아먹네요
3,2021-4-5,별표 5개 만점에 1개를 받았습니다.,1,"이전버전은 잘 되다가 업그레이드하래더니, 계속 이미지 오류네요"
4,2021-3-30,별표 5개 만점에 1개를 받았습니다.,2,핸드폰인증이 인증번호가 안와서 로그인이 안돼네요. 하... 짜증나..
5,2021-3-26,별표 5개 만점에 1개를 받았습니다.,5,노트10+ 기준으로 설명드림니다. 로딩시간 길어요....청구서 서류 로딩5분이상 걸림..
6,2021-4-5,별표 5개 만점에 1개를 받았습니다.,4,보험금 청구를 못하게하려고 업데이트를 했나? 아주 복잡하게 만들어놨네
7,2021-3-19,별표 5개 만점에 1개를 받았습니다.,2,접속하려고 방법 3가지를 두시간 동안 해도 안됨 데이터가 없다 해쉬가 없다
8,2021-2-18,별표 5개 만점에 1개를 받았습니다.,2,로그인하기위해 몇번째 본인인증을 하는건지 알수가없네요.. 보험이 있어도 확인도 못하게하고;; 새로 깔아도 오류가 뜨니 답답해서 쓸수가없어요..
9,2021-2-15,별표 5개 만점에 4개를 받았습니다.,1,보험금청구 기능 덕분에 쉽게 청구하고 있습니다. 하지만 서류를 사진으로 찍을 때 소리가 안 났으면 좋겠습니다. 소리가 불필요하게 큰 것 같아요.
10,2021-1-30,별표 5개 만점에 1개를 받았습니다.,6,보험금 청구 후 추가 보험금 청구 버튼 클릭하면 그냥 흰색화면 먹통 이전버튼 누르면 로그아웃의 첫화면으로 넘어감 이게 무슨 어플인가요? 개플
11,2021-3-11,별표 5개 만점에 1개를 받았습니다.,2,공동인증서 hash값 찾을 수 없다고 오류 휴대폰 로그인 ㅡ 오류 어플을 재설치해도 같은오류 반복 로그인을 하고 싶어도 도저히 할 수가없네요
12,2021-4-5,별표 5개 만점에 1개를 받았습니다.,3,보험금 주기 싫어서 어플을 이따구로 만들었나 싶은 의혹이 들만큼 형편없음
13,2021-3-11,별표 5개 만점에 1개를 받았습니다.,2,휴대폰인증하기> 에러 로그인>인증>거래이력이있어야 회원가입가능합니다 둘다안되는데 인증은 뭐이리많이하는지 편의성 최악입니다 리뷰 처음남겨요
14,2021-3-9,별표 5개 만점에 1개를 받았습니다.,1,청구하려고하는데 진짜 욕나오게 느리고 튕기네요. 웬만해선 평점 안남기는데 빡쳐서 남깁니다.
15,2021-4-2,별표 5개 만점에 5개를 받았습니다.,5,대 고객 서비스가 대단히 좋습니다!
16,2021-3-4,별표 5개 만점에 1개를 받았습니다.,4,전자서명 마지막에 서명칸만 있고 확인칸이 없어요 이것때문에 시간낭비 많이 하네요 진짜 화가납니다
17,2021-3-31,별표 5개 만점에 5개를 받았습니다.,7,보험사는 좋아요 항상 기대 하겠읍니다
18,2021-4-2,별표 5개 만점에 5개를 받았습니다.,4,간단하게이용할수있어사좋아요
19,2021-1-31,별표 5개 만점에 2개를 받았습니다.,4,접속자가낮부터저녁까지많나요.팔천보걸어는데못하고출석도못하자나요
20,2021-3-11,별표 5개 만점에 5개를 받았습니다.,1,신속하게 처리가 되어서 간편하게 사용하네요
21,2021-3-9,별표 5개 만점에 1개를 받았습니다.,1,ui가 너무 딱딱하고 특히 서비스가 자주멈춥니다
22,2021-2-9,별표 5개 만점에 1개를 받았습니다.,1,통화중 다른 정보본후 다시 들어가려니 찾을수 없음.
23,2021-3-9,별표 5개 만점에 1개를 받았습니다.,1,보험료 청구 안되네요 본인계좌 확인시 장애뜹니다 빠른조치 부탁드려요
24,2021-3-24,별표 5개 만점에 1개를 받았습니다.,5,아예 실행조차 안되네요. 노트20 울트라 입니다.
25,2021-3-2,별표 5개 만점에 4개를 받았습니다.,1,상담원 통화가 어려운경우도움되는 내용이 언급되여 있어서 참고용도로 강추합니다
26,2021-2-24,별표 5개 만점에 5개를 받았습니다.,1,가끔식 필요해서 찾아도 역시 삼성
27,2021-4-2,별표 5개 만점에 5개를 받았습니다.,1,쉽게 되어있어 편합니디.
28,2021-2-8,별표 5개 만점에 1개를 받았습니다.,1,사진찍기기능 너무 민감해서 2번이나 찰칵소리나요
29,2021-1-22,별표 5개 만점에 5개를 받았습니다.,2,든든하고 마무리 넘 좋아요
30,2021-3-7,별표 5개 만점에 5개를 받았습니다.,1,보험사 어플중제일잘돼있는듯
31,2021-3-10,별표 5개 만점에 1개를 받았습니다.,1,해지 환급금조회를 이메일로받아보는건 막아놨네?증명서발행은 되게해놓고?
32,2020-11-6,별표 5개 만점에 4개를 받았습니다.,4,청구도 쉽고 입금도 빨라서 편한데요 다만 제가 가입한 보험 계약내용확인>보장내용을 클릭하면 보장내용 설명이 너무 부실합니다 어떤 질병/실손에 대해 가입금액이 얼마다 라는정보를 원하는데 '상해입원형' 이라고만 써있어서 정확한 보장내용을 찾아보려고 약관을 찾아봐야돼요 개선됐으면 좋겠어요
33,2021-1-18,별표 5개 만점에 2개를 받았습니다.,8,그동안 잘 사용하고 있었는데 어느순간부터 보험금 청구에서 마지막 단계 사진추가에서 계속 오류 나네요 오류 수정 빠르게 부탁 합니다
34,2021-2-4,별표 5개 만점에 1개를 받았습니다.,1,다른 금융앱에 비해 속도가 너무 느려요..
35,2020-11-7,별표 5개 만점에 1개를 받았습니다.,5,11월 1일자 업데이트 완료 후 실행했는데 역시나 사진 업로드 실패 뜨네. 업데이트 계속하는데 왜 개선이 안되는지 모르겠네. 걍 진료비 영수증 1년치 모아서 회사에서 청구하단 뜻으로 이해하고 앱청구는 하차함.
36,2020-11-30,별표 5개 만점에 1개를 받았습니다.,3,"청구 마지막단계에서 계속 서비스오류뜹니다. 콜센터전화했더니 다시깔고해보랬는데,그래도 변함이없네요. 이어플 못쓰나요 저는이제? 해결부탁드립니다."
37,2021-1-20,별표 5개 만점에 1개를 받았습니다.,4,인증서 로그인하면 hash값 어쩌고 하면서 안되고 휴대폰 로그인하면 인증번호 확인 데이터가 없다는데 어떻게 해야되나요 그전엔 로그인 잘됐습니다
38,2021-3-23,별표 5개 만점에 1개를 받았습니다.,4,도대체 왜 앱이 다운로드가 안되나요? 멀쩡히 잘쓰고 있는데 update 하라고 하면서 update 할려고 하면 왜 계속 update 진행만 계속되나요??
39,2021-3-3,별표 5개 만점에 1개를 받았습니다.,1,부팅이잘안됨불편함
40,2020-12-22,별표 5개 만점에 1개를 받았습니다.,4,보험금 청구 마지막 사진추가에서 흰색화면 뜨고 더이상 진행이 안됨. 어플 지우고 다시깔아도 같은증상 전에는 잘 사용했었는데 무슨 업뎃을 개떡같이 해놨는지 지금은 보험금 청구가 안됨.
41,2020-12-19,별표 5개 만점에 1개를 받았습니다.,2,보험금 청구 다끝내려고 하면 하얀색 화면만 뜨고 넘어가지도 않습니다 벌써 3번째에요 새로 깔아도 이럽니다 중간에 이렇게 렉걸리면 중간 저장 기능이라도 있었음 좋겠네요 너무 답답하고 화가나요 제발 빨리 고쳐주세요
42,2020-11-17,별표 5개 만점에 1개를 받았습니다.,7,별1개도 아까움 완전판매모니터링때매 깔아야해서 깔았는데 컴퓨터로는 공인인증서 필요하더만 어플로 하니까 왜 필요없나요?? 그럼 컴퓨터로도 공인인증서 필요없게 만들어야지 이거는 뭐 단순 어플깔기유도 아닌가요?
43,2021-1-13,별표 5개 만점에 5개를 받았습니다.,2,감사합니다.. 안되는것 말고 좀더 세밀하게 혜택받는 착한보험이 있길바람니다
44,2021-3-31,별표 5개 만점에 5개를 받았습니다.,6,타보험사앱 보다 사용하기 편해요.
