,DATE,STAR,LIKE,REVIEW
0,2021-4-5,별표 5개 만점에 1개를 받았습니다.,3,어플 개느리네 이따구로 할거면 그냥 매장직원한테 하게끔해라 시간개아깝다. 삼성 이름이 더렵힌다 이어플때문에
1,2021-3-15,별표 5개 만점에 1개를 받았습니다.,2,로그인 이용등록 내용 작성다해도 젤 밑 다음 자체가 안눌러져 계속 시도해도 다음으로 넘어가지않습니다ㅜㅜ 이런 이상한 앱은 처음~ 헐~ 삼성이름이 아깝다
2,2021-3-23,별표 5개 만점에 2개를 받았습니다.,5,앱 실행이 안되요ㅡㅡ 삭제하고 다시깔고 들어가야 한번 들어갈수 있습니다 들어갈때 마다 삭제하고 다시깔수는 없잖아요..
3,2021-3-8,별표 5개 만점에 1개를 받았습니다.,1,이런 공인즘서를 간신이 등록하니 금융정용계좌등록에서 비대면인증 신분증촬영이 몇일간반복해도 안되네 와 이것땜에 없던 화병도 생기겠네 사진촬영 빛반사 유효번호가 일치하다하지않다고 인식못하더니만 얼결에한번 성공하니 또 신분증 특정점수가먼지 또 인식안되네
4,2021-3-9,별표 5개 만점에 1개를 받았습니다.,1,비대면실명인증 시 터치EN머시기 숫자 프로그램에서 숫자를 누르면 2개 숫자가 동시에 눌러지는 현상이 있는것 같네요 이것 때문에 자꾸 입력이 틀렸다고 나오는것 같은데요? 빨리 해결 좀 해주세요
5,2021-3-30,별표 5개 만점에 1개를 받았습니다.,0,엉망이네요. 로그인이 안되는 이 앱이 사용 가능한 건가요?
6,2021-3-19,별표 5개 만점에 1개를 받았습니다.,0,1점도 아깝네 계속 사진첨부할려하면 튕기고 진짜짜증나네
7,2021-3-21,별표 5개 만점에 1개를 받았습니다.,0,보험금지급 세부 누르면 다운되네요....
8,2021-3-17,별표 5개 만점에 3개를 받았습니다.,0,로그인되었습니다 라고 뜨면서 멈춰버리네요
9,2021-3-7,별표 5개 만점에 1개를 받았습니다.,0,로그인등록이왜안될까요넘어가지않네요
