,DATE,STAR,LIKE,REVIEW
0,2021-3-9,별표 5개 만점에 1개를 받았습니다.,5,진짜 리뷰 지금까지 살면서 처음 써보는데 이따위 쓰레기 증권앱이 존재한다는게 참 어처구니 없음. 그냥 일반 어플도 아니고 돈으로 돈을 거래하는 어플인데 이따구로 허접하나;; 이따구로 운영하고 이따구로 관리할거면 그냥 하지마세요 제발. 당장 지웁니다
1,2021-3-10,별표 5개 만점에 1개를 받았습니다.,1,최악이네요.... 업데이트 이후 실행단계에서 다음으로 안넘어가네요. 요즘같은 시기에 거래가 불가능 하다니... 손해 보상이 필요한 수준이네요. KB 인지도 대비 너무나 소비자 입장 배려가 부조관 어플인듯 합니다.
2,2021-3-8,별표 5개 만점에 5개를 받았습니다.,8,"최근에 코스피, 코스피200, 코스닥, 코스닥 150 등 지수들 차트가 안뜨는 경우가 많습니다. 개별 종목 차트는 정상적으로 뜨고요. 오류 확인 좀 해주시면 좋겠습니다."
3,2021-3-10,별표 5개 만점에 2개를 받았습니다.,1,주식현재가 창으로 넘어가면 왜 무조건 호가창을 보여주게 하나요 옵션으로 바꾸게 해주세요!!. 제발..
4,2021-3-5,별표 5개 만점에 2개를 받았습니다.,1,진짜 플레이 앱에 리뷰 살면서 한번도 안써봤는데 제발 개발진 여러분 부탁이니깐 1월1일 새해첫날 거래먹통되서 급하게 사려다 몇백날린것도 이해합니다 부탁인데 매번 너무 스트레스 받으니깐 제발 업데이트 종목있다면서 재로그인좀 안되게 개선좀해주세요 뭔 심심하면 업데이트 종목이있다면서 하루에 수십번을 켜놓으면 꺼지고 또로그인 해야되고 otp 비번쳐야되고 계좌비번쳐야되고 지겨워죽겠어요 ㅡㅡ 제발부탁이니 다른거 개선하시던지 말던 상관없으니깐 종목업데이트 강제종료좀 어떻게좀 개선좀해주세요 진짜 너무 지겹네요 ..
5,2021-3-8,별표 5개 만점에 5개를 받았습니다.,0,현재시각 월요일 새벽5시. 개장도 안했는데 오늘 일봉이 그려져 있음. 어제일봉과 같은 높이의 오늘 일봉이 하나 더 그려져 있는 버그가 있네요. 증권앱 중에는 랙도 없고 최고로 편함. 별5개.
6,2021-3-5,별표 5개 만점에 1개를 받았습니다.,6,웬만하면 나쁜 평을 안쓰는데 마블앱은 정말 개선이 시급합니다. 2~3번 정도 쓰면 첫 화면에서 멈춰버려서 아예 진행이 되질 않습니다. 벌써 지웠다 다시 깔길 6번은 했고 휴대폰을 껐다 킨적도 수십번입니다. 답글 달아주신건 감사하지만 그래도 안되네요...전화해보겠습니다
7,2021-3-9,별표 5개 만점에 1개를 받았습니다.,1,갑자기 챠트에 왜 캔들이 없어졌나요? 설정을 몇번이나 고쳐봐도 안되네요.
8,2021-2-21,별표 5개 만점에 3개를 받았습니다.,7,1. 미국주식 거래에서 금액이 달러로 고정되는 기능이 필요합니다. 구매는 달러로 하는데 주문내역 들어가면 한화로만 표시되네요. 수정주문시 많이 불편하네요. 미국주식 거래시 달러위주로 자료제공 바랍니다 미국주식거래시 주문내역 체결/미체결확인시 주문가격표시좀 달러로 해주세요. 인베스팅 불 모두 달러고 KB앱에서 주문도 달러로하는데 수정주문하려 들어가면 원화표시 되어있으니 헷갈리고 돌아버리겠네요 → 개선됨 2. 총 자산표기에서 주식의 상세내용 확인하면 미국주식의 경우 TICKER가 표기되지 않습니다. Webull과 같이 TICKER가 크...전체 리뷰
9,2021-3-9,별표 5개 만점에 1개를 받았습니다.,1,내가한 증권어플 중에 제일 뭐같네 아니 아이디찾기 하면 아이디가 안나오고 아이디 찾았습니다만 나오면 어떻게 로그인합니까
10,2021-3-8,별표 5개 만점에 5개를 받았습니다.,2,"(추가적인 요청사항) ""주식자동주문"" ㅡ ""신규주문""에서 종목별 Sort 기능이 있으면 좋겠습니다. 종목별로 주문금액에 대하여 한눈에 보여지면 좋을 듯 합니다. 현재는 Sort기능이 없어서 불편합니다."
