,DATE,STAR,LIKE,REVIEW
0,2021-2-25,별표 5개 만점에 1개를 받았습니다.,2,어제 앱 깔고 관심종목 보고있는데 갑자기 앱이 종료가 되더니 그후로 이런현상이 계속되네요..오늘은 괜찮을줄 알았는데 넘 답답합니다 영웅문앱 많은사람이 하는것 같아 기대했는데 실망이네요..
1,2021-2-19,별표 5개 만점에 4개를 받았습니다.,5,평소에 너무 잘 쓰고 있는데..오늘 아침부터 계속 접속 안되고 튕기는 현상(프로그램 파일 다운 중 바로 튕김)이 발생되고 있습니다. 어플 삭제 후 다시 다운로드를 반복해도 안되는데...지금 다 공통적으로 안되고 있는건지...제 폰에서맘 안되는건지 모르겠네요.
2,2021-2-19,별표 5개 만점에 2개를 받았습니다.,4,S21 울트라 입니다. 최근 로그인 시도시 안되는 문제 관련 많은 글들이 올라오는데. 파일 지우거나 해당 현상 관련 모르겠으니 고객센터 연결해 보라고 하시는데 전화가 우선 안되요. 이게 최신폰 가진분들에게 최근 많이 발생합니다. 최신폰 가지신 키움 직원분들도 있으실텐데..좀.적극.대처 부탁드려요. 회사 실적 좋으실때 더 고객에게 관심 기울이시는게 회사이미지 등에 좋으실텐데요. 이러누대응에.하니둘씩 떠납니다. 잡은 고기라 신경 안쓰시는데 저도 일부 정리되면 떠납니다. 후발 증권사보다 점점 떨어지네요
3,2021-2-26,별표 5개 만점에 2개를 받았습니다.,0,앱은 잘사용하고있습니다 근데 어디사이트에 가입해본적도없고 혼자 이앱만사용했을뿐인데 주식하라고 문자나 전화가옵니다 개인디비를 뿌리는거같은데 불쾌합니다 다른건전혀해본적없어서 확실하게생각해요
4,2021-2-21,별표 5개 만점에 3개를 받았습니다.,1,자동감시주문 가능한 종목수좀 늘려주세요. 현재 40개종목까지 가능한데 종목을 많이 보유한 사람은 불편합니다. 유로서비스로라도 괜찮으니 100개까지 주문가능하게 해주세요~
5,2021-2-18,별표 5개 만점에 1개를 받았습니다.,4,와... 뭐 업데이트도 제대로 안됩니까. 자금 이체하려면 공인인증서 인증 하라면서 인증화면이 안돼서 이체를 할수가 없습니다. 빨리 조치 좀 해줘요. 전산 개발에 제대로 투자 좀 하세요...
6,2021-2-20,별표 5개 만점에 5개를 받았습니다.,0,자동감시주문설정하면.몇일뒤확인하면 삭제되어있음.해결방법 알려주세요.자동감시주문이후 잔고있으면 계속 자동주문가능하게 옵션화해주세요.자동감시매도도 자동감시주문처럼 만들어주세요.
7,2021-2-25,별표 5개 만점에 1개를 받았습니다.,0,몇 일전부터 접속도 안되고 클릭후 바로 꺼지네요 지우고 다시깔아도 무한 반복이네요 너무 답답해요. 고객센터는 연결도 안되고
8,2021-2-23,별표 5개 만점에 2개를 받았습니다.,1,"젤 많이 쓴대서 키움으로 시작했는데..가독성 떨어지는 조잡한 메뉴+가로 스크롤을 어디까지해야하는지. 스마트폰 초기에나 쓰던 디자인 느낌 (색상,글씨체 등 총체적 난국..) 지멋대로 가로로 화면전환 됨;"
9,2021-2-19,별표 5개 만점에 3개를 받았습니다.,3,"투자정보 알림을 신청했는데요, 공시정보 알림이 떠서 클릭하면, 관심종목 현재가만 뜨고 클릭한 정보로는 연결되지 않습니다. 간혹 연결될 때도 있었는데 이제는 연결이 안 됩니다. 알림을 클릭하면 바로 연결이 되었으면 좋겠고요, 그냥 앱으로 들어가는 경우 보유종목 공시정보는 앱의 어느 메뉴에서 찾아야 하나요?"
10,2021-2-18,별표 5개 만점에 4개를 받았습니다.,1,안녕하세요 영웅문s잘사용하고있습니다 지금시간8 시입니다 6시경부터 앱을켜고 종목을봐야하는데 여긴 티비도없고ㅠ 앱을누르고 들어가면 영웅문화면첫부분이뜨자 바로 없어지는건 왜그러지요? 껐다가다시켜도 마찬가지고 다른 앱들은 다잘되고있는데 영웅문만그러는데 이거해결 어케하나요? 키움에서 문제있는걸까요? 업데이트했는데도 마찬가지고 답답하네요 낼 시초가 매도할 종목이 있는데 큰일이네요
11,2021-2-26,별표 5개 만점에 2개를 받았습니다.,0,영웅문 팅김 접속불가 상태입니다 앱삭제 해도 같은현상이고 고객센터 전화 받지도 않고 직장인이라 모바일 거래만 하는데 오늘상간거 팔지도 못하고 손해가 크네요
12,2021-2-22,별표 5개 만점에 5개를 받았습니다.,0,아래는 아침 작성한 내용이고 오늘 고객센터 연락해서 도움을 받았는데 너무 열정적으로 오랜시간 도움을 주시려 노력해 감동받았습니다. 아쉽게도 이름을 정확히 못듣긴 했는데 박ㅎ* 상담사님이었네요. 감사합니다^^ -----‐------------‐------‐‐‐‐-‐-------------- 갤럭시s10 사용자입니다. '5.2.9 컨텐츠 다운로드 중(3/3)'에서 넘어가지 않고 계속 100%까지의 카운트를 반복하고 있어 접속이 안됩니다. 어찌해야 되나요?
13,2021-2-22,별표 5개 만점에 1개를 받았습니다.,2,갤럭시 노트 10 사용자입니다. 지금 컨텐츠 다운로드만 무한반복하고 접속이 않되네요.. 요즘 접속장애 문제가 왕왕 발생하는거 같네요;;;
14,2021-2-22,별표 5개 만점에 1개를 받았습니다.,2,어플 관리좀 똑바로 하세요. 한두번도 아니고 어플 실행하면 첫 화면에서 꺼지는것만 몇번째인데 이걸 안고치고있는거죠. 개발자들 다 놀고있어요?? 똑바로좀 하세요 제발
15,2021-2-22,별표 5개 만점에 1개를 받았습니다.,2,다른증권사 앱 쓰다가 키움이 좋아 보여 깔고 쓴지 몇시간 되지도 않아 앱이 저절로 종료 되더니 계속 로그인 화면에서 넘어가지를 못하고 저절로 꺼지네요 다행이 거래가 끝난후 이런현상이 발생해서 다행이긴 한데 거래도중에 이런 상황이 발생했다면 큰일날뻔 했습니다 고객센터에 전화해도 삼담원 연결도 계속 안되다 겨우 연결된후 상담원 말대로 폴더도 지워보고 별짖 다하다가 안되니 상담원이 하는말이 죄송하지만 최신폰 사용자들에게 지금 이런 상황이 빈번하게 발생되고 있어서 개발팀에서 지금 원인 파악 중이라는 말을 하더군요 이정도로 치명적인 오류가 ...전체 리뷰
