,DATE,STAR,LIKE,REVIEW
0,2021-2-25,별표 5개 만점에 1개를 받았습니다.,1,너무복잡해요 나이 많은 사람은 이용이 거의 불가능 아이디부터 만들지를 못함 보안매체가 없어서 개설이 안된다는데 보안카드 왔는데 또 뭘 하라는 건지 어이가없네 진짜 욕을 한바가지 퍼붓고싶다
1,2021-1-20,별표 5개 만점에 2개를 받았습니다.,0,아니 지금 몇일째 접속도 제대로 안되고 렉이 너무 심하게 걸리는데 이 현상 언제 고쳐지나요?
2,2021-1-4,별표 5개 만점에 3개를 받았습니다.,1,현재 주식잔고 버튼누르면 렉이생기는지 조회가 잘안되는데 빨리 문제해결바랍니다.
3,2021-2-4,별표 5개 만점에 1개를 받았습니다.,0,메리츠 계좌 개설 하려고 해도 거제는 영업점이 없어서 어떻게 해야 하는지 방법을 잘모르는데 어떻게 해야 되나요?
4,2020-9-28,별표 5개 만점에 3개를 받았습니다.,0,"폴드2 유저인데요, 화면분활이나 화면 열고 닫을시 로그인이 튕기고 어플이 재시작하는 현상이 발생합니다. 개선해주세요"
5,2020-6-4,별표 5개 만점에 1개를 받았습니다.,2,앱을 1년 넘게 잘쓰고 있었는데 10일전부터 갑자기 작동안됩니다 앱이 위변조 되었거나 통신장애라 뜹니다 (아래 리뷰에도 같은 내용이 있더군요) 한 20번을 삭제하고 다시 설치 해도 똑같은 문자가 뜹니다. 고객센터와 통화해도 잘 모르겠다하니 담당자분은 직접 앱을 설치해보고 문제점을 파악후 빠른시일내 조치 및 답변해주기 바랍니다 형식적인 답변은 의미없습니다
6,2018-11-9,별표 5개 만점에 1개를 받았습니다.,2,"갤럭시s7 사용중입니다. 어플을 실행하면 첫화면에서 거의 25초정도 멈춰있다가 '시장종합'화면이 뜹니다. 그리고나서 '메리츠스마트'가 응답하지 않습니다.라는 창이 뜨네요. 창에는 앱종료, 대기, 의견보내기.라는 글도나옵니다. 어플삭제하고 다시 깔아도 첫화면에서 빨리 넘어가질 못하네요. 뭔 문제인지? 빠른 시정 바랍니다."
7,2020-7-23,별표 5개 만점에 4개를 받았습니다.,1,"항상 잘사용하고 있습니다만 아쉬운 점은 해당 기업의 배당내역을 볼 수 없다는게 참 아쉽네요.. 국내, 해외 모두 배당관련정보를 볼 수 있는 화면 좀 만들어주세요~!!!! 배당락일은 언제였고, 배당액, 배당률 등등 이런것들 이력을 볼 수 있는 화면이요 ㅠ"
8,2019-12-10,별표 5개 만점에 1개를 받았습니다.,2,"1.46 최신버전으로 업데이트 하니 이번버전의 중간에 막 종료되는 현상은 없어졌으나 아래 단축키(관심종목, 잔고) 가 종종 눌러도 반응이 없는 현상이 발생하고 이 현상 발생하면 잠시 후 앱 죽는 현상 발생합니다. ㅡㅡ"
9,2019-12-9,별표 5개 만점에 1개를 받았습니다.,3,앱을 사용하려 클릭하면 로딩표시에 로그아웃되었습니다가 무한반복되며 결국 사용이 안되어 제거 후 재설치해서 이체하고 있네요 뱅킹기능 사용이 안되니 번번히 앱 삭제 후 재설치 할 수도 없는 노릇이구요 메리츠를 없애야하나 심히 고민됩니다 해결 좀 해주세요
10,2020-5-7,별표 5개 만점에 3개를 받았습니다.,0,앱 설치하면서 1년간 수수료 면제로 확인했었는데 저의 경우는 2002년도에 개설한 이력이 있어 면제가 불가하다고 하네요 구제방법있나요? 평생 수수료 무료를 놔두고 사용했던 메리츠로 다시 개설했는지 후회가 됩니다
11,2019-7-10,별표 5개 만점에 3개를 받았습니다.,2,해외주식 잔고 화면에서 글씨랑 숫자들이 깨져서 나옵니다. 어플 지웠다가 다시 깔아도 똑같네요. 그.외에는 사용하기 좋습니다
12,2020-5-28,별표 5개 만점에 1개를 받았습니다.,1,해외에서 이용중인데 잘 쓰다가 갑자기 앱이 위조되었거나 일시적인 통신에러 랍니다 다시깔기를 10번을 넘게해도 안됨 내 주식 덕분에 -20프로 들어갓는데 손절도 못하고 아예 들어가지지 않음^^
13,2020-9-2,별표 5개 만점에 1개를 받았습니다.,0,등록절차 21세기 중 해본것 중 최악인듯 공인인증서 가져오기 하려고해도 아이디 비번 문자인증 계좌비번 .... 보안카드 등록도 문자인증 아이디 계좌번호 암호입력... 뭐 어플 개선에 뜻이 없어보이네요.. 이러니 뒤쳐질수밖에
14,2020-6-29,별표 5개 만점에 5개를 받았습니다.,1,참잘쓰고잇습니다^^ 근데주식잔고 보는곳에 각주식 비중%좀 넣어주세요.그것보고 매수하게요. 글고 탭별 오름차순/내림차순 변경 기능도 넣주세요!! 앞으로도잘쓸게요 감사♥
15,2020-12-3,별표 5개 만점에 4개를 받았습니다.,5,편리성이 부족함.
16,2018-12-2,별표 5개 만점에 2개를 받았습니다.,1,"개선이 필요합니다. 터치해도 잘 움직이지 않고, 종료하려는데 다시 로그인하겠냐고 묻네요. 감사합니다.^^"
17,2018-9-17,별표 5개 만점에 2개를 받았습니다.,2,"S9플러스 사용중입니다 언제부터인지 위젯이 업데이트 되지않으며, 사용하려하면 프로그램이 종료되었다는 메세지가 뜹니다."
18,2020-12-14,별표 5개 만점에 5개를 받았습니다.,4,매우 편리합니다.
19,2018-11-13,별표 5개 만점에 2개를 받았습니다.,7,시간외 주문 클릭해도 매수매도가 안되요 어디서 해야되나요? 간편하게 사용하기 어렵고 시간외 주문하는법 알려주세요.
20,2021-1-14,별표 5개 만점에 2개를 받았습니다.,0,아침에 장개시가 핵심인데 왤케버벅이는걸까요?
21,2019-2-11,별표 5개 만점에 3개를 받았습니다.,0,자동매매기능은 없는건가요? 예를 들어 얼마이상 조건에 매도 가능한 기능.. 키움은 있던데 이어플에서는 못찾겠네요
22,2019-9-30,별표 5개 만점에 1개를 받았습니다.,1,다룬로드 살행중이라면서 다운로드가 안돼요. 모든다운로드 없애고 메리츠만 다운로드 시켜도 몇달이 되도 다운로드가 실행이 안됩니다. 메리츠 빵점.
23,2018-11-30,별표 5개 만점에 2개를 받았습니다.,3,주문창에 제발. 수량 에도 플러스 마이너스 로 주문량 조절할수있게 만들어라! 어려운것도 아닌데 제발 미래에셋대우 m.stock좀 보고 배워라 제발
24,2018-10-22,별표 5개 만점에 1개를 받았습니다.,5,계좌 등록절차 대단함 다른 증권사보다 많이 많이 불편 나이든 사람은 못하것다 젊은사람들보다 돈이 많이 만을텐데 웹관리 하시는분들 머리가 좋은가봐
25,2020-1-16,별표 5개 만점에 3개를 받았습니다.,2,어플에 들어가면 계속 로그아웃되었습니다라고 새로고침되고있습니다 다시 깔아도 똑같네요 왜그럴까요
26,2019-12-10,별표 5개 만점에 1개를 받았습니다.,0,밑에 메뉴 눌러지지도않고 계속 꺼지네요. 주식어플에서 이게 말이 됩니까.
27,2020-1-30,별표 5개 만점에 2개를 받았습니다.,5,잘 쓰다가 등록되어 있지 않은 계좌번호입니다 라고 메시지가 뜨면서 로그인이 안됩니다. 어떻게 해야 하나요
28,2020-9-13,별표 5개 만점에 2개를 받았습니다.,0,잘사용 하고 있지만 주식차트보다 멀티차트 클릭하면 다른 종목이 나와요 불편해요
29,2019-12-10,별표 5개 만점에 1개를 받았습니다.,1,앱 최악입니다. 업데이트해도 꺼지고 아래 메뉴도 안눌립니다 확인좀 제대로 해주세요
