,DATE,STAR,LIKE,REVIEW
0,2021-3-8,별표 5개 만점에 1개를 받았습니다.,2,"다필요없고 주식매매거래하는데 딜레이가 보통이 아님. 매수하면 10분딜레이걸린다. 더웃긴건 매도해도 딜레이 10분. 절대 펙트이며 실제로 보상받았으나 규정이 뭐같아서 손실금액 60%보상받았다. 더웃긴건 나만해당된것이 아니라서 일괄로 보상지급한다고 2주하고도 2일? 대기시간이 한달의 반이걸렸다. 이게무슨뜻이것냐. 나만 딜레이걸린게 아니라는거지. 실제로 상담원이 워낙신고수가많아서 기본2주기다리란다. 신고접수도 일괄이라 바로접수안돼고, 보상상의전화는순차적? 지급도 순차적? 진짜 주식하며 이런경험다시는하고싶지 않은데 보상얘기이후로 1주일안되...전체 리뷰"
1,2021-3-10,별표 5개 만점에 3개를 받았습니다.,8,평상시 사용 하는데는 무난한앱인데 치명적인 오류가 있습니다. 3월9일 sk 바이오 사이언스 공모주 청약할려고 오전10시 조금지나서 접속하니 계속이 않되더니 11시 30분 이후에 접속 하라는 메세지가 떠서 그이후에 접속하니까 비밀번호 입력오류 초과로 증권회사에 가야되다는겁니다. 접속 폭주로 연결이 안되서 여러번 접속시도한게 왜비번 입력오류로 처리되는지 이해가 안됩니다. 제가 거주 하는곳은 평택인데 이곳은 지점도 없어서 멀리 아산 지점까지 가서 오류해제를 했습니다. 가까운곳에 지점이 없다면 이앱 사용하시는거 신중하게 생각 하셔야 될것같...전체 리뷰
2,2021-3-11,별표 5개 만점에 4개를 받았습니다.,0,대부분 만족합니다. 다만 종목 정렬이 고정이 되면 좋겠어요. 원하는 걸로 정한후 종목 들어갔다 나오면 다시 원상태로 돌아가네요. 그리고 해외주식은 정력 선택도 안 되네요.
3,2021-3-4,별표 5개 만점에 1개를 받았습니다.,6,"앱이 여러모로 회사 네임벨류에 비해, 또 타사와 비교해서 수준이 떨어집니다. 창 바꿀 때마다 로그인 다시하는것도 그렇고, 주식잔고 손익 창도 보기에 그리 편하지 않으며, 가끔 렉이 걸리는 경우도 있습니다. 타사 앱을 좀 살펴서 좋은 점은 따라했으면 좋겠네요. 환차손 때문에 기존 자금으로는 여기서 굴리고 있지만 추가 투자 금액은 타사에서 투자하고 있습니다."
4,2021-1-11,별표 5개 만점에 1개를 받았습니다.,1,사용하기에 불편함은 장 초반 화면 전환 시 로딩이 좀 길다는거... 제일 불편한점은 뉴스 들어가보면 보고 싶은 뉴스를 블라인드 한다는거예요... 대주주보유현황 같은 뉴스뜨면 다른 증권 앱을 열어서 봐야하는 번거로움이 있어요... 어떻게보면 중요한건데 대처가 늦어지니 언젠간 큰 손실이 나지 않을까 싶네요... 블라인드 선택 설정을 만들어주시던지... 반영 부탁드립니다... 진심.. 1월 11일 아 요즘 진짜 렉 심하네... 욕나오네... 진심 쫌 수정 좀 하세요 내 돈이 날아간다고 생각하면 이렇게 만들까....
5,2021-3-9,별표 5개 만점에 4개를 받았습니다.,3,ISA계좌 개설 후 : 예약주문 등등 버튼을 누를 때마다 다른 계좌가 선택되어 주문 실수가 반복되고 있습니다. 대표계좌를 지정하여 기본으로 고정하여 사용할 수 있도록 부탁드립니다.
6,2021-2-24,별표 5개 만점에 1개를 받았습니다.,3,정말 어마어마하게 쓰레기 증권 앱입니다. 장 시작할때마다 로그인이 안돼서 거래를 못하게 만들면 이용자는 어쩌란 말입니까. 해외주식 거래하려는데 시가 쭉 빠져서 빨리 들어가야되는데 12시 10분까지 로그인 안되는게 말이 됩니까? 그 사이 10프로 올라갔네요^^ 내일 바로 증권사 갈아탑니다. (별 0개는 선택이 안되는게 아쉽네요)
7,2021-3-10,별표 5개 만점에 1개를 받았습니다.,1,별 한개도 아까움. 공모하려고 돈 넣었다가 자격 안되서 출금하려고 했더니 다른 삼성계좌에 옮겼다가 다시 출금라는데 하루 한도가 백만원... 올리려면 전화나 영업점가라하는디 전화는 1시간 30분 넘기 통화연결만되고 진심 다신 쓸일 없을듯.
8,2021-2-16,별표 5개 만점에 1개를 받았습니다.,1,초기 다운로드가 불안정 합니다. 앱이 서버와의 통신 중 중간에 멈추는 일이 최근에 잦네요... 추가로 팝업으로 창을 띄우는거 좀 줄였으면 좋겠습니다. 무슨 앱을 사용하기 위해 팝업창 3개 정도 닫고 시작해야하나요...
9,2021-2-23,별표 5개 만점에 1개를 받았습니다.,1,오늘 에러 오지네;; 평소에도 진짜 몹쓸.. 수수료 싸서 깔았더니!!! 조금 더 내더라도 쓸만한 앱으로 갈아타고 싶네요. 비밀번호 잘 썼는데도 에러라고...;; 오늘 에러 심하길래 지우고 다시 깔았더니 계속 비번 오류!!!!! 오늘 날린돈 어쩔거임??? 팔고싶어도 팔질 못하니... 짜증 이빠이고. 주변에서 삼성증권 앱 어떻냐고 물어보면 한결같이 쓰레기라고 말하고 있음. 개발자도 앱 써볼거 아녀요!!! 주식 거래 해보세요. 답답함. 돈 다 빼서 다른게로 옮기고 싶은데.. 아오~~귀찮아!!!! 약간의 수수료도 내기 아까운 앱이다.
10,2021-3-5,별표 5개 만점에 2개를 받았습니다.,2,정말 불편하게 만들었네요. 사용 메뉴얼이 있어야 할듯... 매매가 이렇게 어렵게 만들다니..주식/펀드/etf/isa/irp 내가 어느 창에서 매매하는지 알게 해주세요. 하다보면 안된다는데 왜 안되는지 모르겠음
11,2021-2-21,별표 5개 만점에 2개를 받았습니다.,1,"폴더블폰을 사용하고 있는 유저 입니다. NH투자증권 MTS는 폴더블 폰에도 UI적응이 되어 넓고 큰 화면으로 볼 수 있는데, 삼성증권 MTS는 개발자들이 다양한 화면 비율에 맞춰서 개발하기 싫은건지 크게 보여주지 못하고 화면을 쪼개서 우측에는 쓸데없는 리포트 같은 것들만 표시하고 왼편에 결국 스마트폰 사이즈로 보게 만듭니다. 개발자분들 워라밸도 중요하긴 한데 기본적인 부분은 개발을 해주셨으면 합니다..."
12,2021-1-14,별표 5개 만점에 1개를 받았습니다.,1,1. 너무 버벅거림. 주식은 1분 1초가 아까운 시간 싸움인데 로딩중이 너무 오래걸려서 제대로 된 대응을 못하는데 일조함. 또한 다른 앱 (웹서핑) 하다가 다시 삼성증권 어플 키면 또 버벅거림. 무조건 어플 종료 후 재접속 해야함. 진짜 너무 불편해요.. (겨우 연명하는 폰도 아니라 노트10+이고 폰에 게임 등 무거운 앱 1도 없습니다.) 2. 주요 뉴스를 보려고 하면 무슨 광고니 뭐니 하며 블라인드 처리되어있던데 진짜 대놓고 광고하는 기사는 냅두고 중요하다 생각하는 기사들의 블라 처리율은 높던데 도대체 왜 이런건지 납득할 수가 없...전체 리뷰
13,2021-3-10,별표 5개 만점에 3개를 받았습니다.,0,안드로이드 11업데이트하고 지문로그인 드럽게 안돼요. 기존에는 하나도 문제없었는데 지금 미치겠습니다. v3 증권앱 바이오인증앱 3개전부 재설치해도 이러네요.
14,2021-2-16,별표 5개 만점에 4개를 받았습니다.,2,"다른건 다 괜찮은데요, 잔고/손익에서 보유하고 있는 종목 리스트를 평가손익, 수익률 내림/오름 차순으로 정리할수 있습니다만, 앱 내에서 다른 창 갔다 오면 리셋 됩니다. 물론 다른 앱에 갔다와도 리셋 됩니다. 리셋되지 않고 유지된다면 좋을 것 같습니다. 오름/내림 차순유지되게 해주세요."
15,2021-3-9,별표 5개 만점에 1개를 받았습니다.,1,이딴 쓰레기만도 못한 앱 공모주 청약만 아니었으면 절대 안깔았지 ㅋㅋㅋㅋㅋㅋㅋ 계좌 비번 넣고 청약 거는데 지들 서버가 쳐 터져서 튕기더니 계속 신청 누르니까 (비번창 숫자 채워져있었음) 비번오류 횟수 초과라고 못한다네 ㅋㅋㅋㅋㅋ 야 니네는 그냥 공모주 물량 배정받지마라 ㅋㅋㅋㅋ 괜히 첫상장 주식들 초치지말고 앱 플레이스토어에서 지워라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이런 수준 떨어지는 어플로 돈 벌었으면 서버 관리나 좀 하세요 아 빡치네 진짜 ㅋㅋㅋㅋㅋㅋㅋ
16,2021-2-16,별표 5개 만점에 3개를 받았습니다.,1,종목선택하기가 여간 쉽지가않네요 다른 종목들도 볼수있게 개선 좀 해주세요 예를 들자면 영웅문은 종합차트같은 메뉴가있어서 일정 종목들을 둘러볼 수있는데 삼성은 그런게없어서 비교분석이 안되는거 같아요 주요 종목들이라도 볼수있게 해주세요
