,DATE,STAR,LIKE,REVIEW
0,2021-3-8,별표 5개 만점에 1개를 받았습니다.,3,프로그램 이따위로 만들어놓고 앱을 2개나 설치하게 만드네. 계좌 신규개설 신분증 사진 찍는데 30분동안 찍어도 얼굴 인식을 못한다고. 프로버전으로 해봐라는 안내문 나와서 앱 설치하고해도 마찬가지. 별 한개도 아깝다. 이런건 마이너스 별임. 다른 증권사 앱 벤피마킹도 하던가!
1,2021-3-9,별표 5개 만점에 4개를 받았습니다.,2,"올인원 앱으로 만들어주세요. 원큐 프로, 원큐주식.. 이렇게 여러개 까는거 유저 입장에서는 불편합니다. 하나은행, 카드도 마찬가지예요. 원큐 하나은행, 원큐 하나카드, 원큐 하나앱카드... 도대체 몇개를 깔아야 하나요? 하나은행앱 3개, 증권앱 2개라니..."
2,2021-3-4,별표 5개 만점에 3개를 받았습니다.,4,"MTS문제점 많으나 HTS장점 이유로 별점평균드려요. 부득불 일부 계좌 유지하지만, 해외실시간 잘 제공되고 수수료이벤트 좋은 타사로 여러계좌 잠시 분산이주합니다. MTS안정화되고 사용자중심의 편리성 좋아지고, 무엇보다 의미없는(시력손상 야기하는) 빨파 바탕화면이 사라지고 나면 다시 사용합니다. MTS사용관련 고객 불만, 고객 제안 전용 창구(빠른 무료통화채널과 연락번호 남기기 필수)를 만들고 양방향 소통에 적극대응하면 참여의사와 고객1인 애정회복 합니다. 20년 일편단심 그래도 하나대투 금고지기거니 해왔으니 심심하진 않았다 해야겠네...전체 리뷰"
3,2021-3-3,별표 5개 만점에 1개를 받았습니다.,1,정말형편없는앱입니다 최근조회목록이 밥먹듯이 지워지고 정말별하나주는것도 아까운 어플이에요 절대로깔지마세요 스트레스 엄청받아요 답변이라곤 콜센타전화하라하는거고 해결도안되고... 앱평가글 안쓰는데 정말형편없는 어플이라 쓰고갑니다
4,2021-3-10,별표 5개 만점에 1개를 받았습니다.,1,렉도 심하고 어플보기도 이상하고 관종은 심심하면 리셋되고 은행어플 맞음? 진짜 어플 할거면 다른은행 어플보고 좀 배우시길
5,2021-3-3,별표 5개 만점에 1개를 받았습니다.,5,안전한 거래를 위해서 백신 사용 상태변경이 필요합니다 메시지가 뜨고 구글스토어로 이동한뒤 하얀화면만 계속뜨네요 이거참 급하게 쓰려고만 하면 정상동작이 안되네요
6,2021-3-3,별표 5개 만점에 1개를 받았습니다.,1,업데이트 이후 접속이 안된다. 업데이트마다 문제가 있다. 돈 잃으면 책임져주나요.. 지금 15시37분..제발 시외라도 하게 접속 좀 되게 해주세요 제발제발
7,2021-3-5,별표 5개 만점에 2개를 받았습니다.,4,지금 현재가보여주는 상단의 색깔표시하는거 좀 개선하쇼 매매체결 실시간으로 보여줄려고 색깔농도까지 디테일하게 넣어 표시하는모양인데 깜빡거려 눈아파죽겠소 제발 개선좀 하쇼
8,2021-2-26,별표 5개 만점에 1개를 받았습니다.,7,하나금투 새 회장님 앱 개선이 정말 시급합니다! 앱 수행 중 계속 중간에 멈추고 기능들은 제대로 작동하지도 않고. 개판입니다 수십번 글 남기고 고객센터 및 이슈건 상세히 오류사항 접수해도 개선은 커녕 담당자가 관리자한테 고객 욕하는 글을 해당 고객한테 직접 보내고. ㅎ 이 정도면 막장드라마도 이런거 없지않나여? 생각이 있는건가? 개판이에여 진짜 이런 개판없습니다. 고객이란 개념을 알긴 아는건가? 개인들 대상으로는 장사 할 생각 없는거져? 도대체 여기 앱 담당자들에게 수년간 문의 글 남기는데 개선은 하나도 안되는데. 사장님이 이제 컨...전체 리뷰
9,2021-3-10,별표 5개 만점에 1개를 받았습니다.,0,알림이 뜨다가 사라졌다 해요. 시도때도 없이 그러니까 불편하고 짜증나요.
10,2021-2-27,별표 5개 만점에 1개를 받았습니다.,6,증권사 어플 중에 넘사벽 꼴등. 어플 종료해도 실행 알림 자꾸 뜹니다ㅋㅋㅋ개발자가 누군지 참..
