,DATE,STAR,LIKE,REVIEW
0,2021-3-10,별표 5개 만점에 1개를 받았습니다.,6,접속이 잘안되어 어플을 지우고 다시 설치 하였습니다. 다시 인증하는과정에 계속 오류가 나고있습니다. 서비스가 월활하지 않습니다. 고객센터로 연락주시기 바랍니다. [HMCM350100C0]-030203 이렇게 뜨는데 고객센터는 전화가 안됩니다. 해결방안좀 부탁드릴게요 제발요
1,2021-2-18,별표 5개 만점에 1개를 받았습니다.,1,"관심메뉴에서 상단에있는 관심종목 화살표를 눌러서 펼쳐지는 화면 바로가기 목록이 매번 초기화되는데 왜 저장이 안되는거죠? 주식현재가, 종합차트, 주식주문, 주식잔고,... 이렇게 되어있는곳인데 오른쪽 위에 편집 기능있어서 편집하면 잘 되다가 어느순간 안되고 매번 반복이네요 답변 새로 달아주세요"
2,2021-3-9,별표 5개 만점에 1개를 받았습니다.,1,계속 실행하면 꺼져버려서 아무것도 안되네요. 카카오뱅크에서 개설했는데 홈피 hts 다안되고 최악. 이럴거면 첨부터 영업점 가지 뭐하러 앱에서 등록함? 정말 엄청나게 불편하네요. 고객센터 전화대기 99번? 어이없네요. 돈은 수천억 받아놓고 장난하나요? 이럴줄알았으면 첨부터 국민이나 증권플러스로 갔지.. 내 시간과 체력낭비 돌려주소
3,2021-2-19,별표 5개 만점에 1개를 받았습니다.,1,"한투로 시작을 해서 기능은 어느정도 익숙해졌는데, 제발 버벅거리고 먹통 좀 안되게 할 수 없나요? 진짜 하루에 한두번도 아니고 중요한 타이밍에 렉 걸려서 손실이 큽니다. 몇초 상간에 돈이 오가는 시스템을 개선안하고 뭐합니까? 뭐가 업데이트된건지...계속 이런식이면 조만간 타사로 갈아탈겁니다."
4,2021-3-11,별표 5개 만점에 3개를 받았습니다.,0,5G 무제한 사용중인데 5G상태에서는 로그인이 안돼요.. 와이파이를 켜면 로그인이 됩니다. 제 인터넷 환경이 안좋은것도 아닙니다.. 5G로 유튜브도 잘 되고 다른 뱅크 로그인도 잘 됩니다.. 한투만 안돼요ㅠㅠ 왜그런건가요?
5,2021-2-11,별표 5개 만점에 1개를 받았습니다.,1,다른 증권사들 mts에 비해 안정성도 떨어지고 일단 사용하는 인터페이스가 너무나도 불편합니다. 비록 수수료는 적어보입니다만 단타위주로 수익내는 쪽은 수수료 더 많이 내지만 다른쪽 증권사를 이용하고있습니다. 한투는 사용하기 불편해서 장기투자전용으로만 쓰게 되는군요. 지금까지 개설하고 매입만 하고 매도는 한번도 하지않은 증권사계좌군요.. 수수료도 물론 저렴한 것이 좋겠지만 사용환경도 개선되면 좋겠습니다. 단 몇초사이에 수백이 왔다갔다하는 상황인데.. 그런 상황에서는 마음놓고 사용할수있는 환경이 아닙니다.
6,2021-2-13,별표 5개 만점에 1개를 받았습니다.,4,너무 답답해서 어플리뷰 처음씁니다 주식잔고 한눈에 볼수있게 좀 바꿔주세요;; 가로로 쭉 나열된 어플은 한투밖에 없을듯 개불편...ㅡㅡ 차트도 진짜 보기 불편하고... 기능 많은건 좋은데 기본에도 좀 충실합시다. 다른 증권 어플 참고 좀 해주세요 제발!!!
7,2021-2-11,별표 5개 만점에 3개를 받았습니다.,1,시초에 사용자가 몰릴때 버벅거리며 원할한 사용이 어렵습니다.왜 보완이 안되는건지요? 재때에 거래 못해서 손해를 봤지만 증거가 부족하니 보상받기도 어렵구요. 또 실시간 거래동향은 볼수 없나요? 실시간 수급을 알수 없다는 점에서 심각하게 다른 앱으로 갈아탈까 고민중입니다.
8,2021-2-11,별표 5개 만점에 1개를 받았습니다.,1,"살다살다 이런 증권어플은 처음봄(별 반개도 아까움, nh나무증권 어플이 훨씬 이용하기 편리함) 1. 직관적이지 못한 시스템 - 로그인을 하면 당연히 모든 나의 계좌를 이용가능해야 편리한데 별도로 ID랑 계좌랑 연결시켜야해서 불편함 2. 비밀번호는 몇번 쳐야하는가 -인증서든 지문이든 로그인하면 됐지, 잔고 조회하려면 비밀번호 4자리 또 입력해야함(이중입력에 따른 피로감 상승) 3. UX,UI 모든것이 사용자 입장이 아닌, 제작자(개발자) 입장임. - 총자산에서는 보이는 계좌가 실제 온라인뱅킹 서비스에는 왜 안보이는지 몰라서 등록하는 ...전체 리뷰"
9,2021-3-4,별표 5개 만점에 1개를 받았습니다.,2,"로그인이 계속 먹통입니다. 어플 삭제했다가 재설치했는데도 로그인이 안되네요. 데이터에서도, 와이파이에서도 계속 안되고 있습니다. 갑자기 이러니까 정말 불편하네요"
10,2021-2-12,별표 5개 만점에 2개를 받았습니다.,1,며칠전 업데이트 후 기업현황 다른기업나오고 렉도 오져짐. 거기에 해외주가알림기능 미지원으로 미장하기가 힘듬. 워런트도 없으면 다른곳으로 옮길까도 생각중. 1. 안정성 2. 편의성 2가지 고쳐야돼요.
11,2021-3-9,별표 5개 만점에 1개를 받았습니다.,0,로그인안되고 otp등록도 튕기고 안되는게 많네요. Id도 있는데 id조회도 안된다고 뜨고 뭐 앱을 이따구로 만들어놨나요? 제발 밑에 사람들이 후기단거 진심 불편해서 단거니까 보고 좀 개선하세요. 별 1개도 진심 아까움요. 마이너스입니다.
12,2021-2-14,별표 5개 만점에 1개를 받았습니다.,3,해외신규상장 종목이 한투에 뜨지않아 하지 매수를 하지 못하는 경우가 너무 많습니다. 국내 경우도 종종 느리거나 접속이 어려울때가 종종있어 손해 보는경우도 있습니다. 빠른 해결책으로 신뢰할 수있는 한투가 되길바랍니다.
13,2021-2-16,별표 5개 만점에 1개를 받았습니다.,1,"사용시 안정적이지 않음. 관심그룹 이름이 없어진다거나, 복사되어 동일 이름이 나오거나, 정리해놓은 순서가 지맘대로 바뀌는 등 문제 많음. 코스피 순매수금액합계가 맞지 않음. 외인, 기관, 개인별 순매수금액 오류있음."
14,2021-2-18,별표 5개 만점에 1개를 받았습니다.,2,최근 앱이 업데이트 되고 나서 버퍼링이 너무 심각하게 생겼어요 모바일 거래하기가 너무 힘듭니다 앱 업데이트 외 제 사용환경이 바뀐게 아닌데 버퍼링이 잦네요 빨리 개선이 되지 않는다면 타증권사로 주식을 모두 옮길 생각입니다
15,2021-2-17,별표 5개 만점에 4개를 받았습니다.,3,아까 잘못올려서 다시올려요 차트를 폰에서 세로보기자동되게해주세요 가로보기는 불편하네요 크게볼려면 방향전환계속해야되고 다른어플보니까 차트터치하니까 자동으로세로보기로 폰화면이 꽉차서보기 편하더라구요 부탁드립니다 참 다른거는 괜잖아요
16,2021-2-12,별표 5개 만점에 2개를 받았습니다.,1,"다른 앱 보다가 주식 생각나서 앱 들어오면 항상 로딩 걸리고 기다려도 안되서 항상 앱 자체를 종료시켰다가 다시 켜게 되네여,, 저는 투자금액이 적어서 그 시간 사이에 잃게 되는 손실이 적지만 투자금액이 많다면 이 증권은 정말 쓰시면 안될것 같습니다."
17,2021-2-25,별표 5개 만점에 3개를 받았습니다.,1,"직원들이 리뷰 쓰셨나 평점 많이 높아졌네ㅋㅋ 화면 밑에 메뉴가 전부 비활성화 돼서 편집 버튼 빼고 다 사라짐, 차트 설정하는데 하나만 바꿨는데 의도하지 않은 다른 기능들이 여러개 켜지길래 다시 비활성화했으나 차트에 계속 남아있음. 접속할 때 10번 중 1번은 무한로딩으로 접속 자체가 안됩니다. 그리고 거래량 폭주할 때 대응한 최적화는 하셨는 지 궁금합니다."
18,2021-2-14,별표 5개 만점에 1개를 받았습니다.,3,계좌개설할때 비번 설정도 안했는데 비번 입력 하라하고 5번 틀리니 지점 방문하라하고 뭐 어쩌라는건지 살다살다 이런 답답한 어플은 첨본듯 별점 1점도 아까운듯 이거 개발한놈도 스마트한 놈은 아닌듯 한국투자증권으로 주식할맘 완전 사라졌음 키움으로 하겠음 만나서 재수 없었고 앞으로 보지맙시다
19,2021-3-10,별표 5개 만점에 4개를 받았습니다.,0,"어플이 깔끔하고 디자인은 좋은데, 잔고 볼 때 등락률, 매수가 등 여러 상황에서 가로 스크롤 해야하는 경우가 많아서 불편합니다 그리고 위젯이 작동을 안 합니다...."
20,2021-2-16,별표 5개 만점에 1개를 받았습니다.,3,너무버벅거려 사용할수없습니다 1.관심종목에서 국내상승률상위 눌러보세요 그후 렉걸려 거의 움직이질않습니다 잘쓰다가 요즘 몇일 전부터그래요 2. 사람몰리는날 오전엔 계속 먹통됩니다 예를들면 기아차 애플카기사뜬날등등은 1시간이상 못썼습니다 3. 모바일서 잦은 로그아웃때문에 자주 비번입력하여 번거롭습니다 자동로그아웃시간이나 잠깐 다른어플볼때 다시재로그인하는것을 개선부탁드립니다 -개선 부탁드립니다 꼭 -
21,2021-2-26,별표 5개 만점에 1개를 받았습니다.,3,리뷰같은거 잘 안쓰는데 진짜 해도 너무한다. 돈벌어 다른짓 하지말고 앱좀 안정화시켜라 제발... 하루에도 몇번씩 뻗어서 폰을 리부팅해야하는게 말이되냐? 나도 앱만드는 사람인데 이따위로 만들면 다 짤라버리겠다 어휴
22,2021-2-22,별표 5개 만점에 1개를 받았습니다.,2,최악 거래중간에 중요한 타이밍에 멈출때 많음 일부러 그러는것같은 느낌까지 들정도로 중요한 순간에만 멈춤 급등하고 급락할때 거래창이 멈춰서 거래체결되는 내용이 안보이고 밀렸다 한꺼번에 쏟아짐 덕분에 못팔고 못빠져나온게 두세번댐 빡침 쓰지마셈
23,2021-2-11,별표 5개 만점에 1개를 받았습니다.,1,별 한개도안주고싶다. 글자나 레이아웃 개선좀 해라. 디자인담당 놀구있나? 미래에셋이나 삼성증권에비해 전체적으로 레이아웃이 후져서 가독성낮음. 계속 이대로면 갈아탈란다.
24,2021-2-14,별표 5개 만점에 2개를 받았습니다.,2,"화면이 확 선명하게 보이지않음 삼성증권 앱처럼 선명하게보이면 좋겠고 주문수정이 아침 장 시작될때까지 할수있어야지 졸을것 같읍니다 개선이 꼭 되어야 되겠습니다 감사합니다 전일과 오늘구분선이 흐릿해서 안보입니다 일봉 ,분봉상 개선필요"
25,2021-2-26,별표 5개 만점에 1개를 받았습니다.,2,별1개도 너무 과하네 글 남기기위해 어쩔수없이 별1개 심심하면 멈추고 렉나네? 오늘은 한투앱보고 다른거 잠시 1초만봐도 다시 한투앱 보러오면 멈춰있고... 뭐 주식창 볼수가 없는데 이딴것도 앱이라고 만든건지.. 좀 서버증설을 해야 제발...짜증나네
26,2021-2-20,별표 5개 만점에 1개를 받았습니다.,0,이번에 업데이트 이후로 원래 있던 렉이 더심해졌어요 폰탓이 아닌거같습니다ㅡㅡ시스템 안정화좀해주세요 나만 버벅인게아니네 진짜 증권어플이 이따구냐 1분1초가 다급한데 아오 진짜 키움이나 나무로 가야겠다 버벅거려 제때 매매못해 손해본거한두번아님
27,2021-3-10,별표 5개 만점에 1개를 받았습니다.,1,거래 몰릴때 먹통되고 버벅이는게 너무 심해요.. 오늘 오전은 접속도 안되는데 정말 증권사 옮기고 싶게 만드네요 짜증나서 리뷰 이런거 안남기는데 글씁니다.. 투자좀 합시다 제발 돈도 많이버는데
28,2021-2-16,별표 5개 만점에 1개를 받았습니다.,6,주식어플인데 렉이 너무심해서 장시작 9시에서 1시간 반은 손가락빨고잇어야되는 말도안되는 어플ㅋㅋㅋ 껏다켯다하면서 시세봐야되고 그냥 가장중요한 매매시간대에 접속자몰린다고 아무것도 못하는어플은 살다살다처음보네요. 서버증설은 진짜 몇개월째 안하는건지 렉이얼마나 심한지 관리자들은 모르는건지 알아도 냅두는건지 진짜 대박어플 처음 1년정도썻는데 왠만하면 참고쓰려는데 참다참다가 못하겠어서 다른어플로 넘어가게되네요. 지금도 2월16일 아침 9시 12분 렉이 너무심해서 매매 불가능한 수준이라 못하고 열받아서 글하나적고갑니다.
29,2021-3-5,별표 5개 만점에 1개를 받았습니다.,3,주식어플이 서버관리를 못해서 터지면 어떻게 합니까. 어제 하루종일 버벅되서 타이밍 계속 놓치고 주문 넣어도 되지도 않고!!!!! 아니 고객정보 관리를 어떻게 하길래 이벤트 동의 같은거 하면 다음날 바로 스팸이 옵니까? 그것도 카톡으로? 미국증시 실시간 무료 확인 가능한 고객인지 확인 하려면 이벤트 수신 확인 해야 된다고 하길래 동의 했더니 다음날 새벽에 리딩방/ 주식 정보방 카톡이 계속 옵니다. 이게 무슨 경우 입니까?
30,2021-3-10,별표 5개 만점에 1개를 받았습니다.,0,오류가 너무 많이 나네요.. 오류화면 뜨고 계속 핸드폰이 꺼져버려요 ㅠ 오류내용은 아래와 같습니다. ScriptError line:345 attempt to index a nil value 해결방법이 있는건가요?
31,2021-2-14,별표 5개 만점에 3개를 받았습니다.,1,이 앱은 왜이렇게 튕김현상이 많은가요?지금은 아예 응답시간 초과란 메시지만 뜨고 접속이 안되네요~하도 그래서 핸폰을 껏다 켜보기도 하고...그래도 제자리...하도 똥폰이여서 그런가요?하길래 내폰도 사양이 낮아서? 갤노트10+ 인데...한창 호가창보고 매수매도 체크할 시간에 이게 뭡니까?
32,2021-2-14,별표 5개 만점에 1개를 받았습니다.,2,"MTS에서 CFD 잔고 메뉴에서 수익률이 나오지 않습니다. 기본적인 수치조차 없는데 추가 부탁합니다. 그리고 한국 휴일에는 CFD 잔고의 날짜가 업데이트되지 않아서 과거 잔고 수치가 나옵니다. 그래서 매번 날짜를 수동 적용해야만 하는데 매우 귀찮아요, 수정해주세요"
33,2021-3-9,별표 5개 만점에 1개를 받았습니다.,1,아진짜열받네요 로그인하는데왜자꾸 버벅거리고 로그인도안돼고 중요할때마다왜이러는지... 열받아서 못쓰것네요 오전에로그인안돼서 본손해가얼마인지... 몇번인지.... 어플보완쫌하세요 제발
34,2021-2-15,별표 5개 만점에 1개를 받았습니다.,1,업데이트하고나니까 검색시에 더 느려졌다는것을 느낍니다. 자동검색처럼 앞글자 한개만쳐도 밑에주르륵 나오던것들도 안나오는건지 늦게뜨는건지 그전에도 느리다는건알고있었지만 검색시 더느려져서 불편합니다.
35,2021-3-9,별표 5개 만점에 1개를 받았습니다.,1,수수료 때문에 쓰는데 역대급 쓰레기 앱입니다. 진짜 손해를 보더라도 다른 앱을 쓰는게 낫다 싶을 정도입니다. 어차피 이 앱 때문에 타이밍 놓쳐서 본 손해가 더 크기 때문에 수수료 한두푼 제 병원비다 셈치고 계좌 옮길까 고민중입니다.
36,2021-2-24,별표 5개 만점에 1개를 받았습니다.,1,지금 미장 폭락 중이라 빨리 팔고 싶은데...관심종목 미국주식 모아놓은 곳으로 되어있어선지 뭔 작동이 전혀 안돼요. 지금 접속자수가 많은가보죠? 껐다켜도 그대로고..'미장까지도 이럴줄은 몰랐는데. 이거 앱 정말 문제가 너무 많네요. 지금 팔고 싶은데도 내 잔고 확인이 이리 어려우니..심각하네요 정말... 요즘 거래량상위 그룹은 아예 안들어가요. 100% 작동 안할거라... 문제 고치고 계신거죠??
37,2021-2-16,별표 5개 만점에 1개를 받았습니다.,3,폰을 계속 리부팅해도 왜 계속 버전처리 오류라고 나오는지? 아 XX 아까는 계속 접속 헛돌아서 국영XXX 매도를 못해서 20만 수익울 못 보고 리부팅하고 했더니 -100 찍더라. 툭하면 비번로그인 해도 접속 안되고. 돈 다 빼서 키움 같은데로 갈까 겁나 고민중이다. 손해배상 고발은 별도로 할까 생각중.
38,2021-2-15,별표 5개 만점에 1개를 받았습니다.,4,와.. 업데이트하래서 뭔가 달라질줄 알았더니.. 달라진거 하나없음 이제는 아예 튕겨버림ㅋ 정말.. 대다나다... ㅜㅜ 별하나도 아까움 진짜 쓰레기임. .왠만하면 이런말 안하는데 하루종일 버퍼링 쩔고 계속 나갔다 들어갔다 하다가 매수. 매도 놓치고 진짜 딴 증권사 갈아타야지 개선되는게 하나도 없음... 최악최악
39,2021-3-9,별표 5개 만점에 1개를 받았습니다.,0,어플 실행하는데 자동로그인 실패뜨고 또 간편비밀번호 눌러서 로그인하니 로딩화면만 뜨고 접속이안되네요. 매번 렉걸리는것도 그렇고 여러모로 아직 어플이 미흡한거같습니다.
40,2021-2-26,별표 5개 만점에 2개를 받았습니다.,1,한투 사용자이고 주변 동료들도 한투 사용자인데. 전반적으로 다른 증권사 어플에비해 사용하기가 편리하지도 않고 어렵고 복잡한듯합니다. 한눈에 봐지지가 않네요~ 여러면에서 개선이 필요한듯해요~
41,2021-2-15,별표 5개 만점에 1개를 받았습니다.,1,이거 문제가 많아요 주문예약취소 해도 가능한시간이 아니라고 뜨더니 취소되있질 않나 취소하는 방식도 전체취소버튼도 없고 꼭 수량 입력해야하고 예약취소 찾기도 힘들고 관심탭에 담아둔 해외주식 탭갔다가 국내주식창 가니까 해외주식거래신청해야한다고 계속 매수매도도 안되게 창이 계속 뜹니다.
42,2021-2-13,별표 5개 만점에 1개를 받았습니다.,4,업데이트 했더니 또 망쳐놨네.. 대체 차트보는 화면에서 꾹 누르면 각 캔들마다 값을 보여주는 팝업이 뜨는데 패치하니 손을 떼면 사라진다.. 대체 점점 불편하게 패치하는 이유가 뭔지.. 토스나 카카오증권나오면 바로 옮긴다..
43,2021-2-18,별표 5개 만점에 3개를 받았습니다.,0,한투앱쓰다가 카톡오면 답톡하고 다시 들어올때 로딩이 좀 걸리거나 비번누르는 재접속을 해야되는게 불편해요.. 톡하다가 주문넣는것도 타이밍 몇번 놓치고ㅠㅠ 그래도 여기서 거래헌게 많아서 그냥 하고있는데... 친구한명은 떠낫어요 ㅠㅠ고쳐주세요
