,DATE,STAR,LIKE,REVIEW
0,2021-1-7,별표 5개 만점에 3개를 받았습니다.,1,작년에 예약매수로 주식을 구입했는데 전혀 조회가 안되요. 판매한 적도 없는데... ㅜ 그 외에 인터페이스도 너무 불편하네요 가로든 세로든 내용이 다 잘려서 엄지손가락만한 화면을 옆으로 쭉쭉 밀어가면서 봐야하고...
1,2021-1-30,별표 5개 만점에 1개를 받았습니다.,4,앱과 홈페이지 접속 그리고 카드 이용 문제가 1월 30일 하루 종일 발생하고 있는데 예고된 점검 혹은 갑작스러운 문제더라도 카카오톡 알림이나 안내 메시지 정도는 보내줘야 하는 게 당연한 대응이라고 생각합니다.
2,2021-1-30,별표 5개 만점에 1개를 받았습니다.,2,"서버가 다운되었네요 연동된체크카드사용도 안되고,,,매장에서 카드안되서 쩔쩔매었네요 전화도불통이고,,,뭐어떻게 할방법이 없네요 심히 불편합니다,,,,"
3,2021-1-30,별표 5개 만점에 1개를 받았습니다.,1,앱 위변조 검증 토큰조회 오류가 발생하였습니다 다시 실행해 주세요 라고 뜨고 거속적으로 로그인인 안됨니다 해결방법좀 알려주세요 앱제거후 다시해도 안되요 제부팅 해도 안됩니다
4,2021-1-30,별표 5개 만점에 1개를 받았습니다.,0,ㅡㅡ하루종일 어플 연결이 안되네요. 뭐하자는건지. 지웠다가 새로 깔아도 안되는중..
5,2021-1-30,별표 5개 만점에 1개를 받았습니다.,3,갑자기 접속이 안되는 이유가 뭔가요? 다시 깔아도 안되고 ㅡ.ㅡ 송금 해야 되는데 돌아버리겠네요
6,2021-1-1,별표 5개 만점에 1개를 받았습니다.,9,"어플은 잘사용하고 있습니다. 갤럭시 폴드2 사용중인데, 디스플레이 크기에 맞춰 호환 및 최적화 요청 드립니다."
7,2021-1-23,별표 5개 만점에 5개를 받았습니다.,0,"S21신제품 구매 후, 바이오인증, 지문인식이 되지않습니다 해당기기에서는 등록 불가하다고 뜨는데 빠른개선부탁드립니다"
8,2021-1-3,별표 5개 만점에 1개를 받았습니다.,1,데이터 다운로드를 먼저하고나서 업데이트 강제하지 않게 바꿔주세요 . 업데이트 강제할거면 차라리 업데이트 확인 먼저하고 데이터 다운로드 하던가요.
9,2021-1-4,별표 5개 만점에 3개를 받았습니다.,3,해외선물 차트설정이 저장이 안됩니다. 그리고 관심종목의 차트가 축소시 깨져버립니다.
10,2021-1-30,별표 5개 만점에 1개를 받았습니다.,0,위변조검증 토큰 조회 오류로 어플을 열 수가 없네요 업데이트 부탁드립니다
11,2021-1-30,별표 5개 만점에 1개를 받았습니다.,1,이체를해야하는데 앱을 들어가보니 접속을 다시해주라고 나오고 이게 어떻게 된 일 인지........
12,2021-1-30,별표 5개 만점에 1개를 받았습니다.,0,이거 지금 결제도 안되고 앱도 안 들어가지고 무슨 일인가요?
13,2020-12-29,별표 5개 만점에 2개를 받았습니다.,1,차트 보조지표 라인이랑 바 둘중에 골라서 설정할때 라인에서 바 지표로 바꿀때 계속 앱이 자동적으로 꺼집니다. 빨리 업데이트를 하시던지 버그 수정 부탁드려요~ 제발요!!
14,2020-12-21,별표 5개 만점에 2개를 받았습니다.,5,ㅠㅠ 하 교보증권 캡쳐도 안되고 통장 정리기능 너무 꾸져서 이사가고싶음. 수익나는거 정리하고나면 이사갈거임. 그 전에 개선해주셈.
15,2020-12-5,별표 5개 만점에 2개를 받았습니다.,4,아아아아 잘 되다가 왜 로그인이 안 될까요오오오오오 업데이트 해야된다고 해서 럽데이트 했는데 로그인이 안 되네요 ㅠㅠ 다시 설치했는데도 로그인이 안 되요... 오후까진 잘 됐는데 ㅠㅠ 공인인증 암호화 작업 한 뒤로 공인인증서로 로그인이 안 되요 ㅠㅠ 그냥 단순조회 로그인은 되는데 주식거래를 위한 공인인증서 로그인은 안 되네요 ㅠㅠ 당장 내일 아침부터 다시 주식 거래 해야하는데 ㅠㅠㅠㅠ/아니 공인인증 암호화 작업이 뭐길래 자세한 내용에 대한 공지도 없고 기존에 쓰던 공인인증서는 먹통이고 어휴 개발자들. 그 뒤로 결국 공인인증서는 못 ...전체 리뷰
16,2020-12-15,별표 5개 만점에 1개를 받았습니다.,4,캡처도 안되고 가장 기본적인 통장으로써의 역활을 못하네요 잔액이 돈을 얼마 썼으면 잔액이 얼만지 같이 나오게해주세요
17,2021-1-15,별표 5개 만점에 1개를 받았습니다.,1,먹통임 로그인도 안되고... 최악의 앱ㅜ.ㅜ
18,2020-12-14,별표 5개 만점에 2개를 받았습니다.,0,"서비스 지연실화인가요 주식은 시간인데 지연이가,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
19,2021-1-30,별표 5개 만점에 2개를 받았습니다.,1,왜 접속시도만 하고 안들어가지나요
