,DATE,STAR,LIKE,REVIEW
0,2021-3-12,별표 5개 만점에 4개를 받았습니다.,0,개선 바라는 점 1. 분봉상 매매타점 표시 됐으면. 2. '주식 현재가' 들어갔을때 '호가'가 아니라 '차트'가 먼저 보였으면. 3.차트 줌아웃 할때 너무 미끄러져요. 너무 훅 커지고 훅 작아져요.그래서 섬세하게 조작하기 어려움. 4. 차트 둘러볼때 아무래도 손이 계속 닿아있는데 수치조회창이 너무 빠르게 떠요ㅠㅠ 5. 캔들이 좀더 통통했으면... (차트 작게 보면 꼬리와 몸통 구분이 거의 안됌) 매매가 가장 잘되야하는데 매매 편의성이 넘 별로라 나무는 정보취득용으로만 쓰고 있어요. 정보취득은 나무가 최고.
1,2021-3-10,별표 5개 만점에 5개를 받았습니다.,4,초보자도 기본은 할수있도록 프로그램이 제일잘되어있는거같아요~ 다른증권계좌는 한눈에 볼수없게되어있어서 힘든데 나무는 이것저것 열어보면 초보도 기본은 할수있게 아주 잘되어있구 해외주식도 아주쉽음. 그런데 깊이 몇가지는 아직 수련중~
2,2021-3-9,별표 5개 만점에 1개를 받았습니다.,0,아니 난 처음시작을 나무로해서 나무만 지금도 쓰고있는데 너무 좋았는데 어제? 부터 왜이렇게 버퍼링이 심함? 지정가눌러도 버퍼링땜에 현가격으로 수정되고 까딱 잘못하면 매도를 잘못누르게 생겼잖아? 아니 갑자기 왜이런데? 미국 실시간 무료이벤트 나오고나서 그러네?
3,2021-3-9,별표 5개 만점에 4개를 받았습니다.,0,UI나 기타 사용상대해선 만족스럽습니다만.. 아쉬운 부분으로는 같은 개발자로서 개발자분들이 야근하면서 신규배포를 하길 원하는건 아니지만 장중 배포보단 장마감 후로 업데이트 배포를 하는건 어떤가 하는 아쉬움이 있습니다. ㅠㅠ
4,2021-3-9,별표 5개 만점에 3개를 받았습니다.,3,"타사(미래, 키움)에 비해서 지문인식 속도가 엄청나게 느립니다. 지문인식을 준비하는 로당화면이 5초 이상 보여지는게 말이 되나요? 보통 바로 뜨거나 1초 내로 뜨는데. 어떤 프로세스를 사용하는지 모르겠지만 개선 바랍니다."
5,2021-3-9,별표 5개 만점에 3개를 받았습니다.,0,사용하기에 편한 편입니다.. 그러나 불 편한 것도 있습니다.. 바로 가로화면 주문창에서 잔고가 실시간으로 작동하지 않는 거요.. 이것만 보완된다면 너무너무 좋을거 같아요^^
6,2021-3-9,별표 5개 만점에 1개를 받았습니다.,0,"해외 실시간 시세 서비스가 무료로 바뀌고 새벽에 렉이 심하네요. 업데이트도 했는데, 차트분봉이 움직이지 않고 멈추거나 체결가격이 늦게 떠서 불편합니다."
7,2021-3-9,별표 5개 만점에 1개를 받았습니다.,0,"고객센터 연결이 지연되는 정도가아니고, 전화연결 3번시도해서 세번다 기다리다 포기하고 마지막은 끝까지 기다려본다고 연결대기를 40분동안 전화잡고있어도 연결이안되는걸 지연이라하나 그냥 쌩까는거지"
8,2021-3-10,별표 5개 만점에 4개를 받았습니다.,0,해외주식도 다시 쓸수있게해주세요. 잘쓰다가 안되니 너무너무불편..아니면 해외주식도 보유한주식 현재 급락한번에볼수있게해주세요. 그리고 해외주식 스탑로스기능도 구현해주세요..
9,2021-3-11,별표 5개 만점에 4개를 받았습니다.,0,새벽에 몇시간 동안 차트 선 다 그어놨더니 아침에 일어나보니 하나도 저장이 안됐습니다. 일시적인 오류면 어쩔수없죠.. 쓰는데 UI나 기능들은 좋습니다.
10,2021-3-9,별표 5개 만점에 1개를 받았습니다.,0,국내와 병행시 해외주식 잔고 평잔이 소수점 아래 나오지 않음. 해외전용 모드로 바꿔도 드래그해야하는 불편이 있습니다. 해외주식 거래자에 대한 배려가 없다면 타사대체예정입니다.
11,2021-3-9,별표 5개 만점에 5개를 받았습니다.,0,주식 첨접하는 저한텐 깔끔하고 좋은데 뒤로가기 누를때마다 종료창뜨는게 너무 불편해요. 나가려고 하는게 아니라 그전화면 나오려고 한건데 뒤로가기만 눌러도 종료창이 뜨는거 수정 좀 해주세요.
12,2021-3-9,별표 5개 만점에 1개를 받았습니다.,0,너무 답답해서 리뷰올립니다. 미국주식 배당을 현금으로 수령하기위해 몇일 기한을 주고 전화로 신청을 하라는데 상담원은 몇일 몇시간을 기다려도 연결되지도 않고 어플에 배당수령을 주식으로 할지 현금으로 할지 정할수 있게 해주면 해결될것을 아니면 일일이 고객에게 전화를 줘서 확인을 받으시던지 만약 상담원과 연결을 못해서 현금으로 배당수령을 못하게 될 경우 이해대한 손해를 반드시 묻겠습니다.
13,2021-3-9,별표 5개 만점에 4개를 받았습니다.,0,키움보다 ui가 직관적이라서 저는 사용하기 편했는데 지문인식으로 로그인이 오류가 자주발생해요. 그리고 실시간무료 팝업신청했는데도 매일매일 여러번 발생하내요.
14,2021-3-5,별표 5개 만점에 5개를 받았습니다.,1,나무 어플은 대단히 심플하면서도 꼭 필요한 정보를 볼수있어 아주 쓸만합니다. 건의사항이 있습니다 매매동향에서 투자자별동향과 프로그램매매 섹션으로 가면 틱에따라 자동업데이트가 안되어 일일이 손으로 다시 나갔다가 들어오면서 현황을 확인하고 있습니다 다른 어플은 해당섹션에서 틱마다 자동으로 정보 업데이트가 되거든요 보완해주세요~~
15,2021-3-10,별표 5개 만점에 2개를 받았습니다.,0,"테블릿 잘 사용하고 있는데 기기호환이 안된다니, 엡 실행에서 다운로드 안누르고 계속 버튼 누르면 접속은 되는데. 이게 왜 이래요?"
16,2021-3-9,별표 5개 만점에 4개를 받았습니다.,1,"처음사용했을때 ui는 나름깔끔했고 프리장6시라는 장점이외엔 쓸모없던 나무증권사이나, 프장앱장 실손익적용,실시간시세 수수료할인등 고객에게도움이되는쪽으로 발전해내가는 증권사인것같아 만족이됩니다. 앞으로 좀 더 발전하는 nh증권 및 어플되면 좋겠슴니다."
17,2021-3-10,별표 5개 만점에 5개를 받았습니다.,0,mts 앱 중에서 단연 최고입니다 b 한가지 아쉬운 점은 위젯에 다크모드가 지원되었으면 좋겠습니다 ~ 한투 위젯 참고해주세요 ~ 여러분 모두 나무로 성투하십셔 ~
18,2021-3-9,별표 5개 만점에 1개를 받았습니다.,0,급등락 이벤트 있을때 작동이 안됩니다. 중요할때 버티지도 못하는 서버를 쓰면서 무슨 금융을 하시겠다고...이런 사소한 것들로 신뢰가 산산조각 날수 있습니다.
19,2021-3-11,별표 5개 만점에 5개를 받았습니다.,0,사용하기 쉽고 편해서 좋아요.다른 주식어플은 적응이 잘 안되고 은근 복잡해서 나무가 젤 저한텐 맞아요. 뭔가 좀더 젊고 여성들에게 어필하는 느낌이랄까
