,DATE,STAR,LIKE,REVIEW
0,2021-3-8,별표 5개 만점에 1개를 받았습니다.,1,다른증권사 어플들은 매매할때 첫화면이 매수부터 되있는데 신한만 매도시작이라 매수 매도 착각하기 쉽습니다. 최악입니다.
1,2021-3-4,별표 5개 만점에 1개를 받았습니다.,4,진짜 별한개도 아까움 1초가 중요한 순간에도 어김없이 렉걸리고 계속 꺼지고 재로그인 하고 오늘만 20번 다시 접속한듯
2,2021-2-23,별표 5개 만점에 1개를 받았습니다.,4,"별하나도 아까움..화면이상, 렉심함, 에러 등 하루에 몇번이나 재로그인하는지 모르겠음.. 1년째 사용중인데 개선 1도없고 고객센터 전화도 기본 30분 대기후 연결.. 고객불편은 왜 개선이 안되는건지 이해안가네요.."
3,2021-1-8,별표 5개 만점에 2개를 받았습니다.,8,오전 특히 장 시작후 로그인이 빠지는경우가 너무 많아요! 꼭 오전 아니어도 종종 빠질때 많고 렉 걸리는것 같이 멈춤현상도 꽤 자주 있어요. 제발 고쳐주세요.. 사용자가 늘어나서 그렇다느니 그따위 똑같은 답변 하지 마시고요!! 신한 본사에다 클레임을 넣어야 고쳐지려나....이건 뭐 it 부서에서 보고를 안하니까 이모양이지. 그냥 마음 비우고 신한계좌꺼 다 빼고 영웅인가 그걸로 넘어가야겠다...
4,2021-2-4,별표 5개 만점에 4개를 받았습니다.,5,"얼마전에 S21+로 폰을바꾸었는데, 차트화면에서회전이 안됩니다. 천천히,아주 살며시 돌리면되구요. 화면이 검게변합니다. 삼성서비스센터에 문의하니까? 어플의문제라합니다. 수정,보와이필요할듯^^ 참고로 일반인터넷화면은 회전이잘됩니다^^"
5,2021-1-11,별표 5개 만점에 1개를 받았습니다.,9,와 앱 평가 평생 처음씁니다. 주식어플이 이렇게 렉이 심해서야... 무슨 버튼하나 누를때마다 로딩되는데 20초씩걸려! 주식계좌랑 연결도 오류나는지 지난번도 한번 그렇고 입금하고 잔고 확인되서 주식 주문가능할때까지 30분이상 걸림... 이것때문에 타이밍 지나서 날린돈만 최소 수십수백만원은 되겠다... 이정도면 거의 고소감...
6,2021-1-11,별표 5개 만점에 1개를 받았습니다.,7,"10년쨰 신한금융 쓰고있는데,,, 모바일앱이 최근에 많이 느려진것 같습니다. 금일도 매수매도 오래걸려서 체결안되어 손해를 봤습니다. 사실 좀 화가 나는데요. 개선 요청드리고 계속 이런 서비스라면 증권사 변경 생각중입니다."
7,2021-1-18,별표 5개 만점에 1개를 받았습니다.,5,진짜 쓰레기 수준입니다 홈트레딩은 편한데 모바일은 정말 몇년째 개선이 안되네요 제일 큰 문제점 1.다른화면으로 넘어갈때 로딩 너무 오래걸림 심하게 오래걸림 단타 절대 못함 2.다른작업 예를 들어 카톡을 잠깐 보고 오면 로그아웃되있고 로딩으로 켜지지도 않아서 작업강제종료후 다시 켜야함 이두가지가 제일 중요한건데 이게 안되니 쓸때마다 암걸립니다
8,2021-1-11,별표 5개 만점에 1개를 받았습니다.,1,아니. 로그인이 안되고 주식잔고 조회도 안되는 이런 기본적인 것도 안되면 어쩌라는 겁니까?? 키움이랑 KB는 아주 잘 돌아가는데 혈압 오르네 진짜. 제발 좀 개선하세요. 최소한 로그인이랑 가격조회는 돼야할 거 아닙니까.
9,2021-1-27,별표 5개 만점에 4개를 받았습니다.,1,공인인증서 기한이 얼마 안남아 어플내에서 갱신하려는데 갱신도중 새로운 비밀번호를 입력하고 다음페이지로 넘어가지 않습니다. 컴퓨터로 하긴 힘든 상황인데 저만 이러는걸까요..?
10,2021-1-11,별표 5개 만점에 3개를 받았습니다.,1,오늘 계속 로그인이 안되요...처리가 오래걸린다는 문구만뜨고.. 바이오인증도 공인인증서 로그인도... 답답하네요
